L,V,C,A,V_over_eps_L,C_over_eps_L2,A_over_eps_L3
8,0.040024076381988384,0.06295150172740398,0.11518858923118383,5.003009547748548,0.9836172144906872,0.2249777133421559
12,0.059949866663531914,0.14475047727998605,0.3970210084455962,4.995822221960993,1.0052116477776807,0.22975752803564595
16,0.08054149039632091,0.26205438713032786,0.9569001679568239,5.033843149770057,1.0236499497278433,0.23361820506758393
24,0.12002607783006054,0.5919782347045723,3.2442981668648088,5.001086576252523,1.027739990806549,0.23468592063547516
32,0.15939456464210797,1.0549651883572921,7.718646080764385,4.9810801450658735,1.0302394417551681,0.2355543847889522
48,0.2397309912367245,2.3937543340726575,26.2887795032387,4.994395650765094,1.0389558741634797,0.23770959475584763
64,0.32083632907247434,4.277579098604936,62.606126386850065,5.013067641757411,1.0443308346203457,0.2388234191392901
96,0.4782013087275651,9.589029893625767,210.48988526244494,4.981263632578803,1.040476333943768,0.23791264881551666
128,0.642531939775965,17.20997953282461,504.05629245472744,5.019780779499727,1.0504137898452521,0.2403527700685155
192,0.9580308267235927,38.52576415080035,1692.2285043484953,4.9897438891853785,1.0450782375976655,0.2390866462352181
256,1.282406716374839,68.81903547408454,4030.952193834669,5.009401235839214,1.0500951457837606,0.24026347362009698
