tag,K,prompt_len,design,cond,noise_var,prior_var,depth,heads,d_head,capacity_rank,attention,head_scheme,precond,temperature,eta_multiplier,scale_linear_by_m,seed,batch_size,eval_batches,beta_mse_post,beta_mse_true,pred_mse_y,mean_mse_exact,exact_pred_mse_y,nll_iter,nll_exact,coverage_iter,width_iter,coverage_exact,width_exact,contraction_radius_mean,contraction_radius_max,precond_rank,eta_mean,proj_rank,proj_max,proj_min_nonzero,capacity_ge_K,first_grad_mse,last_grad_mse,attn_rank_first,attn_rank_last,attn_effrank_first,attn_effrank_last,layer_first_beta_mse_post,layer_last_beta_mse_post,layer_decay_ratio,log10_beta_mse_post,log10_beta_mse_true
prompt_16,16,16,isotropic,10.0,0.02,1.0,64,1,16,16.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,0.014672938152216375,0.1574308890849352,0.1747461762279272,0.01436397444922477,0.1621922254562378,0.4802728742361069,0.4310193881392479,0.937744140625,1.517791360616684,0.9478759765625,1.5177913755178452,0.9866674616932869,0.9922812432050705,0.0,0.011713625048287213,16.0,1.0,1.0,1.0,0.0,7.895581063954715e-11,16.0,16.0,12.524102926254272,12.524102926254272,0.39466919749975204,0.014672938152216375,0.03717626899294776,-1.833482913046376,-0.8029100518816807
prompt_32,16,32,isotropic,10.0,0.02,1.0,64,1,16,16.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,1.3169938142709725e-05,0.020257338415831327,0.04040972702205181,1.3359591548578464e-05,0.04040029924362898,-0.1998177133500576,-0.1999412588775158,0.947265625,0.7817692309617996,0.9473876953125,0.7817692533135414,0.9027702361345291,0.9664207473397255,0.0,0.0074082103674300015,16.0,1.0,1.0,1.0,0.0,2.7926636697594986e-10,16.0,16.0,14.731295347213745,14.731295347213745,0.33807822689414024,1.3169938142709725e-05,3.896141462512302e-05,-4.880416264851649,-1.693417616589315
prompt_64,16,64,isotropic,10.0,0.02,1.0,64,1,16,16.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,7.381528245393109e-11,0.006692378141451627,0.026740289526060224,3.4821597035407208e-12,0.026740287663415074,-0.39521439746022224,-0.3952144421637058,0.954345703125,0.6406257152557373,0.954345703125,0.6406257301568985,0.7434373944997787,0.8654246628284454,0.0,0.004245606309268624,16.0,1.0,1.0,1.0,4.685702763296273e-10,1.3455459108024925e-09,16.0,16.0,15.401774287223816,15.401774287223816,0.20918383821845055,7.381528245393109e-11,3.4979759399034206e-10,-10.131853714080679,-2.1744195279448326
prompt_128,16,128,isotropic,10.0,0.02,1.0,64,1,16,16.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,8.411431798885328e-14,0.0028755386592820287,0.022682812064886093,9.179781992196693e-14,0.02268281183205545,-0.4742335192859173,-0.4742335379123688,0.9503173828125,0.5929717943072319,0.9503173828125,0.5929717943072319,0.5716741532087326,0.6887854263186455,0.0,0.002298867533681914,16.0,1.0,1.0,1.0,2.738636650789772e-09,7.869376150715368e-09,16.0,16.0,15.731584906578064,15.731584906578064,0.11846874468028545,8.411431798885328e-14,7.10078990765701e-13,-13.075130072046486,-2.5412807892903917
prompt_256,16,256,isotropic,10.0,0.02,1.0,64,1,16,16.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,1.0480091238053565e-13,0.001330112834693864,0.02201565052382648,1.1156257565165823e-13,0.022015651455149055,-0.48854365944862366,-0.48854362592101097,0.94580078125,0.572444923222065,0.94580078125,0.572444923222065,0.4227176867425442,0.5264124572277069,0.0,0.0011975566594628617,16.0,1.0,1.0,1.0,1.523857995344713e-08,4.9919422817623627e-08,16.0,16.0,15.860768914222717,15.860768914222717,0.06279053166508675,1.0480091238053565e-13,1.6693335475412235e-12,-12.97963493643524,-2.8761115158702464
prompt_512,16,512,isotropic,10.0,0.02,1.0,64,1,16,16.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,1.6113196355264838e-13,0.0006477730130427517,0.020752003649249673,1.6324877512080213e-13,0.02075200225226581,-0.5185850560665131,-0.5185851119458675,0.9495849609375,0.5632363185286522,0.9495849609375,0.5632363185286522,0.30628329887986183,0.3853619210422039,0.0,0.0006117063967394643,16.0,1.0,1.0,1.0,9.681969803665424e-08,3.529203702612449e-07,16.0,16.0,15.937624454498291,15.937624454498291,0.032429374754428864,1.6113196355264838e-13,4.969611840032526e-12,-12.792818300563969,-3.188577149148863
