step,variant,seed,n_context,train_mse
1,transformer,1,8,1.8781694173812866
100,transformer,1,8,0.6908992528915405
200,transformer,1,6,0.5643138885498047
300,transformer,1,8,0.33990877866744995
400,transformer,1,14,0.24038046598434448
500,transformer,1,13,0.18760934472084045
600,transformer,1,15,0.12318093329668045
700,transformer,1,14,0.1338733434677124
800,transformer,1,10,0.2465885877609253
900,transformer,1,13,0.1685921847820282
1000,transformer,1,16,0.11090725660324097
1100,transformer,1,11,0.17898021638393402
1200,transformer,1,13,0.12572574615478516
1300,transformer,1,6,0.34121784567832947
1400,transformer,1,8,0.3022714853286743
1500,transformer,1,9,0.21354269981384277
1600,transformer,1,7,0.34523487091064453
1700,transformer,1,16,0.08847509324550629
1800,transformer,1,7,0.3286856412887573
1900,transformer,1,7,0.28432178497314453
2000,transformer,1,14,0.11822672933340073
2100,transformer,1,6,0.35987305641174316
2200,transformer,1,10,0.18783283233642578
2300,transformer,1,8,0.22874215245246887
2400,transformer,1,9,0.18674862384796143
2500,transformer,1,9,0.25219255685806274
2600,transformer,1,6,0.37489771842956543
2700,transformer,1,10,0.18393836915493011
2800,transformer,1,8,0.31766337156295776
2900,transformer,1,9,0.23715347051620483
3000,transformer,1,9,0.19553066790103912
3100,transformer,1,13,0.12876132130622864
3200,transformer,1,16,0.08664107322692871
3300,transformer,1,15,0.08890280872583389
3400,transformer,1,9,0.24805520474910736
3500,transformer,1,13,0.10693599283695221
3600,transformer,1,13,0.14118139445781708
3700,transformer,1,6,0.34092336893081665
3800,transformer,1,7,0.2790035605430603
3900,transformer,1,7,0.33590611815452576
4000,transformer,1,6,0.36686456203460693
4100,transformer,1,6,0.33743467926979065
4200,transformer,1,15,0.09224695712327957
4300,transformer,1,8,0.22609703242778778
4400,transformer,1,12,0.1302766054868698
4500,transformer,1,11,0.14869141578674316
4600,transformer,1,16,0.08509174734354019
4700,transformer,1,16,0.09033175557851791
4800,transformer,1,14,0.11506834626197815
4900,transformer,1,14,0.10173173248767853
5000,transformer,1,8,0.26738837361335754
