variant,seed,n_context,method,mse,se,episodes,parameters
transformer,1,4,model,0.5191342830657959,0.0048878914676606655,5120,100865
transformer,1,4,exact_krr,0.5093691349029541,0.0048563238233327866,5120,100865
transformer,1,4,nw,0.8431745767593384,0.009320670738816261,5120,100865
transformer,1,8,model,0.2592182457447052,0.003068584483116865,5120,100865
transformer,1,8,exact_krr,0.24096937477588654,0.002969032619148493,5120,100865
transformer,1,8,nw,0.4659807085990906,0.0053004608489573,5120,100865
transformer,1,12,model,0.1335880607366562,0.001949166413396597,5120,100865
transformer,1,12,exact_krr,0.11569877713918686,0.001828607521019876,5120,100865
transformer,1,12,nw,0.3233785927295685,0.0036051608622074127,5120,100865
transformer,1,16,model,0.07037224620580673,0.0012076125713065267,5120,100865
transformer,1,16,exact_krr,0.05450518801808357,0.001067071221768856,5120,100865
transformer,1,16,nw,0.2600855827331543,0.0025812566746026278,5120,100865
transformer,1,24,model,0.026998788118362427,0.0004512285231612623,5120,100865
transformer,1,24,exact_krr,0.01771322824060917,0.0003796559467446059,5120,100865
transformer,1,24,nw,0.21189112961292267,0.001771522220224142,5120,100865
