tensor,component,fit_start,fit_end,paper_monte_carlo_slope,deterministic_recursion_slope,difference_mc_minus_recursion,asymptotic_power
V,0000,7,30,1.19,1.0753644716861879,0.11463552831381207,1
V,0101,10,30,1.31,1.3804078471554988,-0.07040784715549875,1
V,0022,10,30,1.49,1.5849284830437567,-0.09492848304375667,1
V,0103,10,30,1.42,1.375558986459085,0.04444101354091501,1
V,0023,10,30,1.47,1.612212906919076,-0.14221290691907607,1
V,0123,10,30,1.55,1.5095761261649976,0.040423873835002455,1
D,0000,7,30,2.06,2.07536447168619,-0.01536447168619004,2
D,0101,10,30,2.34,2.283677706240665,0.05632229375933484,2
D,0022,10,30,2.67,2.651291965401186,0.01870803459881376,2
D,0103,10,30,2.35,2.2712264657489842,0.07877353425101585,2
D,0023,10,30,2.55,2.5398376459966108,0.010162354003389051,2
D,0123,10,30,2.49,2.4314806893572873,0.058519310642712874,2
F,0000,7,30,2.24,2.075364471686189,0.164635528313811,2
F,0101,10,30,2.35,2.1910357263412426,0.15896427365875754,2
F,0022,10,30,2.69,2.427765470677702,0.26223452932229785,2
F,0103,10,30,2.2,1.9608267790114606,0.23917322098853955,2
F,0023,10,30,2.67,2.40506824214783,0.2649317578521697,2
F,0123,10,30,2.24,2.0210137235548196,0.21898627644518065,2
A,0000,7,30,3.16,3.095654204855228,0.06434579514477212,3
A,0101,10,30,3.39,3.1804797088419234,0.2095202911580767,3
A,0022,10,30,3.74,3.7522624758559124,-0.012262475855912225,3
A,0103,10,30,3.39,3.1637507484482894,0.22624925155171072,3
A,0023,10,30,3.67,3.6080603150812265,0.06193968491877344,3
A,0123,10,30,3.54,3.343189777852956,0.19681022214704402,3
B,0000,5,30,3.28,3.134869635714695,0.145130364285305,3
B,0101,12,30,3.34,2.9753247152669915,0.36467528473300836,3
B,0022,10,30,3.78,3.4259142576546924,0.35408574234530743,3
B,0103,10,30,3.16,2.695688978296757,0.4643110217032431,3
B,0023,10,30,3.76,3.2481100600961548,0.511889939903845,3
B,0123,10,30,3.43,2.8267619659026093,0.6032380340973909,3
