method,risk_type,regime,n_observations,n_reference,context_reference,parameter_reference,r_squared,rmse,fit_success,risk_floor,data_amplitude,data_exponent,context_amplitude,context_exponent,width_amplitude,width_exponent,overfit_amplitude
population-PCG,localization,All,12,128.0,8.0,149251.0,0.9841994781379717,0.014224942974045269,True,0.0804685669437401,5.073547818150039e-07,0.01002267653119092,0.31864898990588286,2.9999999999999996,0.1202489592219149,2.1938595880608847,5.36111197734933e-05
population-PCG,solver,All,12,128.0,8.0,149251.0,-0.09582059510614815,0.19400843202524007,True,0.04389986038413253,3.559792700724019e-05,0.010102704238165795,1.1971303141905104e-07,0.03350956791534609,0.06176973851133612,0.21318698662860888,0.00266501542834065
