method,network_width,parameter_count,dataset_size,context_size,context_measurements,regime_class,risk_mean,risk_std,solver_risk_mean,solver_risk_std,n_holdout,n_seeds,training_seconds,mean_relative_residual,covariance_relative_residual,simultaneous_configurations,delta,hoeffding_slack,risk_ucb,solver_risk_ucb
population-PCG,128,149251,128,8,64,All,0.5217993749461859,0.27767580839172484,1.7768206329079835e-05,2.662937197208285e-05,28,1,1.284011782030575,1.776920591315242e-05,8.131413546306833e-07,36,0.05,0.3427632255448281,0.864562600491014,0.34278099375115717
population-PCG,128,149251,128,8,64,ID,0.24832288973909383,0.2625011535939359,4.285598580011397e-05,4.006856746213195e-05,8,1,1.284011782030575,4.285922750568716e-05,1.4130999730355145e-06,36,0.05,0.6412512773871342,0.889574167126228,0.6412941333729343
population-PCG,128,149251,128,8,64,OOD,0.6311899690290227,0.20023866531416884,7.733094540666181e-06,6.722545344447325e-06,20,1,1.284011782030575,7.733197276138525e-06,5.731579072687509e-07,36,0.05,0.4055629178071542,1.0,0.40557065090169486
population-PCG,128,149251,128,12,144,All,0.2837823305023411,0.18033602788379616,4.839739155695766e-05,6.301636910376899e-05,28,1,1.284011782030575,4.840356432719948e-05,2.8277607201841556e-06,36,0.05,0.3427632255448281,0.6265455560471691,0.342811622936385
population-PCG,128,149251,128,12,144,ID,0.1443091759112614,0.17211075501081924,0.00010929909787381985,9.45478707241535e-05,8,1,1.284011782030575,0.00010931887027250742,7.391110258936352e-06,36,0.05,0.6412512773871342,0.7855604532983955,0.641360576485008
population-PCG,128,149251,128,12,144,OOD,0.33957159233877293,0.15438222120471118,2.403670903021279e-05,1.2778675070287372e-05,20,1,1.284011782030575,2.403744194907631e-05,1.0024209046832766e-06,36,0.05,0.4055629178071542,0.7451345101459271,0.40558695451618443
population-PCG,128,149251,128,16,256,All,0.24043360621953017,0.18326507676856338,0.022335500998308336,0.026161856950560093,28,1,1.284011782030575,0.02359395291464997,0.0007149591407531438,36,0.05,0.3427632255448281,0.5831968317643582,0.3650987265431364
population-PCG,128,149251,128,16,256,ID,0.11724110108579791,0.08709959650522801,0.0476833239676414,0.03309422252276027,8,1,1.284011782030575,0.05123751331120724,0.0013288211594044126,36,0.05,0.6412512773871342,0.758492378472932,0.6889346013547756
population-PCG,128,149251,128,16,256,OOD,0.2897106082730231,0.18970120586477562,0.012196371810575113,0.013797836781353396,20,1,1.284011782030575,0.012536528756027069,0.0004694143332926363,36,0.05,0.4055629178071542,0.6952735260801772,0.4177592896177293
population-PCG,128,149251,128,24,576,All,0.23181398829866476,0.1548344890633261,0.16712431085505483,0.0843762476746155,28,1,1.284011782030575,0.21346299257129428,0.006559078515108089,36,0.05,0.3427632255448281,0.5745772138434928,0.5098875363998829
population-PCG,128,149251,128,24,576,ID,0.12074879009292606,0.13009874173506955,0.23190240551018437,0.057331790592007,8,1,1.284011782030575,0.30895126238465304,0.007750656543066663,36,0.05,0.6412512773871342,0.7620000674800602,0.8731536828973185
population-PCG,128,149251,128,24,576,OOD,0.27624006758096026,0.1433900235939907,0.14121307299300298,0.08020253468203235,20,1,1.284011782030575,0.17526768464595074,0.00608244730392466,36,0.05,0.4055629178071542,0.6818029853881145,0.5467759908001572
population-PCG,128,149251,128,32,1024,All,0.215356753291916,0.16181635234946704,0.3034499728201219,0.12529268954873118,28,1,1.284011782030575,0.4837051374571664,0.012548248375034172,36,0.05,0.3427632255448281,0.5581199788367441,0.64621319836495
population-PCG,128,149251,128,32,1024,ID,0.1054947247716975,0.11624193274316005,0.3454202751069972,0.13067799321573687,8,1,1.284011782030575,0.5828203074634075,0.01283643345232115,36,0.05,0.6412512773871342,0.7467460021588317,0.9866715524941314
population-PCG,128,149251,128,32,1024,OOD,0.25930156470000343,0.15848240828725274,0.28666185190537186,0.12238570002078067,20,1,1.284011782030575,0.44405906945466994,0.01243297434411938,36,0.05,0.4055629178071542,0.6648644825071577,0.6922247697125261
population-PCG,128,149251,128,48,2304,All,0.178541438183034,0.14751560809385297,0.5028134363037852,0.14202031336376422,28,1,1.284011782030575,1.1777754287634576,0.03475367011768473,36,0.05,0.3427632255448281,0.5213046637278621,0.8455766618486132
population-PCG,128,149251,128,48,2304,ID,0.08959125125925661,0.10084843611560174,0.5601768262741776,0.12876780581164024,8,1,1.284011782030575,1.456909641623497,0.03296631341800089,36,0.05,0.6412512773871342,0.7308425286463908,1.0
population-PCG,128,149251,128,48,2304,OOD,0.21412151295254497,0.1500411005330244,0.4798680803156282,0.1435749362418163,20,1,1.284011782030575,1.066121743619442,0.035468612797558266,36,0.05,0.4055629178071542,0.6196844307596991,0.8854309981227824
population-PCG,128,149251,256,8,64,All,0.521816381748907,0.2776643282230551,1.767315684080404e-05,2.6410543608949504e-05,28,1,2.3819255950511438,1.767414186255272e-05,8.571641611102418e-07,36,0.05,0.3427632255448281,0.8645796072937351,0.3427808987016689
population-PCG,128,149251,256,8,64,ID,0.24832288973909383,0.2625011535939359,4.245286369117024e-05,3.982746223586543e-05,8,1,2.3819255950511438,4.245605414610054e-05,1.589184829953183e-06,36,0.05,0.6412512773871342,0.889574167126228,0.6412937302508254
population-PCG,128,149251,256,8,64,OOD,0.6312137785528322,0.20020234739328097,7.761274100657559e-06,6.6971611094476775e-06,20,1,2.3819255950511438,7.761376949133592e-06,5.643558935730653e-07,36,0.05,0.4055629178071542,1.0,0.4055706790812549
population-PCG,128,149251,256,12,144,All,0.28378426764797704,0.18033801893231266,4.669149801938762e-05,5.866006194757249e-05,28,1,2.3819255950511438,4.669699720644101e-05,2.950882767598679e-06,36,0.05,0.3427632255448281,0.6265474931928051,0.34280991704284747
population-PCG,128,149251,256,12,144,ID,0.1443091759112614,0.17211075501081924,0.0001045603988757241,8.658634095864806e-05,8,1,2.3819255950511438,0.00010457789517201355,7.757258678964263e-06,36,0.05,0.6412512773871342,0.7855604532983955,0.6413558377860099
population-PCG,128,149251,256,12,144,OOD,0.3395743043426633,0.15438449462219683,2.3543937676853028e-05,1.2397045184176423e-05,20,1,2.3819255950511438,2.3544638020212004e-05,1.0283324030524454e-06,36,0.05,0.4055629178071542,0.7451372221498175,0.40558646174483104
population-PCG,128,149251,256,16,256,All,0.24021755404048892,0.18324488226797697,0.021219621151429724,0.024458264316882576,28,1,2.3819255950511438,0.022324924048591873,0.0007311325142933801,36,0.05,0.3427632255448281,0.582980779585317,0.3639828466962578
population-PCG,128,149251,256,16,256,ID,0.1171010775220731,0.08696155045538842,0.04433971049341694,0.029957320697272197,8,1,2.3819255950511438,0.047336734831333126,0.0016107484188978124,36,0.05,0.6412512773871342,0.7583523549092073,0.6855909878805511
population-PCG,128,149251,256,16,256,OOD,0.28946414464785525,0.18972591017393386,0.011971585414634835,0.014295125648652164,20,1,2.3819255950511438,0.01232019973549537,0.00037928615245160717,36,0.05,0.4055629178071542,0.6950270624550094,0.41753450322178903
population-PCG,128,149251,256,24,576,All,0.2319656108018069,0.1554481287889638,0.1669225366297911,0.08285295138521048,28,1,2.3819255950511438,0.21252374630421397,0.006252428791153057,36,0.05,0.3427632255448281,0.574728836346635,0.5096857621746191
population-PCG,128,149251,256,24,576,ID,0.12060674094559841,0.13059497662921365,0.22894875476159124,0.05114286183912127,8,1,2.3819255950511438,0.30242626368999476,0.00653905558283435,36,0.05,0.6412512773871342,0.7618580183327326,0.8702000321487254
population-PCG,128,149251,256,24,576,OOD,0.27650915874429033,0.14403160987325359,0.14211204937707103,0.08076807155696726,20,1,2.3819255950511438,0.17656273934990163,0.00613777807448054,36,0.05,0.4055629178071542,0.6820720765514445,0.5476749671842253
population-PCG,128,149251,256,32,1024,All,0.21731068510404272,0.16271111176559316,0.304088283754279,0.12230452995291098,28,1,2.3819255950511438,0.4826713435884033,0.012257874727116053,36,0.05,0.3427632255448281,0.5600739106488708,0.6468515092991071
population-PCG,128,149251,256,32,1024,ID,0.109611454049623,0.12246478357630725,0.34237168382209265,0.1259827543807052,8,1,2.3819255950511438,0.5714979190379381,0.012293159554246763,36,0.05,0.6412512773871342,0.7508627314367572,0.9836229612092269
population-PCG,128,149251,256,32,1024,OOD,0.2603903775258106,0.15893211123130252,0.2887749237271536,0.1206037960446472,20,1,2.3819255950511438,0.44714071340858935,0.01224376079626377,36,0.05,0.4055629178071542,0.6659532953329648,0.6943378415343078
population-PCG,128,149251,256,48,2304,All,0.1772959203235993,0.14776007579327397,0.49614168073738174,0.138452008483188,28,1,2.3819255950511438,1.1382451754595553,0.034409211649160255,36,0.05,0.3427632255448281,0.5200591458684274,0.8389049062822098
population-PCG,128,149251,256,48,2304,ID,0.08836386278984538,0.09996347375687115,0.5520859594611534,0.12412552361822739,8,1,2.3819255950511438,1.4052976071834564,0.03132328402716661,36,0.05,0.6412512773871342,0.7296151401769796,1.0
population-PCG,128,149251,256,48,2304,OOD,0.2128687433371009,0.1506063893518538,0.4737639692478731,0.14042389329075705,20,1,2.3819255950511438,1.0314242027699947,0.035643582697957706,36,0.05,0.4055629178071542,0.6184316611442551,0.8793268870550273
