method,network_width,parameter_count,dataset_size,context_size,context_measurements,regime_class,n_tasks,n_seeds,training_seconds,average_precision_mean,average_precision_std,auc_mean,auc_std,iou_top7_mean,iou_top7_std,centroid_error_mean,centroid_error_std,area_matched_iou_mean,area_matched_iou_std,exact_score_correlation_mean,exact_score_correlation_std,relative_score_error_mean,relative_score_error_std,mean_relative_residual_mean,mean_relative_residual_std,covariance_relative_residual_mean,covariance_relative_residual_std,posterior_std_mean_mean,posterior_std_mean_std,uq_error_correlation_mean,uq_error_correlation_std,numerical_coverage_95_mean,numerical_coverage_95_std,average_precision_ci95,auc_ci95,iou_top7_ci95,centroid_error_ci95,area_matched_iou_ci95,exact_score_correlation_ci95,relative_score_error_ci95,mean_relative_residual_ci95,covariance_relative_residual_ci95,posterior_std_mean_ci95,uq_error_correlation_ci95,numerical_coverage_95_ci95,localization_risk_mean,localization_risk_ci95
exact,0,0,0,24,576,ID,8,1,0.0,0.8784715625915123,0.13296359472902503,0.9924239948327891,0.008907302607692364,0.3215809726514927,0.1755421082817084,0.0312603884376585,0.016694386052015304,0.706985424419635,0.2311318629173009,1.0,0.0,0.0,0.0,0.00011032986185453555,7.470787686389129e-05,2.3357176388572043e-06,9.200316740803162e-07,0.0198610639199614,0.013077280137489655,0.0,0.0,1.0,0.0,0.0921390702941568,0.0061724457944602905,0.12164447484678363,0.011568619313423614,0.1601662094647609,0.0,0.0,5.176991741173696e-05,6.37549422935631e-07,0.00906209279540118,0.0,0.0,0.12152843740848773,0.0921390702941568
exact,0,0,0,24,576,OOD,20,1,0.0,0.7239950630486744,0.14388237304887744,0.9785584012053719,0.014653848904454444,0.4120155041022949,0.10511080317915916,0.05512056574225421,0.03245736517247181,0.4799746743802749,0.1357344515597341,1.0,0.0,0.0,0.0,3.952615725211217e-05,1.8457210947471404e-05,1.3801044985939371e-06,3.2938942182217314e-07,0.031384981423616364,0.009690949667462187,0.0,0.0,1.0,0.0,0.06305923031264962,0.0064223324473447075,0.046066840611327375,0.014225067479651505,0.05948824627293869,0.0,0.0,8.089229357305475e-06,1.4436127909969142e-07,0.004247245955702988,0.0,0.0,0.27600493695132555,0.06305923031264962
exact,0,0,0,32,1024,All,28,1,0.0,0.7839249261650565,0.1612083381164214,0.9823820212298194,0.01781954612721066,0.3950330972051179,0.14813042782040822,0.040188624057918745,0.03927482738435953,0.57575583816693,0.2163652545354338,1.0,0.0,0.0,0.0,0.00010123730076623752,0.00010586479616496198,2.3367853024020794e-06,1.0111623022396847e-06,0.027071482817908436,0.011369223084763595,0.0,0.0,1.0,0.0,0.05971240406964921,0.006600452254010097,0.05486827830601652,0.014547599646160658,0.0801428118198327,0.0,0.0,3.9212869254864727e-05,3.74539758158963e-07,0.004211219163521872,0.0,0.0,0.2160750738349435,0.05971240406964921
exact,0,0,0,32,1024,ID,8,1,0.0,0.8959602501182371,0.11420047265926675,0.9918518669026506,0.009321143396687544,0.31394114702327186,0.2074367111826506,0.029983378830365785,0.022539326522964795,0.7721510195898729,0.24422041951610451,1.0,0.0,0.0,0.0,0.0002011834967561127,0.0001589332299246345,3.3164331227908406e-06,1.3580553328417294e-06,0.018470524519216214,0.012395192575998009,0.0,0.0,1.0,0.0,0.0791368900594349,0.006459222830125772,0.14374630704140182,0.015618956415210888,0.16923611644917974,0.0,0.0,0.00011013510934287796,9.410843323773619e-07,0.008589430230109314,0.0,0.0,0.1040397498817629,0.0791368900594349
exact,0,0,0,32,1024,OOD,20,1,0.0,0.7391107965837843,0.15724700534591132,0.9785940829606871,0.01914061362673338,0.42746987727785635,0.10701470270872981,0.04427072214893993,0.04408438699957123,0.4971977655977529,0.14769718028696788,1.0,0.0,0.0,0.0,6.125882237028744e-05,2.7048372215350785e-05,1.944926174246575e-06,4.557918550791487e-07,0.030511866137385324,0.009136327420515226,0.0,0.0,1.0,0.0,0.06891653866949918,0.008388743787285186,0.04690126137033554,0.019320834471180052,0.0647311433005136,0.0,0.0,1.1854471795031223e-05,1.99759588023351e-07,0.004004172038685601,0.0,0.0,0.2608892034162157,0.06891653866949918
exact,0,0,0,48,2304,All,28,1,0.0,0.8207732162027962,0.14493040615607336,0.9854069291853341,0.013631699189855025,0.3929727448369523,0.14773088234036072,0.043375947346378604,0.031649012251918976,0.6124230551893967,0.19552421307008808,1.0,0.0,0.0,0.0,0.0002457690080908185,0.0002812730631454124,5.062435040567184e-06,3.0703759483985026e-06,0.026009473151394246,0.011534447899300039,0.0,0.0,1.0,0.0,0.05368297369407765,0.005049252040503586,0.05472028458914334,0.011722958192317948,0.0724231820305081,0.0,0.0,0.00010418500058177796,1.1372831667311133e-06,0.0042724192912771,0.0,0.0,0.1792267837972038,0.05368297369407765
exact,0,0,0,48,2304,ID,8,1,0.0,0.9141228988673104,0.09683178005734773,0.993314996060823,0.008096087315957226,0.3280863658712869,0.21656507589529445,0.028774978709407085,0.023570724340384114,0.7622406033120319,0.22385985032823771,1.0,0.0,0.0,0.0,0.000517992642926375,0.0004175581278797892,8.043029993132222e-06,4.275426518751444e-06,0.01764266425743694,0.012546752886688772,0.0,0.0,1.0,0.0,0.06710100014665657,0.005610302277347914,0.15007194105906718,0.016333678638193128,0.1551269618384524,0.0,0.0,0.00028935302008809135,2.962719422196461e-06,0.00869445616708853,0.0,0.0,0.08587710113268965,0.06710100014665657
exact,0,0,0,48,2304,OOD,20,1,0.0,0.7834333431369905,0.14580030090355614,0.9822437024351386,0.014249617471797987,0.41892729642321846,0.10607877660514164,0.04921633480116721,0.03306139205767999,0.5524960359403425,0.15044187906613843,1.0,0.0,0.0,0.0,0.00013687955415659584,6.713106575813634e-05,3.87019705954117e-06,1.1938334293323483e-06,0.029356196708977173,0.009476252949418645,0.0,0.0,1.0,0.0,0.063899799256214,0.006245170210780562,0.04649107366998577,0.014489793934061844,0.06593406057791885,0.0,0.0,2.9421486781691455e-05,5.232205695525691e-07,0.004153150970309062,0.0,0.0,0.21656665686300947,0.063899799256214
identity-CG,0,0,0,8,64,All,28,1,0.0,0.478183618251093,0.2776643282230551,0.8819161635874336,0.11876021471650358,0.21138711134721802,0.10832756894911061,0.10631941982345386,0.057682818917331596,0.3272849613785354,0.2412341692755529,0.9999999999611944,1.0323181883481822e-10,1.1842054904929813e-06,1.0116823491782776e-06,1.78061727861437e-05,2.6895759500543046e-05,8.342535830406308e-07,7.594801433351703e-07,0.034633238367470204,0.01500539369230888,-0.11997884664424378,0.1428422588141953,1.0,0.0,0.10284830646048236,0.043989399130390225,0.04012509306001689,0.0213660151287004,0.089354386748812,3.823760080361236e-11,3.7473238624070653e-07,9.962328734489556e-06,2.8131538189391697e-07,0.005558075604825317,0.05290951309463187,0.0,0.521816381748907,0.10284830646048236
identity-CG,0,0,0,8,64,ID,8,1,0.0,0.7516771102609061,0.2625011535939359,0.951228496588879,0.06219593917816821,0.22584245819539933,0.09332704029067494,0.0766694316989742,0.059932435166423846,0.5795528456365096,0.27890485492992056,0.9999999998898866,1.7652584357697147e-10,1.671140278602934e-06,1.3654260734431777e-06,4.317195906367033e-05,4.053486731402993e-05,1.5093529661669436e-06,1.0887751220017837e-06,0.02483630680944766,0.019093431746923,-0.04194155868052829,0.09726540255831577,1.0,0.0,0.18190401886005225,0.043099586948045825,0.06467233939645425,0.04153105869281738,0.19327120394226116,1.2232616862699323e-10,9.4619199502578e-07,2.8089229961202544e-05,7.544826665155783e-07,0.013231073163084325,0.06740148520934795,0.0,0.2483228897390939,0.18190401886005225
identity-CG,0,0,0,8,64,OOD,20,1,0.0,0.3687862214471678,0.200202347393281,0.8541912303868553,0.12563990184286988,0.2056049726079455,0.11551518585872089,0.11817941507324572,0.05372829478282951,0.22637780767534577,0.1285470988814451,0.9999999999897176,2.5807472094502965e-11,9.894315752490002e-07,7.923393658826031e-07,7.659858275133047e-06,6.583246631021042e-06,5.642138297901056e-07,3.380556425492843e-07,0.03855201099067922,0.011361248087623907,-0.15119376182973,0.14805328335618806,1.0,0.0,0.0877425473731752,0.055064114796583394,0.05062676237066997,0.023547463412112602,0.056338250076222486,1.1310623338424551e-11,3.4725803793906533e-07,2.885235048003467e-06,1.4815941779584373e-07,0.004979286514500643,0.06488721235178904,0.0,0.6312137785528322,0.0877425473731752
identity-CG,0,0,0,12,144,All,28,1,0.0,0.7162176694976589,0.18033602788379624,0.9770040021090856,0.01742866966539934,0.3518789945769855,0.125523385090802,0.04463252435172238,0.03552774189848721,0.5194353152152337,0.21295502567354482,0.9999999999063096,1.9742640275807824e-10,2.2195487007690773e-06,1.3356046639684696e-06,4.5795691887299757e-05,5.405918125923357e-05,1.8312791313844303e-06,2.9526111289923406e-06,0.03238859885771355,0.012600507111666718,-0.17232868396385329,0.13986273085208478,1.0,0.0,0.06679739950880281,0.006455669586427874,0.04649451249425568,0.013159659758992168,0.07887964537230047,7.312776295103319e-11,4.947148907061984e-07,2.002380095683738e-05,1.0936624671833542e-06,0.004667293149507928,0.051805880492936815,0.0,0.28378233050234114,0.06679739950880281
identity-CG,0,0,0,12,144,ID,8,1,0.0,0.8556908240887386,0.17211075501081924,0.9882409018173137,0.01422255126091322,0.2959947048792576,0.1618708687671477,0.031000090180896174,0.018844982456851136,0.7024713636861909,0.24513590155115225,0.9999999997303758,3.151753781652851e-10,2.9696870313955515e-06,1.2118005872014243e-06,0.00010031823489950138,7.792836113902094e-05,3.954231971192712e-06,5.075831443460596e-06,0.022092823870480012,0.013932512571096962,-0.15184390693076286,0.13942873053102442,1.0,0.0,0.1192666683436211,0.009855725193517718,0.1121707892021717,0.013058906588849345,0.1698705131331157,2.1840539422043344e-10,8.39734964402848e-07,5.4001599155992805e-05,3.5173717371542712e-06,0.009654738635629692,0.0966191808337048,0.0,0.14430917591126136,0.1192666683436211
identity-CG,0,0,0,12,144,OOD,20,1,0.0,0.660428407661227,0.15438222120471123,0.9725092422257943,0.01681370495361205,0.37423271045607676,0.10438335103318228,0.050085498020052854,0.039411842946552415,0.44622089582685087,0.15018933732182485,0.999999999976683,2.3356961275922825e-11,1.919493368518488e-06,1.289270015538251e-06,2.3986674682419108e-05,1.2774428873037913e-05,9.820979954611174e-07,4.89767986145695e-07,0.03650690885260697,0.00957196370693919,-0.18052259477708946,0.1427880920706502,1.0,0.0,0.06766099166170418,0.0073689310970606915,0.04574802065136602,0.017273001749619214,0.06582337927846033,1.0236639619515556e-11,5.650474976347649e-07,5.598640301434366e-06,2.1465028400409004e-07,0.004195098059267873,0.06257964052850462,0.0,0.339571592338773,0.06766099166170418
identity-CG,0,0,0,16,256,All,28,1,0.0,0.7597187799052438,0.1832456285167055,0.9831604675874034,0.01705126793387279,0.38875662911714876,0.13918944966195154,0.048081498726138,0.03437564332651546,0.5458538152581263,0.18243499605643346,0.9999994465524171,1.26513816238714e-06,0.00017019925442693717,0.00020540978958164362,0.022477865116862977,0.027952713052963367,0.0008374958164186173,0.0010297918280536265,0.028600667636575393,0.012062113179699425,0.08511383974377822,0.16438064562962912,1.0,0.0,0.06787513066529,0.006315878028790056,0.0515564936501254,0.012732916475974382,0.06757486820005211,4.686137332539071e-07,7.608485081275894e-05,0.010353829809076617,0.00038144023108750767,0.0044678692463158915,0.060887443216352914,0.0,0.24028122009475616,0.06787513066529
identity-CG,0,0,0,16,256,ID,8,1,0.0,0.8829706811170356,0.08699540807536268,0.9936264172757533,0.006514158484569159,0.3357119928094504,0.19913605498025214,0.030068728257901925,0.011846022131483263,0.6848946784922395,0.17635976109266238,0.9999987656715683,2.2174324462788275e-06,0.0002904859675254243,0.0002934036175103521,0.049901801859959925,0.035949254555173615,0.0015895513170107252,0.0014776272023364295,0.01998727011959995,0.012819388313378971,0.11360891193834222,0.09992679904970857,1.0,0.0,0.06028474212253629,0.004514081525399481,0.13799424575816796,0.008208874527672579,0.12221107933711979,1.5366022891950969e-06,0.00020331833381490933,0.024911562441073353,0.00102394341054104,0.008883382878912771,0.06924573888570809,0.0,0.11702931888296442,0.06028474212253629
