seed,method,network_width,parameter_count,context_size,context_measurements,depth,batch_size,inference_ms,peak_memory_mib,matvec_proxy
17,identity-CG,0,0,8,64,32,4,17.92577090091072,111.41650390625,1622016
17,identity-CG,0,0,12,144,32,4,15.486850650631823,112.40625,3667968
17,identity-CG,0,0,16,256,32,4,15.219575152150355,113.408203125,6553600
17,identity-CG,0,0,24,576,32,4,15.105835150461644,115.4541015625,14893056
17,identity-CG,0,0,32,1024,32,4,15.298250599880703,117.54931640625,26738688
17,identity-CG,0,0,48,2304,32,4,30.592204601271078,122.81689453125,61341696
17,exact,0,0,8,64,32,4,13.903597148600966,110.970703125,1622016
17,exact,0,0,12,144,32,4,10.603561002062634,111.755859375,3667968
17,exact,0,0,16,256,32,4,10.688017500797287,112.548828125,6553600
17,exact,0,0,24,576,32,4,10.96813885087613,114.158203125,14893056
17,exact,0,0,32,1024,32,4,11.143599249771796,115.798828125,26738688
17,exact,0,0,48,2304,32,4,22.02951690123882,119.244140625,61341696
17,population-PCG,128,149251,8,64,32,4,23.283032298786566,154.43310546875,1622016
17,population-PCG,128,149251,12,144,32,4,20.724088698625565,155.4228515625,3667968
17,population-PCG,128,149251,16,256,32,4,20.90799380093813,156.4248046875,6553600
17,population-PCG,128,149251,24,576,32,4,21.29105329804588,158.470703125,14893056
17,population-PCG,128,149251,32,1024,32,4,34.10540469922125,160.56591796875,26738688
17,population-PCG,128,149251,48,2304,32,4,54.71865489962511,165.83349609375,61341696
