seed,method,network_width,parameter_count,dataset_size,training_seconds,context_size,context_measurements,scenario,regime,task,auc,average_precision,iou_top7,centroid_error,area_matched_iou,exact_score_correlation,relative_score_error,mean_relative_residual,covariance_relative_residual,posterior_std_mean,uq_error_correlation,numerical_coverage_95
17,identity-CG,0,0,0,0.0,8,64,ID one obstacle,ID,0,0.9998566308243727,0.9888888888888889,0.16363636363636364,0.004848103504627943,0.8,0.9999999998714113,1.8226571683044313e-06,7.744604954496026e-05,2.9724312753387494e-06,0.010407635010778904,0.02394509358641926,1.0
17,identity-CG,0,0,0,0.0,8,64,ID one obstacle,ID,1,0.9998708010335917,0.9909090909090909,0.18181818181818182,0.02579677291214466,0.8181818181818182,0.9999999999288327,3.5081438909401186e-06,6.073485565138981e-05,1.970813627849566e-06,0.011429060250520706,-0.19121211605938307,1.0
17,identity-CG,0,0,0,0.0,8,64,ID one obstacle,ID,2,0.9994865211810012,0.9428571428571428,0.09090909090909091,0.011900728568434715,0.6666666666666666,0.9999999998493863,1.5786677067808341e-06,8.352055738214403e-05,2.6690895538195036e-06,0.0088040204718709,-0.03704554652592483,1.0
17,identity-CG,0,0,0,0.0,8,64,ID one obstacle,ID,3,1.0,1.0,0.21818181818181817,0.08051664382219315,1.0,0.9999999994796226,3.8109869819891173e-06,9.739791130414233e-05,2.3087980025593424e-06,0.011547843925654888,0.08906079260793903,1.0
17,exact,0,0,0,0.0,8,64,ID one obstacle,ID,0,0.9998566308243727,0.9888888888888889,0.16363636363636364,0.004848103504627943,0.8,1.0,0.0,3.059338632738218e-05,8.592779749960755e-07,0.010407618246972561,0.0,1.0
17,exact,0,0,0,0.0,8,64,ID one obstacle,ID,1,0.9998708010335917,0.9909090909090909,0.18181818181818182,0.02579677291214466,0.8181818181818182,1.0,0.0,2.9030248697381467e-05,8.430064326603315e-07,0.011428900994360447,0.0,1.0
17,exact,0,0,0,0.0,8,64,ID one obstacle,ID,2,0.9994865211810012,0.9428571428571428,0.09090909090909091,0.011900728568434715,0.6666666666666666,1.0,0.0,3.421145083848387e-05,1.0403243777545867e-06,0.008804035373032093,0.0,1.0
17,exact,0,0,0,0.0,8,64,ID one obstacle,ID,3,1.0,1.0,0.21818181818181817,0.08051664382219315,1.0,1.0,0.0,3.8332174881361425e-05,7.051105512800859e-07,0.011547858826816082,0.0,1.0
17,identity-CG,0,0,0,0.0,8,64,ID four obstacles,ID,0,0.9544963430851064,0.5495557221461498,0.3181818181818182,0.1265050321817398,0.3617021276595745,0.9999999999995239,2.972275012780301e-07,3.129719971184386e-06,3.9663359530095477e-07,0.02886289730668068,-0.17322268511953173,1.0
17,identity-CG,0,0,0,0.0,8,64,ID four obstacles,ID,1,0.9404577525382893,0.6873421990141118,0.38235294117647056,0.147025004029274,0.41818181818181815,0.9999999999931392,1.5182160950644175e-06,1.37391580210533e-05,5.223355969974364e-07,0.06302793323993683,-0.06123428348897322,1.0
17,identity-CG,0,0,0,0.0,8,64,ID four obstacles,ID,2,0.8520499108734403,0.34113668647614825,0.18181818181818182,0.15163864195346832,0.22033898305084745,0.9999999999978693,4.756727491894708e-07,7.914112757134717e-06,8.972954788077914e-07,0.040789730846881866,0.007723298926758257,1.0
17,identity-CG,0,0,0,0.0,8,64,ID four obstacles,ID,3,0.8636100131752306,0.5127271517957172,0.2698412698412698,0.0651245266199112,0.35135135135135137,0.9999999999993074,3.575501352770516e-07,1.4933078773538e-06,3.374265986622049e-07,0.023821333423256874,0.006452976628470062,1.0
