K,M,cond,capacity,proj_rank,method,precond,depth,tau,z_mse_post,z_mse_true,z_rel_post,first_mse_post,last_grad_mse,attn_entropy,eta_mean,rho_mean,precond_rank
8,128,10.0,below,4,linear,scalar_opt,32,5.0,0.5655211508274078,0.5655211508274078,0.7271864265203476,0.7542422860860825,348.10508728027344,0.0,0.04627305455505848,0.8383065760135651,0.0
8,128,10.0,below,4,softmax_scalar,scalar_opt,32,5.0,0.5520709753036499,0.5520709753036499,0.7343959808349609,0.8626909554004669,344.63111114501953,4.850979328155518,0.04605041351169348,0.838596522808075,0.0
8,128,10.0,below,4,signed_relu_scalar,scalar_opt,32,5.0,0.580374151468277,0.580374151468277,0.732641339302063,0.7595771849155426,359.92247772216797,3.873885154724121,0.04621129855513573,0.8388625234365463,0.0
8,128,10.0,below,4,softmax_vector_full,scalar_opt,32,5.0,1.4255967016651994e-05,1.4255967016651994e-05,0.0025684378342702985,0.37069278210401535,2.2035767415218288e-05,4.850980997085571,0.04637239873409271,0.8391447067260742,0.0
8,128,10.0,below,4,softmax_vector_projected,scalar_opt,32,5.0,0.5711999386548996,0.5711999386548996,0.7335478812456131,0.7472817748785019,343.4363021850586,4.850978255271912,0.04634874872863293,0.838388055562973,0.0
8,128,10.0,below,4,linear,jacobi,32,5.0,0.5774698555469513,0.5774698555469513,0.735109880566597,0.588416263461113,353.8035659790039,0.0,0.7246672213077545,0.5210703611373901,8.0
8,128,10.0,below,4,softmax_scalar,jacobi,32,5.0,0.5580764412879944,0.5580764412879944,0.727223202586174,0.7480733841657639,339.1486587524414,4.850981116294861,0.7241182327270508,0.5219689607620239,8.0
8,128,10.0,below,4,signed_relu_scalar,jacobi,32,5.0,0.5772386342287064,0.5772386342287064,0.7390391528606415,0.5873088538646698,356.3411102294922,3.874272644519806,0.7237147390842438,0.5224447101354599,8.0
8,128,10.0,below,4,softmax_vector_full,jacobi,32,5.0,1.782953233941953e-07,1.782953233941953e-07,0.00045269592374097556,0.12589851580560207,2.127754805769655e-05,4.850981831550598,0.7240563035011292,0.5224918574094772,8.0
8,128,10.0,below,4,softmax_vector_projected,jacobi,32,5.0,0.5631081163883209,0.5631081163883209,0.7270654290914536,0.5727611482143402,336.77423095703125,4.850980758666992,0.7236955165863037,0.5230978727340698,8.0
8,128,10.0,below,4,linear,lowrank_spectral,32,5.0,0.6384353935718536,0.6384353935718536,0.7672716826200485,0.6381417065858841,384.2053451538086,0.0,0.04612957593053579,0.8390833735466003,4.0
8,128,10.0,below,4,softmax_scalar,lowrank_spectral,32,5.0,0.635395810008049,0.635395810008049,0.7630906403064728,0.7175160646438599,376.84705352783203,4.850981116294861,0.046194291673600674,0.8385573029518127,4.0
8,128,10.0,below,4,signed_relu_scalar,lowrank_spectral,32,5.0,0.6124775558710098,0.6124775558710098,0.7633441835641861,0.6116136610507965,363.01251220703125,3.874136805534363,0.046202666126191616,0.8380132913589478,4.0
8,128,10.0,below,4,softmax_vector_full,lowrank_spectral,32,5.0,7.001721996857668e-06,7.001721996857668e-06,0.0017191952792927623,0.12014568038284779,2.1763962195109343e-05,4.8509827852249146,0.046164680272340775,0.8390085250139236,4.0
8,128,10.0,below,4,softmax_vector_projected,lowrank_spectral,32,5.0,0.620497077703476,0.620497077703476,0.7671165764331818,0.620206817984581,366.4346618652344,4.850984692573547,0.04615781828761101,0.8391223102807999,4.0
8,128,10.0,at,8,linear,scalar_opt,32,5.0,1.304330521634256e-05,1.304330521634256e-05,0.0024134640698321164,0.3736991509795189,1.5718981021331513e-11,0.0,0.04626744333654642,0.8384954631328583,0.0
8,128,10.0,at,8,softmax_scalar,scalar_opt,32,5.0,0.0027498675044625998,0.0027498675044625998,0.04510663077235222,0.5538762956857681,0.016839455347508192,4.849549055099487,0.046303137205541134,0.8390281796455383,0.0
8,128,10.0,at,8,signed_relu_scalar,scalar_opt,32,5.0,1.1944053767365403e-05,1.1944053767365403e-05,0.0023902838001959026,0.38127318024635315,1.5511637764184516e-11,3.8740562200546265,0.04615045338869095,0.8387312144041061,0.0
8,128,10.0,at,8,softmax_vector_full,scalar_opt,32,5.0,1.5162914678512607e-05,1.5162914678512607e-05,0.0027019534027203918,0.3657420054078102,3.283032856415957e-05,4.849549412727356,0.04617356974631548,0.8387922793626785,0.0
8,128,10.0,at,8,softmax_vector_projected,scalar_opt,32,5.0,1.7101534922403516e-05,1.7101534922403516e-05,0.0027952389791607857,0.37888720631599426,3.305377413198585e-05,4.849550247192383,0.046161701902747154,0.8386814594268799,0.0
8,128,10.0,at,8,linear,jacobi,32,5.0,6.883199454746185e-14,6.883199454746185e-14,2.4306921631023215e-07,0.13161246851086617,1.6685072160710357e-11,0.0,0.7229149490594864,0.5241321474313736,8.0
8,128,10.0,at,8,softmax_scalar,jacobi,32,5.0,1.0061389048132696e-05,1.0061389048132696e-05,0.0030052828369662166,0.5115836411714554,0.0006803868600400165,4.84955096244812,0.7242162823677063,0.5226974338293076,8.0
8,128,10.0,at,8,signed_relu_scalar,jacobi,32,5.0,6.789398517947475e-14,6.789398517947475e-14,2.417760391892898e-07,0.1334482505917549,1.586452583884901e-11,3.8739777207374573,0.7227165997028351,0.5229279845952988,8.0
