variant,seed,n_context,method,mse,se,episodes,parameters,eta,beta
mismatched,0,4,model,0.6063864827156067,0.005293844733387232,5120,1346,2.6865155696868896,0.655190646648407
mismatched,0,4,exact_krr,0.5163032412528992,0.004875931888818741,5120,1346,2.6865155696868896,0.655190646648407
mismatched,0,4,nw,0.8507444262504578,0.009671485051512718,5120,1346,2.6865155696868896,0.655190646648407
mismatched,0,8,model,0.3531050682067871,0.003738988656550646,5120,1346,2.631577491760254,0.6158081293106079
mismatched,0,8,exact_krr,0.24134819209575653,0.0030238127801567316,5120,1346,2.631577491760254,0.6158081293106079
mismatched,0,8,nw,0.456900417804718,0.005323498975485563,5120,1346,2.631577491760254,0.6158081293106079
mismatched,0,12,model,0.21007032692432404,0.002627941081300378,5120,1346,2.5758044719696045,0.5771433711051941
mismatched,0,12,exact_krr,0.11072063446044922,0.0017563612200319767,5120,1346,2.5758044719696045,0.5771433711051941
mismatched,0,12,nw,0.32142630219459534,0.003502211533486843,5120,1346,2.5758044719696045,0.5771433711051941
mismatched,0,16,model,0.12540963292121887,0.0018686396069824696,5120,1346,2.518873929977417,0.5425238609313965
mismatched,0,16,exact_krr,0.05727230757474899,0.0010782728204503655,5120,1346,2.518873929977417,0.5425238609313965
mismatched,0,16,nw,0.2646324038505554,0.002540683839470148,5120,1346,2.518873929977417,0.5425238609313965
mismatched,0,24,model,0.041540879756212234,0.000760308641474694,5120,1346,2.395878553390503,0.4814285337924957
mismatched,0,24,exact_krr,0.01681051403284073,0.0003487182839307934,5120,1346,2.395878553390503,0.4814285337924957
mismatched,0,24,nw,0.20769166946411133,0.0017586015164852142,5120,1346,2.395878553390503,0.4814285337924957
