layer,R_spike,S_token_var,C_col_imbalance,gap,H_attn,H_query,spike_col_load,max_col_load,run_id,seed,norm,d_model,tau,eta,q_equals_k,use_mlp,residual,data_kind,steps
1,0.10528163611888885,7.306069374084473,0.1080588772892952,0.04875226691365242,2.6477956771850586,2.6811306476593018,0.9970400333404541,1.6372475624084473,45,45001,unbalanced_sinkhorn,4,0.2,0.2,False,True,True,linear,300
2,0.10528163611888885,7.306069374084473,0.1080588772892952,0.04875226691365242,2.6477956771850586,2.6811306476593018,0.9970400333404541,1.6372475624084473,45,45001,unbalanced_sinkhorn,4,0.2,0.2,False,True,True,linear,300
3,0.10528163611888885,7.306069374084473,0.1080588772892952,0.04875226691365242,2.6477956771850586,2.6811306476593018,0.9970400333404541,1.6372475624084473,45,45001,unbalanced_sinkhorn,4,0.2,0.2,False,True,True,linear,300
4,0.10528163611888885,7.306069374084473,0.1080588772892952,0.04875226691365242,2.6477956771850586,2.6811306476593018,0.9970400333404541,1.6372475624084473,45,45001,unbalanced_sinkhorn,4,0.2,0.2,False,True,True,linear,300
