layer,R_spike,S_token_var,C_col_imbalance,gap,H_attn,H_query,spike_col_load,max_col_load,run_id,seed,norm,d_model,tau,eta,q_equals_k,use_mlp,residual,data_kind,steps
1,0.32792991399765015,8.057558059692383,0.052175089716911316,0.015497390180826187,1.62340247631073,1.7025389671325684,1.0932652950286865,1.4250404834747314,40,40001,unbalanced_sinkhorn,4,0.1,0.05,False,True,True,linear,300
2,0.32792991399765015,8.057558059692383,0.052175089716911316,0.015497390180826187,1.62340247631073,1.7025389671325684,1.0932652950286865,1.4250404834747314,40,40001,unbalanced_sinkhorn,4,0.1,0.05,False,True,True,linear,300
3,0.32792991399765015,8.057558059692383,0.052175089716911316,0.015497390180826187,1.62340247631073,1.7025389671325684,1.0932652950286865,1.4250404834747314,40,40001,unbalanced_sinkhorn,4,0.1,0.05,False,True,True,linear,300
4,0.32792991399765015,8.057558059692383,0.052175089716911316,0.015497390180826187,1.62340247631073,1.7025389671325684,1.0932652950286865,1.4250404834747314,40,40001,unbalanced_sinkhorn,4,0.1,0.05,False,True,True,linear,300
