layer,R_spike,S_token_var,C_col_imbalance,gap,H_attn,H_query,spike_col_load,max_col_load,run_id,seed,norm,d_model,tau,eta,q_equals_k,use_mlp,residual,data_kind,steps
1,0.07834374159574509,8.85918140411377,6.466465856647119e-05,0.07234813272953033,2.8373825550079346,2.8849592208862305,0.998654305934906,1.0100147724151611,23,23001,sinkhorn,4,0.8,1.0,False,True,True,linear,300
2,0.07834374159574509,8.85918140411377,6.466465856647119e-05,0.07234813272953033,2.8373825550079346,2.8849592208862305,0.998654305934906,1.0100147724151611,23,23001,sinkhorn,4,0.8,1.0,False,True,True,linear,300
3,0.07834374159574509,8.85918140411377,6.466465856647119e-05,0.07234813272953033,2.8373825550079346,2.8849592208862305,0.998654305934906,1.0100147724151611,23,23001,sinkhorn,4,0.8,1.0,False,True,True,linear,300
4,0.07834374159574509,8.85918140411377,6.466465856647119e-05,0.07234813272953033,2.8373825550079346,2.8849592208862305,0.998654305934906,1.0100147724151611,23,23001,sinkhorn,4,0.8,1.0,False,True,True,linear,300
