seed,refinements,method,depth,h_relative,query_relative,coefficient_mse,statistical_query_mse
0,2,trained_head_hb,8,7.650571660633432e-05,1.1235864939236541e-05,0.001082013055565767,0.0008210857922676951
0,2,initial_head_hb,8,0.0002052471008937573,4.7346604356551535e-05,0.0025767733459360898,0.0008544343072571792
0,2,trained_head_pcg,8,1.819774619882253e-08,3.1220324232503775e-09,3.4215469497667073e-06,0.0008205887643271126
0,2,initial_head_pcg,8,1.82144173077603e-08,3.130494202628883e-09,3.426199214118242e-06,0.0008205896083381958
0,2,identity_pcg,8,2.202363120318296e-06,5.413388434256177e-07,7.593520695081679e-05,0.0008217318027163856
0,2,identity_pcg_equal_work,20,4.6850826773692233e-08,7.4443575455340454e-09,1.1248753594372829e-05,0.0008205509438994341
0,2,jacobi_pcg_equal_work,20,1.0253662452441858e-07,5.203909195591248e-09,2.1991353378325584e-05,0.0008206510319723748
0,2,oracle_top_pcg,8,1.8211334662510126e-08,3.1290923222642373e-09,3.4248519398261124e-06,0.0008205886842915788
0,2,trained_head_oracle_hb,8,0.8678509742021561,0.8693342717196392,0.1098922211676836,0.8395949155092239
0,2,trained_head_oracle_chebyshev,8,0.0781222628429532,0.07829314512468834,0.010176598210819066,0.07659404538571835
0,2,oracle_prompt_esd_polynomial,8,1.7393751328143026e-08,3.116878109036626e-09,3.256606873947021e-06,0.0008205888589145616
1,2,trained_head_hb,8,6.6525995862321e-05,0.00014091664080105397,0.001068594865500927,0.0009386929668835364
1,2,initial_head_hb,8,0.00017556753300596029,0.0002347812327194774,0.0025265991571359336,0.0010271978753735311
1,2,trained_head_pcg,8,1.8457015693584822e-08,2.9654699174776655e-09,3.4345413268965785e-06,0.0008122105209622532
1,2,initial_head_pcg,8,1.844764963010448e-08,2.9760421139585833e-09,3.4329640641317383e-06,0.000812205980764702
1,2,identity_pcg,8,2.13425286688107e-06,5.201978185310744e-07,7.541843115177471e-05,0.0008122327490127645
1,2,identity_pcg_equal_work,20,4.844687673255521e-08,8.006416574028973e-09,1.1100672850261617e-05,0.0008121668361127377
1,2,jacobi_pcg_equal_work,20,1.0445583242812972e-07,7.114048036188504e-09,2.2367738438333618e-05,0.0008122404760797508
1,2,oracle_top_pcg,8,1.845989427984307e-08,2.9859753402902544e-09,3.434665643453627e-06,0.0008122013387037441
1,2,trained_head_oracle_hb,8,0.8647301197052002,0.7975935417448605,0.10834144614636898,0.8043000176548958
1,2,trained_head_oracle_chebyshev,8,0.07792323920875788,0.07332459702159239,0.010068219737149775,0.07423333264887333
1,2,oracle_prompt_esd_polynomial,8,1.7564926402258152e-08,2.9365074850710193e-09,3.2619464889194205e-06,0.0008121985956677236
2,2,trained_head_hb,8,7.714491016486136e-05,2.136667932161862e-05,0.0012201757781440392,0.0008848843863233924
2,2,initial_head_hb,8,0.0001871587592177093,1.74352593217267e-05,0.0025462039338890463,0.0008853205799823627
2,2,trained_head_pcg,8,1.7683463804374355e-08,3.068301423118676e-09,3.2164843446480518e-06,0.0008658241495140828
2,2,initial_head_pcg,8,1.767842938704689e-08,3.071551345245245e-09,3.2158706062546116e-06,0.0008658265505800955
2,2,identity_pcg,8,2.240773753214853e-06,5.806883477970229e-07,7.190988708316581e-05,0.0008653632467030548
2,2,identity_pcg_equal_work,20,4.687994392682526e-08,1.0305821611723488e-08,1.0994239005412965e-05,0.0008658165679662488
2,2,jacobi_pcg_equal_work,20,1.0301709618687482e-07,7.1621415530396095e-09,2.1513607180168037e-05,0.0008657940488774329
2,2,oracle_top_pcg,8,1.7675089836188818e-08,3.0639170268513996e-09,3.2138478331944498e-06,0.0008658247534185648
2,2,trained_head_oracle_hb,8,0.8613390624523163,0.8245910579119953,0.10784080624580383,0.7793044447898865
2,2,trained_head_oracle_chebyshev,8,0.07771350536495447,0.07537104188135615,0.010009997873567045,0.07189091062173247
2,2,oracle_prompt_esd_polynomial,8,1.6845275618848632e-08,3.045534338030295e-09,3.0451538464149053e-06,0.0008658279402879998
