name,model_kind,optimizer,seed,effective_batch_size,full_batch,width,rank,depth,epochs,train_subset,final_test_acc,final_test_loss,ntrainable,logit_defect_mean,partial_defect_mean,prediction_consistency_mean,first_weight_self_symmetry_mean,first_weight_pair_symmetry_mean
mlp_adam_seed42_bs512_W128_r128_L2_ep20_N2000,mlp,adam,42,512,False,128,128,2,20,2000,0.89,0.35476654052734374,118282,0.6352335005998612,0.1946509400382638,0.5008612841367721,1.7304378747940063,1.4108810381342967
mmnn_adam_seed42_bs512_W128_r10_L2_ep20_N2000,mmnn,adam,42,512,False,128,10,2,20,2000,0.505,1.6577665405273438,2580,0.703985683619976,0.4245779052376747,0.43621604442596434,1.9958980480829875,1.743058250285685
mmnn_adam_seed42_bs512_W128_r25_L2_ep20_N2000,mmnn,adam,42,512,False,128,25,2,20,2000,0.671,1.5248889770507812,4515,0.664912848174572,0.27254654094576836,0.44574473351240157,1.9958980480829875,1.743058250285685
mlp_adam_seed42_bsfull_W128_r128_L2_ep20_N2000,mlp,adam,42,2000,True,128,128,2,20,2000,0.842,0.5207992706298828,118282,0.517438319325447,0.14196826722472905,0.5108062118291855,1.7345303297042847,1.4383534146472812
mmnn_adam_seed42_bsfull_W128_r10_L2_ep20_N2000,mmnn,adam,42,2000,True,128,10,2,20,2000,0.258,2.2274188232421874,2580,0.22590356171131135,0.3580813057720661,0.6392770051956177,1.9958980480829875,1.743058250285685
mmnn_adam_seed42_bsfull_W128_r25_L2_ep20_N2000,mmnn,adam,42,2000,True,128,25,2,20,2000,0.33,2.1944359130859374,4515,0.3114267818629742,0.3178622603416443,0.5527471661567688,1.9958980480829875,1.743058250285685
