name,model_kind,optimizer,seed,effective_batch_size,full_batch,width,rank,depth,epochs,train_subset,final_train_loss,final_test_acc,final_test_loss,ntrainable,logit_defect_mean,partial_defect_mean,prediction_consistency_mean,first_weight_self_symmetry_mean,first_weight_pair_symmetry_mean
mlp_adam_seed42_bs512_W128_r128_L2_ep20_N2000,mlp,adam,42,512,False,128,128,2,20,2000,0.10910075950622558,0.89,0.35476654052734374,118282,0.6352335005998612,0.1946509400382638,0.5008612841367721,1.7304378747940063,1.4108810381342967
mlp_adam_seed42_bsfull_W128_r128_L2_ep20_N2000,mlp,adam,42,2000,True,128,128,2,20,2000,0.45293746948242186,0.842,0.5207992706298828,118282,0.517438319325447,0.14196826722472905,0.5108062118291855,1.7345303297042847,1.4383534146472812
mlp_seed42_bs1_W128_r128_L2_ep20_N2000,mlp,sgd,42,1,False,128,128,2,20,2000,0.0030558447337604377,0.903,0.6585851287841797,118282,0.7753883816301823,0.3729441145434976,0.5045786246657371,1.891720136006673,1.4244892947996657
mlp_seed42_bs512_W128_r128_L2_ep20_N2000,mlp,sgd,42,512,False,128,128,2,20,2000,0.5293138275146484,0.843,0.5852028198242187,118282,0.5777823776006699,0.20219087935984134,0.5242091313004493,1.9413525263468425,1.6992976147060592
mlp_seed42_bs64_W128_r128_L2_ep20_N2000,mlp,sgd,42,64,False,128,128,2,20,2000,0.11373791289329528,0.893,0.3562522583007813,118282,0.7244683533906937,0.25903699547052383,0.5070024147629738,1.9204684495925903,1.5894855422278245
mlp_seed42_bs8_W128_r128_L2_ep20_N2000,mlp,sgd,42,8,False,128,128,2,20,2000,0.00858402988499438,0.899,0.4662763061523437,118282,0.7927553795278073,0.34052849020808934,0.5045786201953888,1.9035711685816448,1.498343560534219
mlp_seed42_bsfull_W128_r128_L2_ep20_N2000,mlp,sgd,42,2000,True,128,128,2,20,2000,1.9651536865234376,0.642,1.9684963989257813,118282,0.38996284604072573,0.3225763622671366,0.5158074855804443,1.9917547702789307,1.7993454293658335
mmnn_adam_seed42_bs512_W128_r10_L2_ep20_N2000,mmnn,adam,42,512,False,128,10,2,20,2000,1.6552389221191406,0.505,1.6577665405273438,2580,0.703985683619976,0.4245779052376747,0.43621604442596434,1.9958980480829875,1.743058250285685
mmnn_adam_seed42_bs512_W128_r25_L2_ep20_N2000,mmnn,adam,42,512,False,128,25,2,20,2000,1.5206507873535156,0.671,1.5248889770507812,4515,0.664912848174572,0.27254654094576836,0.44574473351240157,1.9958980480829875,1.743058250285685
mmnn_adam_seed42_bsfull_W128_r10_L2_ep20_N2000,mmnn,adam,42,2000,True,128,10,2,20,2000,2.2253798828125,0.258,2.2274188232421874,2580,0.22590356171131135,0.3580813057720661,0.6392770051956177,1.9958980480829875,1.743058250285685
mmnn_adam_seed42_bsfull_W128_r25_L2_ep20_N2000,mmnn,adam,42,2000,True,128,25,2,20,2000,2.193849853515625,0.33,2.1944359130859374,4515,0.3114267818629742,0.3178622603416443,0.5527471661567688,1.9958980480829875,1.743058250285685
mmnn_seed42_bs1_W128_r10_L2_ep20_N2000,mmnn,sgd,42,1,False,128,10,2,20,2000,0.38208122157935415,0.839,0.6548606872558593,2580,0.7878126263618469,0.5840938150882721,0.45427765399217607,1.9958980480829875,1.743058250285685
mmnn_seed42_bs1_W128_r25_L2_ep20_N2000,mmnn,sgd,42,1,False,128,25,2,20,2000,0.37525203485072656,0.842,0.6428355102539063,4515,0.8025592714548111,0.34985991641879083,0.4608862593770027,1.9958980480829875,1.743058250285685
mmnn_seed42_bs512_W128_r10_L2_ep20_N2000,mmnn,sgd,42,512,False,128,10,2,20,2000,2.253822082519531,0.213,2.2552254638671876,2580,0.15064944699406624,0.3201378509402275,0.5812595903873443,1.9958980480829875,1.743058250285685
mmnn_seed42_bs512_W128_r25_L2_ep20_N2000,mmnn,sgd,42,512,False,128,25,2,20,2000,2.2557607421875,0.297,2.2564874267578126,4515,0.2223389469087124,0.39974823147058486,0.5284323632717133,1.9958980480829875,1.743058250285685
mmnn_seed42_bs64_W128_r10_L2_ep20_N2000,mmnn,sgd,42,64,False,128,10,2,20,2000,0.9759863753318787,0.72,0.9952589721679688,2580,0.7802876397967339,0.2240957546979189,0.42317493855953214,1.9958980480829875,1.743058250285685
mmnn_seed42_bs64_W128_r25_L2_ep20_N2000,mmnn,sgd,42,64,False,128,25,2,20,2000,1.1107970523834227,0.718,1.12726806640625,4515,0.7347974643111229,0.24621494710445405,0.43148052245378493,1.9958980480829875,1.743058250285685
mmnn_seed42_bs8_W128_r10_L2_ep20_N2000,mmnn,sgd,42,8,False,128,10,2,20,2000,0.40174304610490796,0.835,0.547850830078125,2580,0.7864354759454727,0.40540067479014397,0.4502369210124016,1.9958980480829875,1.743058250285685
mmnn_seed42_bs8_W128_r25_L2_ep20_N2000,mmnn,sgd,42,8,False,128,25,2,20,2000,0.3904320165142417,0.831,0.5242886047363281,4515,0.7899720847606659,0.22739427611231805,0.45510692745447157,1.9958980480829875,1.743058250285685
mmnn_seed42_bsfull_W128_r10_L2_ep20_N2000,mmnn,sgd,42,2000,True,128,10,2,20,2000,2.29396044921875,0.105,2.2946729736328124,2580,0.07231401130557061,0.45068034529685974,0.9394947230815888,1.9958980480829875,1.743058250285685
mmnn_seed42_bsfull_W128_r25_L2_ep20_N2000,mmnn,sgd,42,2000,True,128,25,2,20,2000,2.288059326171875,0.197,2.288381103515625,4515,0.1414902176707983,0.4326960176229477,0.6287589490413665,1.9958980480829875,1.743058250285685
