variant,seed,n_context,method,mse,se,episodes,parameters
transformer,0,4,model,0.5314807891845703,0.004940452519804239,5120,100865
transformer,0,4,exact_krr,0.5163032412528992,0.004875931888818741,5120,100865
transformer,0,4,nw,0.8507444262504578,0.009671485051512718,5120,100865
transformer,0,8,model,0.2641315460205078,0.0031545821111649275,5120,100865
transformer,0,8,exact_krr,0.24134819209575653,0.0030238127801567316,5120,100865
transformer,0,8,nw,0.456900417804718,0.005323498975485563,5120,100865
transformer,0,12,model,0.13684478402137756,0.0019091686699539423,5120,100865
transformer,0,12,exact_krr,0.11072063446044922,0.0017563612200319767,5120,100865
transformer,0,12,nw,0.32142630219459534,0.003502211533486843,5120,100865
transformer,0,16,model,0.07940070331096649,0.0012400061823427677,5120,100865
transformer,0,16,exact_krr,0.05727230757474899,0.0010782728204503655,5120,100865
transformer,0,16,nw,0.2646324038505554,0.002540683839470148,5120,100865
transformer,0,24,model,0.03247123956680298,0.00046670096344314516,5120,100865
transformer,0,24,exact_krr,0.01681051403284073,0.0003487182839307934,5120,100865
transformer,0,24,nw,0.20769166946411133,0.0017586015164852142,5120,100865
