step,variant,seed,n_context,train_mse
1,transformer,0,12,1.1002826690673828
100,transformer,0,8,0.606426477432251
200,transformer,0,9,0.3736332058906555
300,transformer,0,6,0.47724443674087524
400,transformer,0,7,0.38014739751815796
500,transformer,0,10,0.30334004759788513
600,transformer,0,6,0.4656299352645874
700,transformer,0,8,0.2692684829235077
800,transformer,0,9,0.22796976566314697
900,transformer,0,9,0.25869283080101013
1000,transformer,0,10,0.1944388747215271
1100,transformer,0,7,0.3306809067726135
1200,transformer,0,6,0.3802669048309326
1300,transformer,0,10,0.17390775680541992
1400,transformer,0,16,0.10499106347560883
1500,transformer,0,12,0.19535142183303833
1600,transformer,0,14,0.12284068763256073
1700,transformer,0,9,0.22026300430297852
1800,transformer,0,8,0.2620713710784912
1900,transformer,0,16,0.08579551428556442
2000,transformer,0,11,0.14338418841362
2100,transformer,0,6,0.3625432252883911
2200,transformer,0,15,0.06150336191058159
2300,transformer,0,16,0.08025951683521271
2400,transformer,0,8,0.2929964065551758
2500,transformer,0,11,0.17396998405456543
2600,transformer,0,8,0.22967499494552612
2700,transformer,0,16,0.08046716451644897
2800,transformer,0,13,0.09206686168909073
2900,transformer,0,10,0.2442871779203415
3000,transformer,0,10,0.14491306245326996
3100,transformer,0,11,0.19016022980213165
3200,transformer,0,9,0.252919465303421
3300,transformer,0,9,0.23880594968795776
3400,transformer,0,16,0.0652637928724289
3500,transformer,0,10,0.2077775001525879
3600,transformer,0,13,0.16309089958667755
3700,transformer,0,9,0.21100857853889465
3800,transformer,0,8,0.2661083936691284
3900,transformer,0,7,0.23382729291915894
4000,transformer,0,12,0.13950133323669434
4100,transformer,0,13,0.11745581775903702
4200,transformer,0,9,0.17476530373096466
4300,transformer,0,16,0.10294386744499207
4400,transformer,0,12,0.11865081638097763
4500,transformer,0,8,0.3194141089916229
4600,transformer,0,12,0.12005528062582016
4700,transformer,0,10,0.19372916221618652
4800,transformer,0,16,0.08015263080596924
4900,transformer,0,15,0.0665547102689743
5000,transformer,0,11,0.173106387257576
