step,seed,loss,tau,selected
1,4,0.4736589193344116,1.2495977052722038,45 46 47 44 48 43 42 49
100,4,0.3778463304042816,1.2104047321570373,33 40 26 32 34 31 35 30
200,4,0.30853599309921265,1.1720636925025194,28 40 18 49 27 26 25 29
300,4,0.26334887742996216,1.1349371518356002,32 20 44 56 9 33 34 31
400,4,0.271970272064209,1.098986639426112,33 21 44 11 55 34 35 36
500,4,0.2799059748649597,1.0641749031509808,30 41 19 52 8 63 33 34
600,4,0.2592204809188843,1.0304658708933632,31 20 42 9 53 33 63 34
700,4,0.314170777797699,0.9978246131645195,31 41 21 9 63 32 33 34
800,4,0.25518834590911865,0.9662173069096798,29 40 19 51 63 8 33 34
900,4,0.2800814211368561,0.9356112004604039,29 40 19 51 8 63 28 30
1000,4,0.26730090379714966,0.9059745795971195,30 41 20 52 10 29 28 31
1100,4,0.27929022908210754,0.8772767346866686,30 41 19 53 8 63 31 29
1200,4,0.30697429180145264,0.8494879288608139,29 38 20 28 48 27 30 26
1300,4,0.32413697242736816,0.822579367202728,29 20 38 26 27 25 28 48
1400,4,0.32020998001098633,0.7965231669095385,31 22 40 12 32 33 34 30
1500,4,0.2810642123222351,0.7712923284000122,33 21 43 11 52 18 19 17
1600,4,0.312150776386261,0.7468607073374355,30 20 41 10 50 25 24 23
1700,4,0.2865872085094452,0.723202987538707,32 20 42 10 17 16 51 15
1800,4,0.2875392436981201,0.7002946547415665,31 40 21 10 48 35 34 36
1900,4,0.26472872495651245,0.6781119712027766,32 42 21 10 51 39 38 40
2000,4,0.28230559825897217,0.6566319511009417,31 41 21 11 49 38 39 37
2100,4,0.2950096130371094,0.6358323367184706,31 42 20 51 10 43 41 44
2200,4,0.27849504351615906,0.6156915753780029,29 39 20 48 11 26 63 43
2300,4,0.422982782125473,0.5961887971094048,28 23 37 26 25 24 27 22
2400,4,0.524179995059967,0.5773037930241883,28 24 26 25 27 23 29 22
2500,4,0.49640733003616333,0.5590169943749475,28 23 37 26 25 27 24 22
2600,4,0.2835463881492615,0.5413094522781122,29 21 40 49 12 24 25 23
2700,4,0.3056700527667999,0.5241628180790088,28 20 40 50 24 23 25 22
2800,4,0.3547794222831726,0.5075593243388804,28 20 39 24 50 23 25 22
2900,4,0.3701339662075043,0.4914817664241675,28 21 38 24 25 23 22 26
3000,4,0.31726929545402527,0.47591348467896966,28 20 39 24 49 25 23 22
3100,4,0.31709617376327515,0.4608383471622164,28 19 39 50 11 23 22 24
3200,4,0.30013659596443176,0.44624073293165945,28 19 39 50 10 22 23 21
3300,4,0.29715389013290405,0.43210551585736423,29 19 40 10 50 21 22 20
3400,4,0.27978038787841797,0.4184180489479291,30 20 40 10 50 63 27 22
3500,4,0.29961004853248596,0.40516414917319066,31 22 40 12 49 20 21 19
3600,4,0.2935909628868103,0.3923300827676878,31 20 41 11 50 18 19 17
3700,4,0.2847018241882324,0.3799025509996571,31 19 41 9 51 63 17 16
3800,4,0.27718591690063477,0.3678686763908121,31 20 41 10 51 63 0 46
3900,4,0.2629305124282837,0.3562159893726279,32 23 40 12 50 0 33 34
4000,4,0.4098520874977112,0.3449324153653037,32 37 24 33 34 31 35 30
4100,4,0.2822187840938568,0.3340062622660164,32 24 40 14 31 33 30 34
4200,4,0.3581482768058777,0.32342620833349656,32 25 39 33 31 34 14 30
4300,4,0.31263259053230286,0.31318129045637755,32 23 40 31 12 33 30 34
4400,4,0.3193855881690979,0.3032608927931576,31 22 40 12 30 29 32 28
4500,4,0.23391905426979065,0.29365473577200474,30 20 40 10 51 28 29 27
4600,4,0.27966630458831787,0.2843528654390072,32 22 41 11 51 33 31 34
4700,4,0.2687924802303314,0.2753456431438301,32 20 43 9 53 0 63 47
4800,4,0.2942507266998291,0.26662373555209185,32 21 42 10 52 0 63 33
4900,4,0.26883381605148315,0.25817810497411076,32 21 42 10 53 0 63 18
5000,4,0.2897384464740753,0.25,33 22 43 11 53 0 63 48
