layer,R_spike,S_token_var,C_col_imbalance,gap,H_attn,H_query,spike_col_load,max_col_load
1,0.02175137959420681,2.119675397872925,0.1658567637205124,0.5962339974939823,3.4177324771881104,3.5536632537841797,0.9697301983833313,2.613126277923584
2,0.013685708865523338,2.1569766998291016,0.17603565752506256,0.710705541074276,3.5158493518829346,3.483682632446289,1.0275624990463257,2.8528621196746826
3,0.011303840205073357,2.2817463874816895,0.09701240062713623,0.6439773254096508,3.6338212490081787,3.7273404598236084,1.0608718395233154,2.121424913406372
4,0.12071028351783752,2.3104941844940186,0.1365891844034195,0.27270835265517235,3.3204147815704346,3.3341870307922363,1.0659098625183105,2.1343252658843994
