name,model_kind,seed,width,rank,depth,n_train,batch_size,epochs,final_train_mse,output_even_defect,last_layer_even_mean,mean_layer_even,mean_layer_minima,mirror_distance_p20,mismatch_same_best20,signed_corr_best20
mlp_seed42_W384_r384_L2_N512_bs8_ep2000,mlp,42,384,384,2,512,8,2000,0.09387299418449402,0.0005233119009062648,61624717312.0,36420742656.0,0.2890625,0.014921951852738858,0.9604600162803522,0.03959388414487146
mmnn_seed42_W384_r5_L2_N512_bs8_ep2000,mmnn,42,384,5,2,512,8,2000,0.08666317164897919,0.0017806338146328926,0.019534964114427567,0.672413120046258,0.4,0.030258507281541825,0.7241997889827136,0.2811895435066595
mmnn_seed42_W384_r10_L2_N512_bs8_ep2000,mmnn,42,384,10,2,512,8,2000,0.08940653502941132,0.0014302172930911183,0.04502630978822708,2.080157522112131,0.5,0.030258507281541825,0.809508039657663,0.19661630152536422
mmnn_seed42_W384_r20_L2_N512_bs8_ep2000,mmnn,42,384,20,2,512,8,2000,0.09109457582235336,0.0013387898216024041,0.360882043838501,2.6954265832901,0.375,0.030258507281541825,0.9076298233005505,0.09704217921955399
mlp_seed42_W384_r384_L3_N512_bs8_ep2000,mlp,42,384,384,3,512,8,2000,0.07568904757499695,0.00019142874225508422,9009269760.0,18787993600.0,0.5052083333333334,0.018377091363072397,0.982221347136324,0.017800426561064935
mmnn_seed42_W384_r5_L3_N512_bs8_ep2000,mmnn,42,384,5,3,512,8,2000,0.066301628947258,0.0007246605237014592,0.0011726876255124807,1.5945353544472407,0.39999999999999997,0.028249692171812057,0.952553716138637,0.04271365185179361
mmnn_seed42_W384_r10_L3_N512_bs8_ep2000,mmnn,42,384,10,3,512,8,2000,0.07119704782962799,0.0011273868149146438,0.010104136541485786,2.1251969194660583,0.7999999999999999,0.028249692171812057,0.9118343571829141,0.09048930942809286
mmnn_seed42_W384_r20_L3_N512_bs8_ep2000,mmnn,42,384,20,3,512,8,2000,0.07346634566783905,0.0005871884641237557,0.06342922151088715,3.071031923095385,0.6333333333333333,0.028249692171812057,0.893735618965284,0.10811154921339367
mlp_seed43_W384_r384_L2_N512_bs8_ep2000,mlp,43,384,384,2,512,8,2000,0.11633088439702988,0.007061452139168978,50840391680.0,30274296832.0,0.18229166666666666,0.018010806292295456,0.9547520797723618,0.045370062271021354
mmnn_seed43_W384_r5_L2_N512_bs8_ep2000,mmnn,43,384,5,2,512,8,2000,0.10540217906236649,0.002641191938892007,0.04209655523300171,1.111321896314621,0.2,0.02752429135143757,0.828328172916994,0.179172100462501
mmnn_seed43_W384_r10_L2_N512_bs8_ep2000,mmnn,43,384,10,2,512,8,2000,0.08930772542953491,0.0020996027160435915,0.32084745168685913,1.493732899427414,0.65,0.02752429135143757,0.9295083603230039,0.07621785314255196
mmnn_seed43_W384_r20_L2_N512_bs8_ep2000,mmnn,43,384,20,2,512,8,2000,0.09005068242549896,0.002467914018779993,0.07809664309024811,2.298739083111286,0.525,0.02752429135143757,0.928332894849754,0.07415058947453412
mlp_seed43_W384_r384_L3_N512_bs8_ep2000,mlp,43,384,384,3,512,8,2000,0.08356361836194992,0.001133509213104844,10518896640.0,16135839914.666666,0.4366319444444444,0.021436354145407677,1.0123644733567274,-0.012376332110142994
mmnn_seed43_W384_r5_L3_N512_bs8_ep2000,mmnn,43,384,5,3,512,8,2000,0.0908149778842926,0.0014414817560464144,0.018091557547450066,2.1057587061077356,0.5333333333333333,0.02846795953810215,0.6970713517609708,0.3215010154084773
mmnn_seed43_W384_r10_L3_N512_bs8_ep2000,mmnn,43,384,10,3,512,8,2000,0.09120535105466843,0.0016258914256468415,0.019026735797524452,1.5675734411925077,0.13333333333333333,0.02846795953810215,0.8502403483762235,0.1601705519264825
mmnn_seed43_W384_r20_L3_N512_bs8_ep2000,mmnn,43,384,20,3,512,8,2000,0.08051331341266632,0.001121021807193756,0.024713953956961632,1.6783550847321749,0.8833333333333333,0.02846795953810215,0.8496378032215451,0.15242251716452562
