tensor,component,fit_start,fit_end,effective_exponent,asymptotic_exponent
V,0000,6000,12000,1.0001173931367817,1
V,0101,6000,12000,1.0006183215157658,1
V,0022,6000,12000,1.0011167770944946,1
D,0000,6000,12000,2.0001173931367817,2
D,0101,6000,12000,1.9989587190980194,2
D,0022,6000,12000,2.001766585019768,2
F,0000,6000,12000,2.0001173931367813,2
F,0101,6000,12000,2.0001190526975923,2
F,0022,6000,12000,1.9970121062934212,2
A,0000,6000,12000,3.0001509311524996,3
A,0101,6000,12000,2.9939602403486267,3
A,0022,6000,12000,3.002404605717987,3
B,0000,6000,12000,3.0001760861764613,3
B,0101,6000,12000,2.998967219759601,3
B,0022,6000,12000,2.9957264890815956,3
