epsilon,full_total_output_rms,full_routing_output_rms,full_qk_loss_gradient_norm,full_vo_loss_gradient_norm,qk_only_routing_output_rms,qk_only_loss_gradient_norm,decoder_pre_qr_routing_rms,decoder_pre_qr_nqf_remainder_rms
0.0001,5.78984683788315e-10,5.434443773269925e-19,5.875852836064739e-15,6.4671216131158434e-06,2.561408378804171e-10,3.0187591448800967e-06,7.20381344998705e-11,2.391969827598516e-17
0.00019952623149688788,2.304979542510793e-09,8.613012748300849e-18,4.6673558148074696e-14,1.290360404987525e-05,1.0197150492875803e-09,6.023216362479909e-06,2.8678897941548136e-10,2.4112274267230592e-17
0.00039810717055349735,9.176288837623624e-09,1.3650705267892809e-16,3.7074125179706943e-13,2.5746074958726584e-05,4.059558732282567e-09,1.2017896644668885e-05,1.1417274922651805e-09,2.440054541027493e-17
0.0007943282347242813,3.65314638389674e-08,2.1634909956592915e-15,2.9449024811594424e-12,5.1370173685345346e-05,1.61613944826956e-08,2.397885645273777e-05,4.545299012843079e-09,7.231694050578312e-17
0.001584893192461114,1.4543437682425418e-07,3.428902204119348e-14,2.339219316940145e-11,0.00010249697613060242,6.433967111439347e-08,4.7844110005928836e-05,1.809516124580244e-08,1.079140306501045e-15
0.0031622776601683794,5.789846789922649e-07,5.434444096389778e-13,1.858108354308931e-10,0.00020450838932173406,2.56140857378726e-07,9.546156056826177e-05,7.203813372195532e-08,1.7101524185439916e-14
0.006309573444801929,2.304979466510489e-06,8.613015571293299e-12,1.4759492054620614e-09,0.0004080481639171361,1.0197153280565478e-06,0.00019047094075554517,2.8678896446715666e-07,2.710421071785972e-13
0.012589254117941675,9.17628763385519e-06,1.3650723108532098e-10,1.1723921634439653e-08,0.0008141653616373768,4.059563139267157e-06,0.00038004017672122766,1.1417272509937996e-06,4.295725094711373e-12
0.025118864315095794,3.653144480817376e-05,2.1635022443018606e-09,9.312769623849275e-08,0.001624491255687623,1.6161464240531562e-05,0.0007582852971484695,4.545295186741172e-06,6.808267158715755e-11
0.0501187233627272,0.00014543407821316227,3.428973180391255e-08,7.397799535808787e-07,0.003241428091493255,6.43407769990123e-05,0.0015130214352231828,1.809510058039559e-05,1.079038146032705e-09
0.1,0.0005789801360653061,5.434891969541723e-07,5.87755787213869e-06,0.0064686450424738026,0.0002561584012702469,0.00301922007585953,7.203717008944343e-05,1.7101634011281786e-08
0.19952623149688797,0.0023049194458557567,8.615842511896104e-06,4.672751403831987e-05,0.012916329324471294,0.0010199944478019557,0.006026912121631864,0.00028677355611355065,2.7104440472439127e-07
