layer,R_spike,S_token_var,C_col_imbalance,gap,H_attn,H_query,spike_col_load,max_col_load,run_id,seed,norm,d_model,tau,eta,q_equals_k,use_mlp,residual,data_kind,steps
1,0.997867226600647,1.7807263135910034,0.44671544432640076,0.0009086392819881439,0.9068750739097595,0.013559138402342796,1.5180554389953613,2.8904531002044678,116,116001,unbalanced_sinkhorn,64,0.8,0.05,False,True,True,linear,300
2,0.997867226600647,1.7807263135910034,0.44671544432640076,0.0009086392819881439,0.9068750739097595,0.013559138402342796,1.5180554389953613,2.8904531002044678,116,116001,unbalanced_sinkhorn,64,0.8,0.05,False,True,True,linear,300
3,0.997867226600647,1.7807263135910034,0.44671544432640076,0.0009086392819881439,0.9068750739097595,0.013559138402342796,1.5180554389953613,2.8904531002044678,116,116001,unbalanced_sinkhorn,64,0.8,0.05,False,True,True,linear,300
4,0.997867226600647,1.7807263135910034,0.44671544432640076,0.0009086392819881439,0.9068750739097595,0.013559138402342796,1.5180554389953613,2.8904531002044678,116,116001,unbalanced_sinkhorn,64,0.8,0.05,False,True,True,linear,300
