budget,optimizer,depth_bin,gradient_norm,control_norm,polygon_gap
0.1,gradient_descent,0,1.8056253778110014e-13,2.836356038065224e-13,0.0
0.1,gradient_descent,1,3.596012037317691e-13,5.648774424829153e-13,0.0
0.1,gradient_descent,2,7.161675267050589e-13,1.1249875603203624e-12,0.0
0.1,gradient_descent,3,1.4262909113872754e-12,2.2404807155819103e-12,0.0
0.1,gradient_descent,4,2.840544568456281e-12,4.462052780794306e-12,0.0
0.1,gradient_descent,5,5.657116278602202e-12,8.886447937668468e-12,0.0
0.1,gradient_descent,6,1.1266489350046548e-11,1.769789873829905e-11,0.0
0.1,gradient_descent,7,2.2437895802119565e-11,3.5246437063802547e-11,0.0
0.1,gradient_descent,8,4.4686430074884167e-11,7.019541667947467e-11,0.0
0.1,gradient_descent,9,8.899574081638024e-11,1.3979843766520737e-10,0.0
0.1,gradient_descent,10,1.77240443011908e-10,2.7841711071630766e-10,0.0
0.1,gradient_descent,11,3.529852008473155e-10,5.544847331425499e-10,0.0
0.1,gradient_descent,12,7.029918202947578e-10,1.1042905791570062e-09,0.0
0.1,gradient_descent,13,1.4000521297307344e-09,2.199263679258889e-09,0.0
0.1,gradient_descent,14,2.7882928885728855e-09,4.3799735358093965e-09,0.0
0.1,gradient_descent,15,5.55306764575457e-09,8.723003752813475e-09,0.0
0.1,gradient_descent,16,1.1059312768904628e-08,1.737245662052156e-08,0.0
0.1,gradient_descent,17,2.202542289792723e-08,3.459850642064636e-08,3.700743415417188e-17
0.1,gradient_descent,18,4.3865373399540206e-08,6.890566461499667e-08,1.1102230246251565e-16
0.1,gradient_descent,19,8.736182035306122e-08,1.372318032853386e-07,4.440892098500626e-16
0.1,gradient_descent,20,1.7399030450051429e-07,2.733116496917646e-07,1.7393494052460785e-15
0.1,gradient_descent,21,3.4652447184470374e-07,5.443359348690805e-07,6.8463753185217984e-15
0.1,gradient_descent,22,6.901624243929937e-07,1.0841375978255118e-06,2.7163456669162162e-14
0.1,gradient_descent,23,1.374617907521913e-06,2.159310480427058e-06,1.0791367799356522e-13
0.1,gradient_descent,24,2.7379995282657505e-06,4.300970505648915e-06,4.282130205979229e-13
0.1,gradient_descent,25,5.454023052995707e-06,8.567420134992437e-06,1.6990483094521853e-12
0.1,gradient_descent,26,1.0865528206097261e-05,1.7068051276225365e-05,6.743124577231659e-12
0.1,gradient_descent,27,2.1650268372876572e-05,3.400919713456127e-05,2.677106684482548e-11
0.1,gradient_descent,28,4.315179322464013e-05,6.77847413810891e-05,1.0634223131707661e-10
0.1,gradient_descent,29,8.604550255775525e-05,0.00013516407319436312,4.227790710113292e-10
0.1,gradient_descent,30,0.0001716976503094499,0.00026971024729792784,1.6830590994961387e-09
0.1,gradient_descent,31,0.00034299746002959465,0.0005387955490387485,6.714299819835882e-09
0.1,gradient_descent,32,0.0006864535599705292,0.0010783115498931462,2.6875984919054e-08
0.1,gradient_descent,33,0.0013779637343479395,0.002164566252879606,1.0816629510597882e-07
0.1,gradient_descent,34,0.0027800839554473805,0.004367078581339479,4.392370190157517e-07
0.1,gradient_descent,35,0.005657624864881185,0.008887246847442886,1.8104129621369462e-06
0.1,gradient_descent,36,0.011687318748325808,0.018358956131196234,7.652275835989819e-06
0.1,gradient_descent,37,0.024770199053687485,0.03891012195186257,3.3748786780233665e-05
0.1,gradient_descent,38,0.05472496629546344,0.08596439244403482,0.0001595680587017275
0.1,gradient_descent,39,0.12835793899063833,0.20163031588040323,0.0008385546760271515
0.1,exact_muon,0,1.8056253778110014e-13,0.035355339059327376,1.6237208411188735e-05
0.1,exact_muon,1,3.596012037317691e-13,0.03535533905932738,3.653969410244429e-05
0.1,exact_muon,2,7.161675267050589e-13,0.035355339059327376,4.9858761816031404e-05
0.1,exact_muon,3,1.4262909113872754e-12,0.035355339059327376,5.737942914481783e-05
0.1,exact_muon,4,2.840544568456281e-12,0.03535533905932738,6.138637588515294e-05
0.1,exact_muon,5,5.657116278602202e-12,0.035355339059327376,6.346671157386741e-05
0.1,exact_muon,6,1.1266489350046548e-11,0.035355339059327376,6.453425517046381e-05
0.1,exact_muon,7,2.2437895802119565e-11,0.035355339059327376,6.507965827876976e-05
0.1,exact_muon,8,4.4686430074884167e-11,0.035355339059327376,6.535830658471742e-05
0.1,exact_muon,9,8.899574081638024e-11,0.035355339059327376,6.550118612391742e-05
0.1,exact_muon,10,1.77240443011908e-10,0.035355339059327376,6.557500846430624e-05
0.1,exact_muon,11,3.529852008473155e-10,0.035355339059327376,6.561364443735673e-05
0.1,exact_muon,12,7.029918202947578e-10,0.035355339059327376,6.563427564879969e-05
0.1,exact_muon,13,1.4000521297307344e-09,0.035355339059327376,6.564562355097318e-05
0.1,exact_muon,14,2.7882928885728855e-09,0.035355339059327376,6.565212459404741e-05
0.1,exact_muon,15,5.55306764575457e-09,0.035355339059327376,6.5656044247057e-05
0.1,exact_muon,16,1.1059312768904628e-08,0.03535533905932738,6.565854636345995e-05
0.1,exact_muon,17,2.202542289792723e-08,0.03535533905932738,6.566023381519386e-05
0.1,exact_muon,18,4.3865373399540206e-08,0.035355339059327376,6.566142156050336e-05
0.1,exact_muon,19,8.736182035306122e-08,0.03535533905932738,6.56622741123473e-05
0.1,exact_muon,20,1.7399030450051429e-07,0.035355339059327376,6.566287391788587e-05
0.1,exact_muon,21,3.4652447184470374e-07,0.035355339059327376,6.566325395529482e-05
0.1,exact_muon,22,6.901624243929937e-07,0.035355339059327376,6.566341087925014e-05
0.1,exact_muon,23,1.374617907521913e-06,0.03535533905932738,6.566330613762734e-05
0.1,exact_muon,24,2.7379995282657505e-06,0.035355339059327376,6.566285738385247e-05
0.1,exact_muon,25,5.454023052995707e-06,0.035355339059327376,6.566191880881996e-05
0.1,exact_muon,26,1.0865528206097261e-05,0.03535533905932738,6.566024494214506e-05
0.1,exact_muon,27,2.1650268372876572e-05,0.03535533905932738,6.565742588038326e-05
0.1,exact_muon,28,4.315179322464013e-05,0.035355339059327376,6.565276889706577e-05
0.1,exact_muon,29,8.604550255775525e-05,0.035355339059327376,6.564507361524659e-05
0.1,exact_muon,30,0.0001716976503094499,0.035355339059327376,6.563218664368264e-05
0.1,exact_muon,31,0.00034299746002959465,0.03535533905932738,6.561008513827904e-05
0.1,exact_muon,32,0.0006864535599705292,0.03535533905932738,6.557093806029239e-05
0.1,exact_muon,33,0.0013779637343479395,0.035355339059327376,6.549895577186622e-05
0.1,exact_muon,34,0.0027800839554473805,0.03535533905932738,6.536160380018104e-05
0.1,exact_muon,35,0.005657624864881185,0.035355339059327376,6.50918929413861e-05
0.1,exact_muon,36,0.011687318748325808,0.035355339059327376,6.455688630746526e-05
0.1,exact_muon,37,0.024770199053687485,0.035355339059327376,6.351773283815494e-05
0.1,exact_muon,38,0.05472496629546344,0.035355339059327376,6.16297986715253e-05
0.1,exact_muon,39,0.12835793899063833,0.035355339059327376,5.859841585601858e-05
0.1,newton_schulz_5,0,1.8056253778110014e-13,4.5538928266385725e-05,2.6935046785562616e-11
0.1,newton_schulz_5,1,3.596012037317691e-13,9.069350083160437e-05,1.6709648479699504e-10
0.1,newton_schulz_5,2,7.161675267050589e-13,0.00018062137936778242,7.313387673235638e-10
0.1,newton_schulz_5,3,1.4262909113872754e-12,0.0003597167512255602,2.971350276936846e-09
0.1,newton_schulz_5,4,2.840544568456281e-12,0.0007163846865835431,1.1856109908651527e-08
0.1,newton_schulz_5,5,5.657116278602202e-12,0.001426620991007848,4.709091283583433e-08
0.1,newton_schulz_5,6,1.1266489350046548e-11,0.002840393030261739,1.8676396721743296e-07
0.1,newton_schulz_5,7,2.2437895802119565e-11,0.005650428833956919,7.395063710650499e-07
0.1,newton_schulz_5,8,4.4686430074884167e-11,0.01120286766068964,2.9123738360207576e-06
0.1,newton_schulz_5,9,8.899574081638024e-11,0.02191816370914938,1.1230251477534203e-05
0.1,newton_schulz_5,10,1.77240443011908e-10,0.04067899721793934,3.985634882926655e-05
0.1,newton_schulz_5,11,3.529852008473155e-10,0.061275493661622146,0.00010303727019404334
0.1,newton_schulz_5,12,7.029918202947578e-10,0.04471795149548638,0.00010410573231800502
0.1,newton_schulz_5,13,1.4000521297307344e-09,0.04920155297822116,0.0001154193836567415
0.1,newton_schulz_5,14,2.7882928885728855e-09,0.055907473548724294,0.00013882786899728958
0.1,newton_schulz_5,15,5.55306764575457e-09,0.044832380712650416,0.0001221002812612134
0.1,newton_schulz_5,16,1.1059312768904628e-08,0.039157697296309225,0.00010063105277565339
0.1,newton_schulz_5,17,2.202542289792723e-08,0.036843922058670375,8.557252592100717e-05
0.1,newton_schulz_5,18,4.3865373399540206e-08,0.058801262950923826,0.0001289138270179624
0.1,newton_schulz_5,19,8.736182035306122e-08,0.04234091750905356,0.00011127984550207692
0.1,newton_schulz_5,20,1.7399030450051429e-07,0.03622477697278187,8.918674645338094e-05
0.1,newton_schulz_5,21,3.4652447184470374e-07,0.036224776972781876,7.889321529293743e-05
0.1,newton_schulz_5,22,6.901624243929937e-07,0.03622477697278188,7.391306476167703e-05
0.1,newton_schulz_5,23,1.374617907521913e-06,0.036224776972781876,7.14518061392851e-05
0.1,newton_schulz_5,24,2.7379995282657505e-06,0.036224776972781876,7.022048854206837e-05
0.1,newton_schulz_5,25,5.454023052995707e-06,0.036224776972781876,6.959958870278449e-05
0.1,newton_schulz_5,26,1.0865528206097261e-05,0.036224776972781876,6.928408511060653e-05
0.1,newton_schulz_5,27,2.1650268372876572e-05,0.03622477697278188,6.912161782982966e-05
0.1,newton_schulz_5,28,4.315179322464013e-05,0.036224776972781876,6.90351840313778e-05
0.1,newton_schulz_5,29,8.604550255775525e-05,0.036224776972781876,6.898507958456405e-05
0.1,newton_schulz_5,30,0.0001716976503094499,0.036224776972781876,6.894961968854456e-05
0.1,newton_schulz_5,31,0.00034299746002959465,0.036224776972781876,6.891474578115304e-05
0.1,newton_schulz_5,32,0.0006864535599705292,0.036224776972781855,6.886724156570286e-05
0.1,newton_schulz_5,33,0.0013779637343479395,0.03622477697278185,6.878797747966736e-05
0.1,newton_schulz_5,34,0.0027800839554473805,0.03622477697278186,6.864146976026664e-05
0.1,newton_schulz_5,35,0.005657624864881185,0.03622477697278186,6.835666279806733e-05
0.1,newton_schulz_5,36,0.011687318748325808,0.036224776972781855,6.779353545701323e-05
0.1,newton_schulz_5,37,0.024770199053687485,0.03622477697278185,6.670096535861998e-05
0.1,newton_schulz_5,38,0.05472496629546344,0.036224776972781855,6.47168127259808e-05
0.1,newton_schulz_5,39,0.12835793899063833,0.036224776972781855,6.153154321301517e-05
