lambda_over_depth,density_L1,density_L2,density_L4,density_L8,linear_response_L4,finite_difference_L4,stability_denominator_L4
0.0,2.563782070554494,2.369269523086541,2.332339443024448,2.3200304059904915,-0.03328509383044219,-0.03328064146069565,1.0035220969802399
0.01348747591522158,2.4094461287404245,2.158857997030035,2.122269072987215,2.1130100782110297,-0.014719245977719165,-0.014710478349435618,0.9990808645218869
0.02697495183044316,1.9873710777757523,1.6478722628084153,1.5936266493246178,1.5800177515272693,-0.02204589600384767,-0.022029951926487712,0.9948296054395702
0.04046242774566474,1.6392716434677779,1.2321343083989156,1.1463465774025503,1.1231048851246284,-0.04610758580554182,-0.04608186157176064,0.9911919235967378
0.05394990366088632,1.4048450180880179,0.9900353489510603,0.867636989033402,0.8312585566643054,-0.07793250129658164,-0.07789781491863934,0.98918850572713
0.0674373795761079,1.2420305424306572,0.8672463422817945,0.7186576135507408,0.6673394990160028,-0.115012283754849,-0.11498812363126554,0.9908840766349758
0.08092485549132948,1.1210210638610958,0.8028483084537443,0.6491116428798026,0.5874538775977554,-0.1478372493838953,-0.1478574464724769,0.9963071147746912
0.09441233140655106,1.026148097892335,0.7627500513023581,0.6170049484609929,0.5540866524009376,-0.1636631739687056,-0.16371782874127216,1.0017117434391762
0.10789980732177264,0.9489631491905504,0.7331873296435674,0.5986030748588564,0.5389283770795442,-0.16243984845721723,-0.16248914169532114,1.0054781951615135
0.12138728323699421,0.884512500963299,0.708866717836603,0.5852480836049699,0.5292750324837633,-0.15404471923395519,-0.15407900166580113,1.0083197511655129
0.1348747591522158,0.82964887878526,0.687464678792303,0.574159192742826,0.5214748614661008,-0.14536165691799785,-0.1453892039483895,1.0108134517418141
0.14836223506743737,0.7822409019054325,0.6677491191075527,0.5644306447787855,0.5144748070841556,-0.13803981681975544,-0.1380664295965195,1.0134266532356446
0.16184971098265896,0.7407743414189792,0.6490836442859574,0.5557342712803934,0.5080730851446406,-0.132063266254278,-0.1320928801602772,1.0166453057475806
0.17533718689788053,0.7041343480128421,0.6312938313681064,0.5476868636354499,0.5023951488554091,-0.1270150322162809,-0.12705039091488235,1.020597899776778
0.18882466281310212,0.671477455973766,0.6144463237091312,0.5395566174697184,0.49753064981265727,-0.12218068488064475,-0.12222026405020348,1.0242454767988403
0.20231213872832368,0.6421515584763596,0.5986045990141408,0.5306362191592235,0.49305647606307446,-0.11690605221384454,-0.11694304169899361,1.0258500850778063
0.21579961464354527,0.6156433840508235,0.5837323212266742,0.5210349723420808,0.4876717278351915,-0.11108652091654073,-0.11111479191318274,1.0255951571897526
0.22928709055876687,0.5915427195758717,0.5697216938060821,0.511529918863588,0.480365855788898,-0.10518892722440429,-0.10520778082386162,1.0254299836032659
0.24277456647398843,0.5695173297068766,0.5564506658107257,0.5027258590223156,0.47202459440137057,-0.09984469521282535,-0.09985732695026783,1.0265284700627264
0.25626204238921,0.5492949619711495,0.5438202831240818,0.49478148531280264,0.46412089814093027,-0.09556374847647049,-0.09557564131530416,1.0289791762456206
0.2697495183044316,0.5306501798196562,0.5317652574906788,0.4875787336062738,0.45727475401823614,-0.09258217435034496,-0.09259997619141425,1.0324952804842866
0.28323699421965315,0.5133945612396036,0.5202463004471151,0.48087650561680645,0.45150274730227624,-0.09068409791039388,-0.09071227686920702,1.0366044370165877
