run_id,seed,K,prompt_len,design,cond,noise_var,prior_var,depth,precond,heads,d_head,capacity_rank,precond_rank,eta_mean,kappa_mean,eig_min_mean,eig_max_mean,contraction_radius_mean,contraction_radius_max,beta_mse_true,beta_mse_post,pred_mse_y,mean_mse_exact,var_mse_exact,exact_pred_mse_y,nll_iter,nll_exact,coverage_iter,width_iter,coverage_exact,width_exact,layer_first_beta_mse_post,layer_last_beta_mse_post,layer_first_resid_norm,layer_last_resid_norm
3.5,0.0,8.0,128.0,isotropic,10.0,0.02,1.0,8.0,lowrank_spectral,1.0,1.0,1.0,1.0,0.0012122231855755672,2.2920315265655518,505.83836364746094,1149.9251708984375,0.3887232132256031,0.5403928682208061,0.0013619152450701222,1.6812561831613948e-07,0.021032393211498857,1.9731765199537676e-07,5.690774211930603e-14,0.021031327079981565,-0.5120257623493671,-0.5120493248105049,0.9515380859375,0.572569876909256,0.9517822265625,0.5725714191794395,0.04597603064030409,1.6812561831613948e-07,2248.0296630859375,1.7471908628940582
1003.5,0.0,8.0,128.0,isotropic,10.0,0.02,1.0,8.0,lowrank_spectral,1.0,2.0,2.0,2.0,0.0012121469335397705,2.3014775812625885,504.3943061828613,1151.4470520019531,0.39048487320542336,0.5561944395303726,0.0013388331863097847,1.913792306851292e-07,0.021361825056374073,2.0030391389980196e-07,5.74860716517358e-14,0.0213634567335248,-0.5047493912279606,-0.5047149285674095,0.9495849609375,0.5724481046199799,0.9495849609375,0.5724493190646172,0.03628852730616927,1.913792306851292e-07,2254.90576171875,1.814192295074463
2003.5,0.0,8.0,128.0,isotropic,10.0,0.02,1.0,8.0,lowrank_spectral,1.0,4.0,4.0,4.0,0.0012113497796235606,2.302606463432312,504.54057693481445,1152.29736328125,0.3907259963452816,0.5493811741471291,0.0013440938928397372,1.7514610561875088e-07,0.020803516265004873,2.20527601513254e-07,4.989756658123909e-14,0.020801031263545156,-0.5176241919398308,-0.5176814161241055,0.950439453125,0.5725417658686638,0.9505615234375,0.5725429654121399,0.02960156719200313,1.7514610561875088e-07,2260.1302185058594,1.7982268780469894
3003.5,0.0,8.0,128.0,isotropic,10.0,0.02,1.0,8.0,lowrank_spectral,1.0,8.0,8.0,8.0,0.0012108712980989367,2.3016559183597565,504.8618965148926,1152.558578491211,1.1417733816188047e-06,2.9787463233788003e-06,0.0013548913411796093,1.1173951490510902e-14,0.021712746005505323,1.4869596896962883e-14,1.232432938255007e-19,0.021712746238335967,-0.49620312452316284,-0.49620310589671135,0.9437255859375,0.5727203413844109,0.9437255859375,0.5727203488349915,4.3249254953183977e-13,1.1173951490510902e-14,2248.9326171875,6.180154650792247e-05
4003.5,0.0,8.0,128.0,isotropic,10.0,0.02,1.0,8.0,lowrank_spectral,2.0,1.0,2.0,2.0,0.0012118947634007782,2.299456387758255,504.90843200683594,1151.1392364501953,0.3899787813425064,0.5507268980145454,0.0013391876127570868,1.8297779647014067e-07,0.021179059986025095,1.9236369830366584e-07,4.716514671361397e-14,0.02118046209216118,-0.5084631890058517,-0.5084310844540596,0.9483642578125,0.5724344849586487,0.9483642578125,0.5724357143044472,0.035919368732720613,1.8297779647014067e-07,2246.8532104492188,1.7980985045433044
5003.5,0.0,8.0,128.0,isotropic,10.0,0.02,1.0,8.0,lowrank_spectral,2.0,2.0,4.0,4.0,0.0012121536274207756,2.3064509332180023,503.64237213134766,1152.1418914794922,0.3913727290928364,0.5503376051783562,0.001332871470367536,1.6994602880515686e-07,0.0212643020786345,1.7237240079737148e-07,4.216996091311134e-14,0.021262990310788155,-0.5061548054218292,-0.5061857961118221,0.9481201171875,0.5726655572652817,0.948486328125,0.5726667568087578,0.029020220274105668,1.6994602880515686e-07,2259.2821044921875,1.8072307705879211
6003.5,0.0,8.0,128.0,isotropic,10.0,0.02,1.0,8.0,lowrank_spectral,2.0,4.0,8.0,8.0,0.0012123995256843045,2.300482541322708,504.4498291015625,1150.9103546142578,1.1398662707051699e-06,3.0107747477359226e-06,0.0013362324243644252,1.1368984426506231e-14,0.022165965987369418,1.4726796035901754e-14,1.105377996166862e-19,0.022165965754538774,-0.48558657616376877,-0.48558660224080086,0.9453125,0.5726758316159248,0.9453125,0.5726758316159248,4.221793338640874e-13,1.1368984426506231e-14,2249.160125732422,6.182354945849511e-05
7003.5,0.0,8.0,128.0,isotropic,10.0,0.02,1.0,8.0,lowrank_spectral,2.0,8.0,16.0,8.0,0.001211607304867357,2.3034214675426483,504.3799018859863,1152.2035827636719,1.1455126980308705e-06,2.9144876521058904e-06,0.0013383586192503572,1.1162488699514828e-14,0.021317666629329324,1.463379065362293e-14,1.2281977735187355e-19,0.02131766709499061,-0.505348689854145,-0.5053486973047256,0.9500732421875,0.5725269988179207,0.9500732421875,0.5725270137190819,4.3079457712137843e-13,1.1162488699514828e-14,2244.8522338867188,6.0934966313652694e-05
8003.5,0.0,8.0,128.0,isotropic,10.0,0.02,1.0,8.0,lowrank_spectral,4.0,1.0,4.0,4.0,0.0012125785870011896,2.30280464887619,504.01404571533203,1151.2967224121094,0.3907459080219269,0.5534776523709297,0.0013400107709458098,1.8311523142244823e-07,0.02127100992947817,2.3388762926401796e-07,4.558735557287381e-14,0.021269902819767594,-0.5066400319337845,-0.5066657364368439,0.9508056640625,0.572508417069912,0.9508056640625,0.5725096091628075,0.029829828534275293,1.8311523142244823e-07,2258.151336669922,1.8270273059606552
9003.5,0.0,8.0,128.0,isotropic,10.0,0.02,1.0,8.0,lowrank_spectral,4.0,2.0,8.0,8.0,0.001211949813296087,2.30014967918396,504.7101860046387,1151.4553985595703,1.138699204261684e-06,2.915673491088455e-06,0.0013481238711392507,1.1280801943949954e-14,0.02151943533681333,1.504434339387147e-14,1.1943164556285635e-19,0.0215194346383214,-0.50087895616889,-0.5008789598941803,0.9462890625,0.5723467320203781,0.9462890625,0.5723467394709587,4.2871671382220533e-13,1.1280801943949954e-14,2261.612548828125,6.231452243810054e-05
