budget,design,predictor,mean_weighted_mse,seed_std,seeds
2,greedy_variance,exact_krr,0.5245156407356262,0.005254160986377531,5
2,greedy_variance,looped_icl,0.5303676128387451,0.004264991189120786,5
2,learned,exact_krr,0.5342188000679016,0.014336703501584964,5
2,learned,looped_icl,0.5434077858924866,0.011130106895743395,5
2,random,exact_krr,0.7120371580123901,0.006257536044513029,5
2,random,looped_icl,0.7188381552696228,0.011447630861934139,5
2,uniform,exact_krr,0.6754398465156555,0.00352546446489849,5
2,uniform,looped_icl,0.6764840364456177,0.003499582867268037,5
4,greedy_variance,exact_krr,0.26398685574531555,0.002658541864349592,5
4,greedy_variance,looped_icl,0.26537846922874453,0.0033657186433812673,5
4,learned,exact_krr,0.2981827795505524,0.02656613873958346,5
4,learned,looped_icl,0.30045212507247926,0.027890599089056382,5
4,random,exact_krr,0.49525110721588134,0.004142033747524967,5
4,random,looped_icl,0.4973263740539551,0.0048909861496450905,5
4,uniform,exact_krr,0.49930242300033567,0.0028446008011530142,5
4,uniform,looped_icl,0.5002863705158234,0.0029815588524229066,5
6,greedy_variance,exact_krr,0.13863499462604523,0.001300803496345631,5
6,greedy_variance,looped_icl,0.14001950919628142,0.0016127800413412586,5
6,learned,exact_krr,0.14301258325576782,0.010818120194301938,5
6,learned,looped_icl,0.14371433556079866,0.010939341989535703,5
6,random,exact_krr,0.3332829773426056,0.0016303549063410318,5
6,random,looped_icl,0.3372155249118805,0.0018774390405947433,5
6,uniform,exact_krr,0.31828938126564027,0.0025047345661134497,5
6,uniform,looped_icl,0.3193675816059113,0.0023921398856102697,5
8,greedy_variance,exact_krr,0.059906867891550065,0.0004913022607728013,5
8,greedy_variance,looped_icl,0.06124941632151604,0.0004127281450092076,5
8,learned,exact_krr,0.059288641810417174,0.004840647291028048,5
8,learned,looped_icl,0.06048552915453911,0.004707344419147689,5
8,random,exact_krr,0.2283032566308975,0.004519984117560432,5
8,random,looped_icl,0.2341860681772232,0.004639666232942932,5
8,uniform,exact_krr,0.1485249102115631,0.0027363094470358113,5
8,uniform,looped_icl,0.1492846876382828,0.002530881319865883,5
