variant,n_context,method,mean_mse,seed_std,seeds
matched,4,exact_krr,0.5116098165512085,0.0038430740532028437,5
matched,4,model,0.5133697390556335,0.0038136270989845107,5
matched,4,nw,0.8450363516807556,0.009626423668056702,5
matched,8,exact_krr,0.23987074196338654,0.0014187642958187609,5
matched,8,model,0.24542447924613953,0.0011558101483123797,5
matched,8,nw,0.4631649374961853,0.0066319090888904385,5
matched,12,exact_krr,0.11358507424592972,0.002493528947258374,5
matched,12,model,0.12054614424705505,0.002478751407579241,5
matched,12,nw,0.3245038390159607,0.0033935327383853085,5
matched,16,exact_krr,0.055901316553354265,0.0011100632557685254,5
matched,16,model,0.062292160093784334,0.0009428163764778275,5
matched,16,nw,0.26163979172706603,0.0024779550457267236,5
matched,24,exact_krr,0.017298774793744087,0.0005046977092460493,5
matched,24,model,0.021505029499530794,0.0005643402738690163,5
matched,24,nw,0.21029936969280244,0.0015722676869840213,5
mismatched,4,exact_krr,0.5116098165512085,0.0038430740532028437,5
mismatched,4,model,0.6017504811286927,0.003779702202707168,5
mismatched,4,nw,0.8450363516807556,0.009626423668056702,5
mismatched,8,exact_krr,0.23987074196338654,0.0014187642958187609,5
mismatched,8,model,0.3555266082286835,0.002933076649444905,5
mismatched,8,nw,0.4631649374961853,0.0066319090888904385,5
mismatched,12,exact_krr,0.11358507424592972,0.002493528947258374,5
mismatched,12,model,0.20899547934532164,0.0015459254583409447,5
mismatched,12,nw,0.3245038390159607,0.0033935327383853085,5
mismatched,16,exact_krr,0.055901316553354265,0.0011100632557685254,5
mismatched,16,model,0.12171845138072968,0.0027045697349669918,5
mismatched,16,nw,0.26163979172706603,0.0024779550457267236,5
mismatched,24,exact_krr,0.017298774793744087,0.0005046977092460493,5
mismatched,24,model,0.042199435830116275,0.0010283932218298787,5
mismatched,24,nw,0.21029936969280244,0.0015722676869840213,5
transformer,4,exact_krr,0.5116098165512085,0.0038430740532028437,5
transformer,4,model,0.5258342742919921,0.005516056823226712,5
transformer,4,nw,0.8450363516807556,0.009626423668056702,5
transformer,8,exact_krr,0.23987074196338654,0.0014187642958187609,5
transformer,8,model,0.26311624646186826,0.0023352476983236163,5
transformer,8,nw,0.4631649374961853,0.0066319090888904385,5
transformer,12,exact_krr,0.11358507424592972,0.002493528947258374,5
transformer,12,model,0.13696616888046265,0.002842782799879296,5
transformer,12,nw,0.3245038390159607,0.0033935327383853085,5
transformer,16,exact_krr,0.055901316553354265,0.0011100632557685254,5
transformer,16,model,0.07616071552038192,0.003493753283560659,5
transformer,16,nw,0.26163979172706603,0.0024779550457267236,5
transformer,24,exact_krr,0.017298774793744087,0.0005046977092460493,5
transformer,24,model,0.03096969835460186,0.002431011678070795,5
transformer,24,nw,0.21029936969280244,0.0015722676869840213,5
