K,d,m_prompt,M,precond,depth,z_mse_post,z_mse_true,u_mse,u_rel,eta_mean,rho_mean,precond_rank,z_rel_post
4,16,16,256,scalar_opt,32,2.0880594159240285e-14,0.0004864645379711874,2.676665303624759e-06,0.0029682503663934767,0.18368205800652504,0.2826371192932129,0.0,2.6675789399632777e-07
4,16,16,256,jacobi,32,2.0386109453643907e-14,0.0004905528767267242,2.5681560487100796e-06,0.002957381773740053,0.8085699081420898,0.371859610080719,4.0,2.655986506283625e-07
4,16,16,256,lowrank_spectral,32,2.2080309179358173e-14,0.0004872231002082117,2.603171708415175e-06,0.002972496149595827,0.18350012227892876,4.4514791852634517e-07,4.0,2.711960220835863e-07
4,32,16,512,scalar_opt,32,3.9409771493826955e-14,0.00023761481861583889,1.2623764575891983e-06,0.00208333192858845,0.09473059512674809,0.16736531257629395,0.0,3.5772005446688127e-07
4,32,16,512,jacobi,32,3.7506330066185405e-14,0.00024515231780242175,1.3194589598697348e-06,0.002119610144291073,0.879123866558075,0.23810921609401703,4.0,3.543795656923976e-07
4,32,16,512,lowrank_spectral,32,3.868045918558206e-14,0.00024293574097100645,1.3264721019368153e-06,0.0021176881855353713,0.09494512155652046,4.308091234861422e-07,4.0,3.5233131967515874e-07
4,64,16,1024,scalar_opt,32,7.397264936280946e-14,0.0001206286069646012,6.391288849272314e-07,0.0014863205433357507,0.04806266166269779,0.10474560968577862,0.0,4.955555112928778e-07
4,64,16,1024,jacobi,32,7.82652429329048e-14,0.00011991589963145088,6.38925470752838e-07,0.0014764194493182003,0.9224132001399994,0.15473831817507744,4.0,4.947002594235528e-07
4,64,16,1024,lowrank_spectral,32,7.545613439630117e-14,0.00012006103679595981,6.388645630295287e-07,0.001483520318288356,0.048103976994752884,4.356188370024938e-07,4.0,4.88449771296473e-07
8,16,16,256,scalar_opt,32,2.818575993261685e-14,0.0005118540138937533,5.599240012088558e-06,0.004414339084178209,0.1750633902847767,0.4574720039963722,0.0,3.133802763954918e-07
8,16,16,256,jacobi,32,2.057003269703272e-12,0.000501849310239777,5.4902398005651776e-06,0.004371543065644801,0.6810900270938873,0.5884296298027039,8.0,6.11076565348867e-07
8,16,16,256,lowrank_spectral,32,2.7736943855404634e-14,0.0005246638465905562,5.688264081982197e-06,0.004461627919226885,0.17611978948116302,1.1682809031299257e-06,8.0,3.134039943120115e-07
8,32,16,512,scalar_opt,32,4.4098530843682607e-14,0.000248158976319246,2.756816343207902e-06,0.003118588589131832,0.09314375929534435,0.2802545204758644,0.0,3.9241676574874873e-07
8,32,16,512,jacobi,32,4.51414909819663e-14,0.0002457066839269828,2.7073051569459494e-06,0.0031107626273296773,0.7900977432727814,0.40004555881023407,8.0,3.940502324439876e-07
8,32,16,512,lowrank_spectral,32,4.4162170970108664e-14,0.00025006892246892676,2.7823465416076942e-06,0.003143497509881854,0.09332261979579926,1.1007857096956286e-06,8.0,3.903620964251786e-07
8,64,16,1024,scalar_opt,32,7.76764500024776e-14,0.0001231057794939261,1.3640456870689377e-06,0.00221780821448192,0.04786407947540283,0.17456510663032532,0.0,5.273154926044299e-07
8,64,16,1024,jacobi,32,7.470140940557275e-14,0.00012259872710274067,1.352897754713922e-06,0.0022042570053599775,0.8608211874961853,0.2706909030675888,8.0,5.183107987249969e-07
8,64,16,1024,lowrank_spectral,32,7.939685523351402e-14,0.00012141410843469203,1.3471106115048315e-06,0.0022043409990146756,0.0479273684322834,1.068259223302448e-06,8.0,5.251302610531638e-07
16,16,16,256,scalar_opt,32,4.8395403353176936e-12,0.000575781348743476,1.2771502952091396e-05,0.006601607077755034,0.16113896667957306,0.6528679430484772,0.0,1.6785956518106104e-06
16,16,16,256,jacobi,32,1.0500650571287906e-08,0.0005623995093628764,1.2419983931977185e-05,0.0065727896289899945,0.5473990142345428,0.7716388404369354,16.0,0.00010335097613278776
16,16,16,256,lowrank_spectral,32,3.2253840440490955e-12,0.0005654168053297326,1.2289700862311292e-05,0.006513096042908728,0.16115852817893028,0.6531185507774353,8.0,1.2431439131432853e-06
16,32,16,512,scalar_opt,32,5.2063785581206185e-14,0.00025454984279349446,5.866216838512628e-06,0.004570569726638496,0.09021210484206676,0.4195898622274399,0.0,4.406714850802018e-07
16,32,16,512,jacobi,32,5.1241286943269106e-14,0.00025579101202310994,6.0151733123348095e-06,0.004608535440638661,0.6854874789714813,0.5695055425167084,16.0,4.3607717259419587e-07
16,32,16,512,lowrank_spectral,32,5.1235811722298054e-14,0.00024826308072078973,5.801412044093013e-06,0.004525218973867595,0.08999617397785187,0.4199642911553383,8.0,4.415454242234773e-07
16,64,16,1024,scalar_opt,32,8.812161985088506e-14,0.00012309866360737942,2.8971160190849332e-06,0.003224313782993704,0.047132791951298714,0.26706598699092865,0.0,5.670165990068199e-07
16,64,16,1024,jacobi,32,8.787510785224564e-14,0.00012406863970682025,2.907080556724395e-06,0.0032305759377777576,0.7860821485519409,0.4030398800969124,16.0,5.686808748350813e-07
16,64,16,1024,lowrank_spectral,32,8.535965377999381e-14,0.00012464309838833287,2.9175987492635613e-06,0.003240480727981776,0.047122469171881676,0.2669006362557411,8.0,5.650125842748821e-07
