tag,K,prompt_len,design,cond,noise_var,prior_var,depth,heads,d_head,capacity_rank,attention,head_scheme,precond,temperature,eta_multiplier,scale_linear_by_m,seed,batch_size,eval_batches,beta_mse_post,beta_mse_true,pred_mse_y,mean_mse_exact,exact_pred_mse_y,nll_iter,nll_exact,coverage_iter,width_iter,coverage_exact,width_exact,contraction_radius_mean,contraction_radius_max,precond_rank,eta_mean,proj_rank,proj_max,proj_min_nonzero,capacity_ge_K,first_grad_mse,last_grad_mse,attn_rank_first,attn_rank_last,attn_effrank_first,attn_effrank_last,layer_first_beta_mse_post,layer_last_beta_mse_post,layer_decay_ratio,log10_beta_mse_post,log10_beta_mse_true
K8_H1_dh1,8,128,isotropic,10.0,0.02,1.0,16,1,1,1.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,0.8811198845505714,0.8825473710894585,0.9167464002966881,0.9016454964876175,0.021031327079981565,20.16602063179016,-0.5120493248105049,0.26416015625,0.5725714191794395,0.9517822265625,0.5725714191794395,0.38872411102056503,0.5403938516974449,0.0,0.0012122231855755672,1.0,1.0,1.0,0.0,598450.453125,584683.9296875,1.0,1.0,1.0,1.0,0.8823494017124176,0.8811198845505714,0.9986067940212549,-0.05496499776656633,-0.054261974381373215
K8_H1_dh2,8,128,isotropic,10.0,0.02,1.0,16,1,2,2.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,0.7616129666566849,0.7631814852356911,0.7791574597358704,0.7591710090637207,0.0213634567335248,16.982877731323242,-0.5047149285674095,0.2918701171875,0.5724493265151978,0.9495849609375,0.5724493190646172,0.3904857710003853,0.5561952292919159,0.0,0.0012121469335397705,2.0,1.0,1.0,0.0,517169.65234375,493870.93359375,2.0,2.0,1.9956087172031403,1.9956087172031403,0.7661302089691162,0.7616129666566849,0.9941035342030821,-0.11826567058536105,-0.11737217414975251
K8_H1_dh4,8,128,isotropic,10.0,0.02,1.0,16,1,4,4.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,0.517660491168499,0.5191872045397758,0.5379006415605545,0.5153808817267418,0.020801031263545156,11.39931869506836,-0.5176814161241055,0.362548828125,0.5725429728627205,0.9505615234375,0.5725429654121399,0.3907269164919853,0.5493825823068619,0.0,0.0012113497796235606,4.0,1.0,1.0,0.0,346161.49609375,315542.25390625,4.0,4.0,3.981951117515564,3.981951117515564,0.5348911806941032,0.517660491168499,0.9677656122579792,-0.2859549799327163,-0.28467601933989983
K8_H1_dh8,8,128,isotropic,10.0,0.02,1.0,16,1,8,8.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,6.508306317921236e-12,0.001354892272502184,0.021712732035666704,7.169259923136412e-12,0.021712746238335967,-0.4962034523487091,-0.49620310589671135,0.9437255859375,0.5727203488349915,0.9437255859375,0.5727203488349915,0.39051589369773865,0.5468151792883873,0.0,0.0012108712980989367,8.0,1.0,1.0,1.0,9.596325067917633e-09,2.7195621976616735e-08,8.0,8.0,7.932537794113159,7.932537794113159,0.06579003389924765,6.508306317921236e-12,9.777731058121296e-11,-11.186532014885113,-2.8680952341753745
K8_H1_dh16,8,128,isotropic,10.0,0.02,1.0,16,1,16,16.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,6.55896571864073e-12,0.0013391320972004905,0.02118046092800796,7.887625285991212e-12,0.02118046209216118,-0.5084311254322529,-0.5084310844540596,0.9483642578125,0.5724357068538666,0.9483642578125,0.5724357143044472,0.38997967541217804,0.5507275983691216,0.0,0.0012118947634007782,8.0,1.0,1.0,1.0,9.835907754940365e-09,2.7376749311969206e-08,8.0,8.0,7.931392014026642,7.931392014026642,0.06634624022990465,6.55896571864073e-12,9.874970994262484e-11,-11.183164638993386,-2.873176580377386
K8_H1_dh32,8,128,isotropic,10.0,0.02,1.0,16,1,32,32.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,5.106609579641486e-12,0.0013325879262993112,0.02126299450173974,8.52631421683573e-12,0.021262990310788155,-0.5061856880784035,-0.5061857961118221,0.948486328125,0.572666771709919,0.948486328125,0.5726667568087578,0.3913736492395401,0.5503388345241547,0.0,0.0012121536274207756,8.0,1.0,1.0,1.0,9.845487314308343e-09,2.7272901492736423e-08,8.0,8.0,7.939636945724487,7.939636945724487,0.06612264737486839,5.106609579641486e-12,7.714721576557909e-11,-11.291867344394083,-2.875304125906048
K8_H2_dh1,8,128,isotropic,10.0,0.02,1.0,16,2,1,2.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,0.761550784111023,0.7625286281108856,0.7900403961539268,0.7667644917964935,0.022165965754538774,17.237767934799194,-0.48558660224080086,0.2823486328125,0.5726758316159248,0.9453125,0.5726758316159248,0.3902643211185932,0.5478791370987892,0.0,0.0012123995256843045,2.0,1.0,1.0,0.0,515713.34765625,493172.28515625,1.0,1.0,1.0,1.0,0.7656738758087158,0.761550784111023,0.9946099796183812,-0.11830113037942858,-0.11774384667338465
K8_H2_dh2,8,128,isotropic,10.0,0.02,1.0,16,2,2,4.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,0.5083766281604767,0.5098741687834263,0.5200032256543636,0.49998293444514275,0.02131766709499061,10.991314172744751,-0.5053486973047256,0.3568115234375,0.5725269988179207,0.9500732421875,0.5725270137190819,0.3908107317984104,0.5512542501091957,0.0,0.001211607304867357,4.0,1.0,1.0,0.0,336499.0390625,307676.01171875,2.0,2.0,1.995377540588379,1.995377540588379,0.5254889130592346,0.5083766281604767,0.9674340929963786,-0.2938144236850135,-0.2925369896779193
K8_H2_dh4,8,128,isotropic,10.0,0.02,1.0,16,2,4,8.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,5.641449953670483e-12,0.001339927432127297,0.02126990887336433,1.0413935366175922e-11,0.021269902819767594,-0.5066656321287155,-0.5066657364368439,0.9508056640625,0.5725096017122269,0.9508056640625,0.5725096091628075,0.3907468356192112,0.5534785687923431,0.0,0.0012125785870011896,8.0,1.0,1.0,1.0,9.681817569884288e-09,2.7415699932475945e-08,4.0,4.0,3.9829406291246414,3.9829406291246414,0.0668523134663701,5.641449953670483e-12,8.490414956448208e-11,-11.24860926021024,-2.872918721545701
K8_H2_dh8,8,128,isotropic,10.0,0.02,1.0,16,2,8,16.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,5.425489078185811e-12,0.0013481236092047766,0.021519444650039077,4.435087767960116e-12,0.0215194346383214,-0.5008787214756012,-0.5008789598941803,0.9462890625,0.5723467394709587,0.9462890625,0.5723467394709587,0.39023318514227867,0.5493185967206955,0.0,0.001211949813296087,8.0,1.0,1.0,1.0,9.739772877104258e-09,2.7001690217076657e-08,4.0,4.0,4.467176198959351,4.467176198959351,0.06623128149658442,5.425489078185811e-12,8.271026380659299e-11,-11.265561106441,-2.870270285594179
K8_H2_dh16,8,128,isotropic,10.0,0.02,1.0,16,2,16,32.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,3.730541944151414e-12,0.0013493132282746956,0.02135663921944797,4.0787735873255154e-12,0.021356636192649603,-0.504523515701294,-0.5045235715806484,0.9495849609375,0.5726530030369759,0.9495849609375,0.5726530104875565,0.39049800857901573,0.5543320700526237,0.0,0.0012125903740525246,8.0,1.0,1.0,1.0,9.741051965050929e-09,2.6419110676911828e-08,4.0,4.0,4.465441405773163,4.465441405773163,0.06552022323012352,3.730541944151414e-12,5.6671413518024383e-11,-11.42822807267985,-2.869887221921325
K8_H2_dh32,8,128,isotropic,10.0,0.02,1.0,16,2,32,64.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,3.438854669773894e-12,0.0013482356735039502,0.021134978160262108,4.080944417572847e-12,0.021134974667802453,-0.5094762593507767,-0.5094763189554214,0.94873046875,0.57260612398386,0.94873046875,0.57260612398386,0.39002029597759247,0.5404420271515846,0.0,0.0012125383509555832,8.0,1.0,1.0,1.0,9.72103519902845e-09,2.7200972585461614e-08,4.0,4.0,4.470116525888443,4.470116525888443,0.06629957258701324,3.438854669773894e-12,5.1828950761195677e-11,-11.463586177608901,-2.8702341858747613
K8_H4_dh1,8,128,isotropic,10.0,0.02,1.0,16,4,1,4.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,0.5132434442639351,0.5144929140806198,0.5377188995480537,0.5122103095054626,0.021625479217618704,11.405313491821289,-0.4979616738855839,0.35205078125,0.5725283324718475,0.9478759765625,0.5725283473730087,0.3911595232784748,0.5551992058753967,0.0,0.0012117569422116503,4.0,1.0,1.0,0.0,341857.21484375,311690.4921875,1.0,1.0,1.0,1.0,0.5300083346664906,0.5132434442639351,0.9683443701442327,-0.28967658923098194,-0.28862060223658753
K8_H4_dh2,8,128,isotropic,10.0,0.02,1.0,16,4,2,8.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,4.527680883209886e-12,0.0013386860373429954,0.02139111398719251,4.816107527973873e-12,0.021391119807958603,-0.5038591809570789,-0.5038590840995312,0.949951171875,0.5726461037993431,0.949951171875,0.5726461037993431,0.39148086681962013,0.5497080460190773,0.0,0.0012129090900998563,8.0,1.0,1.0,1.0,9.915599341603354e-09,2.685677347180615e-08,2.0,2.0,1.9969794638454914,1.9969794638454914,0.06542266067117453,4.527680883209886e-12,6.88869583590025e-11,-11.34412419037653,-2.873321266331971
K8_H4_dh4,8,128,isotropic,10.0,0.02,1.0,16,4,4,16.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,3.967226829167114e-12,0.0013426077057374641,0.02107301843352616,4.00829266696337e-12,0.021073009818792343,-0.5112255774438381,-0.5112257935106754,0.95068359375,0.5724593251943588,0.95068359375,0.5724593177437782,0.39088814333081245,0.5545701906085014,0.0,0.001212317030876875,8.0,1.0,1.0,1.0,9.737722184155473e-09,2.7271507496706704e-08,2.0,2.0,2.49236574023962,2.49236574023962,0.06703299563378096,3.967226829167114e-12,5.932746747884747e-11,-11.401512967703479,-2.872050864562348
K8_H4_dh8,8,128,isotropic,10.0,0.02,1.0,16,4,8,32.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,6.484775254755534e-12,0.0013567703135777265,0.021476039895787835,4.798718415905193e-12,0.02147603314369917,-0.5016210302710533,-0.5016211867332458,0.948486328125,0.5723821371793747,0.948486328125,0.5723821371793747,0.3911023549735546,0.5567870512604713,0.0,0.0012127804948249832,8.0,1.0,1.0,1.0,9.940715584022541e-09,2.7516749767642068e-08,2.0,2.0,2.7319740504026413,2.7319740504026413,0.06654002517461777,6.484775254755534e-12,9.782708283966287e-11,-11.188105070822902,-2.8674936674387963
K8_H4_dh16,8,128,isotropic,10.0,0.02,1.0,16,4,16,64.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,4.165501900658605e-12,0.0013338728895178065,0.02131948876194656,3.466127423057061e-12,0.021319485269486904,-0.5053998194634914,-0.5053999051451683,0.9527587890625,0.5727622136473656,0.9527587890625,0.5727622136473656,0.3897407799959183,0.5517789199948311,0.0,0.0012132299016229808,8.0,1.0,1.0,1.0,9.961321323359584e-09,2.737752757830947e-08,2.0,2.0,2.7332299947738647,2.7332299947738647,0.06598038598895073,4.165501900658605e-12,6.28209174404281e-11,-11.380332663031691,-2.874885554235968
K8_H4_dh32,8,128,isotropic,10.0,0.02,1.0,16,4,32,128.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,6.977602279604686e-12,0.0013349641667446122,0.021627230802550912,8.871708787527507e-12,0.021627230802550912,-0.4980792887508869,-0.4980792999267578,0.9481201171875,0.572682112455368,0.9481201171875,0.572682112455368,0.39044956862926483,0.5537045374512672,0.0,0.0012124863569624722,8.0,1.0,1.0,1.0,9.751102592048255e-09,2.709152702173867e-08,2.0,2.0,2.734515592455864,2.734515592455864,0.06526325084269047,6.977602279604686e-12,1.0740883298420928e-10,-11.156293788785248,-2.874530391523333
K8_H8_dh1,8,128,isotropic,10.0,0.02,1.0,16,8,1,8.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,3.5740203656840774e-12,0.0013458628091029823,0.021197922993451357,2.8711708032792826e-12,0.021197916474193335,-0.5083626210689545,-0.5083627700805664,0.951416015625,0.5725646466016769,0.951416015625,0.5725646466016769,0.39059336856007576,0.5408825725317001,0.0,0.001212651506648399,8.0,1.0,1.0,1.0,9.751123686285723e-09,2.725153702698435e-08,1.0,1.0,1.0,1.0,0.06645555887371302,3.5740203656840774e-12,5.374828109903311e-11,-11.446842977102055,-2.8709992077837763
K8_H8_dh2,8,128,isotropic,10.0,0.02,1.0,16,8,2,16.0,linear,coordinate,scalar_opt,0.5,1.0,False,0,1024,8,6.463210744595341e-12,0.0013297711993800476,0.021292155608534813,5.990447097788468e-12,0.02129216119647026,-0.5062584578990936,-0.5062583200633526,0.950927734375,0.5723623260855675,0.950927734375,0.5723623335361481,0.39075392484664917,0.5596899837255478,0.0,0.0012115568824810907,8.0,1.0,1.0,1.0,1.0029896357899304e-08,2.7426871440638934e-08,1.0,1.0,1.4980130027979612,1.4980130027979612,0.06642601732164621,6.463210744595341e-12,9.77019375276972e-11,-11.189551682894802,-2.87622307737483
