refinements,method,seeds,h_relative_mean,h_relative_std,query_relative_mean,query_relative_std,coefficient_mse_mean,coefficient_mse_std,statistical_query_mse_mean,statistical_query_mse_std
2,identity_pcg,3,2.1924631710135145e-06,4.404681064329452e-08,5.47408319562237e-07,2.506529916956879e-08,7.44211720302701e-05,1.7882350675790804e-06,0.0008331092540174723,2.3134349248721264e-05
2,identity_pcg_equal_work,3,4.739255032859546e-08,7.456182338216877e-10,8.585532285110276e-09,1.2378813529778654e-09,1.1114555491076317e-05,1.0436752262421578e-07,0.0008328447584062815,2.3564471121062525e-05
2,initial_head_corrected_ritz_moment_chebyshev,3,9.602764293958899e-06,1.4206754883616668e-07,8.95589437277522e-06,4.5569734652417537e-07,5.21339570696e-05,1.2282890793358092e-06,0.0008390546427108347,2.462011070747394e-05
2,initial_head_pcg,3,1.8112741528852894e-08,3.214704613618835e-10,3.0519344829116335e-09,6.495568666275986e-11,3.3575242923689075e-06,9.987120108689851e-08,0.0008328745025210083,2.354867865506094e-05
2,jacobi_pcg_equal_work,3,1.0333652511462788e-07,8.15421008493189e-10,6.493366289106461e-09,9.11995146068989e-10,2.1957566787023097e-05,3.4951463590005005e-07,0.0008328951080329716,2.3515034627052955e-05
2,oracle_prompt_esd_polynomial,3,1.7267984375735068e-08,3.0696062358614995e-10,3.0329732059186654e-09,7.41697259165619e-11,3.187902393619879e-06,1.0096199076770063e-07,0.0008328718249686062,2.355390643060673e-05
2,oracle_top_pcg,3,1.8115441591248782e-08,3.2749211675842105e-10,3.0596616351630246e-09,5.850473577817539e-11,3.357788273206097e-06,1.0186023047253911e-07,0.0008328715921379626,2.355164360778872e-05
2,trained_head_corrected_ritz_moment_chebyshev,3,4.859859927819343e-07,1.0716480147721086e-07,3.143475453271094e-07,1.0424505347828017e-07,1.044451983034378e-05,1.0127226914846688e-06,0.0008318254840560257,2.429647429380566e-05
2,trained_head_oracle_chebyshev,3,0.07791966944932938,0.00016689514450263232,0.07566292583942413,0.0020388741977512836,0.010084938257932663,6.903414032422006e-05,0.07423943281173706,0.0019200514070689678
2,trained_head_oracle_hb,3,0.8646400570869446,0.0026592211797833443,0.8305063247680664,0.029585201293230057,0.1086914911866188,0.0008732970454730093,0.8077331185340881,0.02473289892077446
2,trained_head_pcg,3,1.8112741528852894e-08,3.214704613618835e-10,3.0519344829116335e-09,6.495568666275986e-11,3.3575242923689075e-06,9.987120108689851e-08,0.0008328745025210083,2.354867865506094e-05
