step,loss,eval_mse_post,eval_mse_true,eval_rel_post,jacobi_same_depth_mse_post,attn_entropy_last,delta_norm_last
1,1.0313289165496826,1.000533103942871,1.004807710647583,0.9999632239341736,0.000718648370821029,4.85025691986084,0.015548324212431908
250,0.5369459390640259,0.5537055730819702,0.5571424961090088,0.7365355491638184,0.0008175083203241229,4.846076011657715,0.3551233410835266
500,0.34026846289634705,0.3440190553665161,0.34735602140426636,0.5784406661987305,0.0006919882725924253,4.844476699829102,0.4782227873802185
750,0.204719677567482,0.2092761993408203,0.21196773648262024,0.4473077654838562,0.0007013209396973252,4.843358516693115,0.5207611918449402
1000,0.10915398597717285,0.10714543610811234,0.10842501372098923,0.3198253810405731,0.0007338033756241202,4.842981338500977,0.587414562702179
1250,0.09906309843063354,0.09883551299571991,0.10036303102970123,0.30714887380599976,0.0007696837419643998,4.842593193054199,0.5452845096588135
1500,0.07516443729400635,0.08484365791082382,0.086407370865345,0.284700870513916,0.0007243833970278502,4.841980934143066,0.4909176528453827
1750,0.060016997158527374,0.059107810258865356,0.06030990183353424,0.238533616065979,0.0006681828526780009,4.841007232666016,0.4177923798561096
2000,0.04411750286817551,0.042329274117946625,0.043311819434165955,0.20278996229171753,0.000675007002428174,4.839502334594727,0.3237461745738983
2250,0.022538265213370323,0.02411910891532898,0.024902790784835815,0.15161193907260895,0.0006529623060487211,4.837191581726074,0.22430123388767242
2500,0.01152041181921959,0.011324082501232624,0.012164471670985222,0.10424783825874329,0.0006910664960741997,4.834758758544922,0.17162126302719116
2750,0.006877260748296976,0.0068221138790249825,0.007582560647279024,0.08034385740756989,0.0007258709520101547,4.832885265350342,0.134132981300354
3000,0.00419642124325037,0.004047565162181854,0.0047447895631194115,0.06181422248482704,0.0008007579017430544,4.831432342529297,0.10818959772586823
3250,0.0024687680415809155,0.0025665888097137213,0.0031378481071442366,0.05059722810983658,0.0006557317683473229,4.830632209777832,0.08983413875102997
3500,0.0019290198106318712,0.001993189100176096,0.002558793406933546,0.0435347743332386,0.000694535207003355,4.829765319824219,0.07552027702331543
3750,0.0015235550235956907,0.0015767375007271767,0.0022222711704671383,0.039096444845199585,0.000783637457061559,4.829292297363281,0.06655982881784439
4000,0.0011856494238600135,0.001141187734901905,0.0017230318626388907,0.03300923854112625,0.0007291852380149066,4.828635215759277,0.06160164624452591
4250,0.0009637061157263815,0.000989350606687367,0.0015995863359421492,0.030756328254938126,0.000731010630261153,4.828085899353027,0.055050626397132874
4500,0.0007547028362751007,0.0007083396194502711,0.001319520641118288,0.026326846331357956,0.0006378093385137618,4.8276472091674805,0.04754579812288284
4750,0.0005540403071790934,0.0005513924406841397,0.0011381043586879969,0.023199252784252167,0.0006418917328119278,4.827165126800537,0.04259199649095535
5000,0.0004887643735855818,0.000530542281921953,0.0011033572955057025,0.022740639746189117,0.000762996613048017,4.826687812805176,0.03985293209552765
5250,0.00045981735456734896,0.00041825103107839823,0.0010090218856930733,0.02062167599797249,0.0006588390679098666,4.826111793518066,0.035559915006160736
5500,0.0004008816904388368,0.00038221466820687056,0.0009346851147711277,0.01907874457538128,0.0007008775137364864,4.825608253479004,0.03230583667755127
5750,0.00041894777677953243,0.00035682032466866076,0.0009397817775607109,0.018532508984208107,0.0007289526984095573,4.825371742248535,0.032627180218696594
6000,0.00031465382198803127,0.00027136417338624597,0.0008393453317694366,0.016511034220457077,0.0006872395169921219,4.825010299682617,0.03076358512043953
6250,0.00029869950958527625,0.00033058738335967064,0.0009155144798569381,0.018058286979794502,0.0007077872287482023,4.824601173400879,0.028415512293577194
6500,0.000213228864595294,0.00020989964832551777,0.0008027749136090279,0.01419294998049736,0.0007412869017571211,4.824162483215332,0.026116058230400085
6750,0.00021015905076637864,0.00018018539412878454,0.0007900304044596851,0.013216310180723667,0.0006914299447089434,4.823886871337891,0.026017028838396072
7000,0.000211345890420489,0.00022796617122367024,0.0008240534225478768,0.014898323453962803,0.0006985683576203883,4.823518753051758,0.023577764630317688
7250,0.00022115038882475346,0.00021123868646100163,0.0007944780518300831,0.014554819092154503,0.0006883429014123976,4.823409080505371,0.024493686854839325
7500,0.00016836455324664712,0.00020262316684238613,0.0007837061421014369,0.013615124858915806,0.0007367751095443964,4.823090553283691,0.02480814978480339
7750,0.00020660055452026427,0.00018849378102459013,0.000777348643168807,0.013884473592042923,0.0006381251150742173,4.822875022888184,0.020120585337281227
8000,0.00014924880815669894,0.00014985499728936702,0.0007433468126691878,0.012348704040050507,0.000734835397452116,4.8226237297058105,0.02303323522210121
8250,0.00012904070899821818,0.00011315188021399081,0.000701632525306195,0.01064198836684227,0.0007662312709726393,4.822484970092773,0.02138662524521351
8500,0.0001687102485448122,0.0001404185313731432,0.0007213799981400371,0.011832978576421738,0.0006860489957034588,4.822269916534424,0.019762806594371796
8750,0.00016978938947431743,0.00016941234935075045,0.0007497570477426052,0.012969031929969788,0.0007231050985865295,4.822011947631836,0.022058119997382164
9000,0.00011292847921140492,0.0001303168828599155,0.0007147223223000765,0.011422467418015003,0.0007263496518135071,4.821754455566406,0.0184533279389143
9250,9.194338053930551e-05,0.00011859493679367006,0.000706863182131201,0.010948620736598969,0.0006116017466410995,4.821660041809082,0.019192878156900406
9500,0.000153720990056172,0.00013147288700565696,0.0007215797668322921,0.01170489564538002,0.0006744334241375327,4.821653366088867,0.017349829897284508
9750,0.00011239306331845,0.00010125376866199076,0.0006955015705898404,0.009898502379655838,0.0007889068219810724,4.821362495422363,0.020791037008166313
10000,8.646139758639038e-05,0.00011773294681916013,0.0007129614823497832,0.01101270318031311,0.0006382095743902028,4.821333885192871,0.018902260810136795
10250,0.00010615432256599888,0.00011689591337926686,0.0006909570656716824,0.010831542313098907,0.0006176637252792716,4.821074962615967,0.017483865842223167
10500,0.00011358475603628904,0.00010492405272088945,0.0006905765039846301,0.00989290326833725,0.0007486481918022037,4.820990085601807,0.019679738208651543
10750,8.828309364616871e-05,6.686898996122181e-05,0.000655215815640986,0.008079055696725845,0.0007217393722385168,4.820959091186523,0.01790131814777851
11000,9.270032751373947e-05,8.013923070393503e-05,0.0006651125149801373,0.008840836584568024,0.0007104501710273325,4.820955753326416,0.018584270030260086
11250,7.907828694442287e-05,9.541513281874359e-05,0.0006839775014668703,0.009755957871675491,0.0007586030405946076,4.82081413269043,0.018065720796585083
11500,7.420933252433315e-05,7.281283615157008e-05,0.0006462951423600316,0.008256638422608376,0.0007626567967236042,4.8206071853637695,0.018099525943398476
11750,9.563392086420208e-05,0.0001044071395881474,0.0007060400675982237,0.01022004522383213,0.0006896050181239843,4.820518493652344,0.018288126215338707
12000,5.426215648185462e-05,6.742277764715254e-05,0.0006449188222177327,0.008119821548461914,0.000679751334246248,4.820590019226074,0.018687155097723007
12250,6.812869105488062e-05,6.404293526429683e-05,0.0006407138425856829,0.007943015545606613,0.0007121051894500852,4.820258140563965,0.018641546368598938
12500,7.773427932988852e-05,8.783016528468579e-05,0.0006955965654924512,0.00945028942078352,0.0007110715960152447,4.820395469665527,0.019172532483935356
12750,7.796339923515916e-05,8.35923056001775e-05,0.0006674958276562393,0.009057141840457916,0.0006793272914364934,4.820301532745361,0.01771080307662487
13000,7.043418736429885e-05,5.0663329602684826e-05,0.0006208757404237986,0.007106502540409565,0.0007159214001148939,4.820077896118164,0.017307957634329796
13250,5.884645361220464e-05,7.296507101273164e-05,0.0006832591025158763,0.008448841981589794,0.0007399849127978086,4.820112228393555,0.017710983753204346
13500,4.681957216234878e-05,5.4150630603544414e-05,0.0006544016650877893,0.007342175580561161,0.0007391187828034163,4.820306777954102,0.017167245969176292
13750,5.665600474458188e-05,6.695099000353366e-05,0.0006753231282345951,0.008152088150382042,0.0006402179133147001,4.8201446533203125,0.01856052130460739
