layer,R_spike,S_token_var,C_col_imbalance,gap,H_attn,H_query,spike_col_load,max_col_load,run_id,seed,norm,d_model,tau,eta,q_equals_k,use_mlp,residual,data_kind,steps
1,0.9972679615020752,1.8110352754592896,0.41047823429107666,0.00035677477717399597,0.6422948837280273,0.012759963050484657,1.2484205961227417,2.8228182792663574,88,88001,unbalanced_sinkhorn,32,0.1,0.05,False,True,True,linear,300
2,0.9972679615020752,1.8110352754592896,0.41047823429107666,0.00035677477717399597,0.6422948837280273,0.012759963050484657,1.2484205961227417,2.8228182792663574,88,88001,unbalanced_sinkhorn,32,0.1,0.05,False,True,True,linear,300
3,0.9972679615020752,1.8110352754592896,0.41047823429107666,0.00035677477717399597,0.6422948837280273,0.012759963050484657,1.2484205961227417,2.8228182792663574,88,88001,unbalanced_sinkhorn,32,0.1,0.05,False,True,True,linear,300
4,0.9972679615020752,1.8110352754592896,0.41047823429107666,0.00035677477717399597,0.6422948837280273,0.012759963050484657,1.2484205961227417,2.8228182792663574,88,88001,unbalanced_sinkhorn,32,0.1,0.05,False,True,True,linear,300
