layer,R_spike,S_token_var,C_col_imbalance,gap,H_attn,H_query,spike_col_load,max_col_load,run_id,seed,norm,d_model,tau,eta,q_equals_k,use_mlp,residual,data_kind,steps
1,0.7496505975723267,5.560173034667969,0.16643066704273224,0.004837941378355026,0.7467544674873352,0.5794508457183838,1.2081210613250732,2.0209341049194336,57,57001,unbalanced_sinkhorn,8,0.1,0.2,False,True,True,linear,300
2,0.7496505975723267,5.560173034667969,0.16643066704273224,0.004837941378355026,0.7467544674873352,0.5794508457183838,1.2081210613250732,2.0209341049194336,57,57001,unbalanced_sinkhorn,8,0.1,0.2,False,True,True,linear,300
3,0.7496505975723267,5.560173034667969,0.16643066704273224,0.004837941378355026,0.7467544674873352,0.5794508457183838,1.2081210613250732,2.0209341049194336,57,57001,unbalanced_sinkhorn,8,0.1,0.2,False,True,True,linear,300
4,0.7496505975723267,5.560173034667969,0.16643066704273224,0.004837941378355026,0.7467544674873352,0.5794508457183838,1.2081210613250732,2.0209341049194336,57,57001,unbalanced_sinkhorn,8,0.1,0.2,False,True,True,linear,300
