layer,R_spike,S_token_var,C_col_imbalance,gap,H_attn,H_query,spike_col_load,max_col_load,run_id,seed,norm,d_model,tau,eta,q_equals_k,use_mlp,residual,data_kind,steps
1,0.7824668288230896,5.103404998779297,0.20950162410736084,0.0037291087210178375,0.8029971718788147,0.5372734069824219,1.2550172805786133,2.141265869140625,61,61001,unbalanced_sinkhorn,8,0.2,0.2,False,True,True,linear,300
2,0.7824668288230896,5.103404998779297,0.20950162410736084,0.0037291087210178375,0.8029971718788147,0.5372734069824219,1.2550172805786133,2.141265869140625,61,61001,unbalanced_sinkhorn,8,0.2,0.2,False,True,True,linear,300
3,0.7824668288230896,5.103404998779297,0.20950162410736084,0.0037291087210178375,0.8029971718788147,0.5372734069824219,1.2550172805786133,2.141265869140625,61,61001,unbalanced_sinkhorn,8,0.2,0.2,False,True,True,linear,300
4,0.7824668288230896,5.103404998779297,0.20950162410736084,0.0037291087210178375,0.8029971718788147,0.5372734069824219,1.2550172805786133,2.141265869140625,61,61001,unbalanced_sinkhorn,8,0.2,0.2,False,True,True,linear,300
