run_id,seed,norm,d_model,tau,eta,q_equals_k,use_mlp,residual,data_kind,steps,R_spike,S_token_var,C_col_imbalance,gap,H_attn,H_query,spike_col_load,max_col_load
0,0,softmax,4,0.1,1.0,False,True,True,linear,300,0.33939212560653687,7.78117036819458,0.0950724333524704,0.012632030993700027,1.5497969388961792,1.583661675453186,1.1491003036499023,1.586210012435913
0,1,softmax,4,0.1,1.0,False,True,True,linear,300,0.2086503803730011,12.178192138671875,0.07469591498374939,0.04948839917778969,2.0961735248565674,2.1849164962768555,1.0862295627593994,1.6311984062194824
1,1000,softmax,4,0.2,1.0,False,True,True,linear,300,0.33955979347229004,8.508459091186523,0.08546502888202667,0.015788547694683075,1.614648461341858,1.6023422479629517,1.1518948078155518,1.5200495719909668
1,1001,softmax,4,0.2,1.0,False,True,True,linear,300,0.0825331062078476,8.577448844909668,0.011630406603217125,0.04655718058347702,2.794684410095215,2.8300859928131104,1.0024406909942627,1.177781581878662
2,2000,softmax,4,0.4,1.0,False,True,True,linear,300,0.08106096088886261,8.515724182128906,0.04807598516345024,0.05907763913273811,2.829066753387451,2.877720594406128,1.0319697856903076,1.2583556175231934
2,2001,softmax,4,0.4,1.0,False,True,True,linear,300,0.08798925578594208,9.16176986694336,0.01943734847009182,0.03757910802960396,2.6565330028533936,2.7007765769958496,1.0132352113723755,1.2093188762664795
3,3000,softmax,4,0.8,1.0,False,True,True,linear,300,0.24751324951648712,8.112632751464844,0.04533545300364494,0.038346268236637115,2.090256929397583,2.109808921813965,1.097337245941162,1.343432903289795
3,3001,softmax,4,0.8,1.0,False,True,True,linear,300,0.08636735379695892,7.2086334228515625,0.051285047084093094,0.04636836796998978,2.7992327213287354,2.8474225997924805,1.0230202674865723,1.2919337749481201
4,4000,softmax,8,0.1,1.0,False,True,True,linear,300,0.9235227108001709,4.310643672943115,0.4283314049243927,0.0009859539568424225,0.7296295166015625,0.23780891299247742,1.6131956577301025,2.6819682121276855
4,4001,softmax,8,0.1,1.0,False,True,True,linear,300,0.8638252019882202,4.864170074462891,0.4312790036201477,0.000576511025428772,0.6711603403091431,0.32741063833236694,1.557710886001587,2.680464744567871
