run,optimizer,target,freq,depth,rank,fix_wb,layer,top_k,target_alpha,alpha_hat,alpha_error,r2,top_singular,tail_ratio,test_mse,final_train_mse
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,6,10,True,fcs.1.weight,10,0.25,0.49467218289469095,0.24467218289469095,0.7299958448322069,3.719329357147217,0.2756946507300093,0.001890261541120708,0.0018539279699325562
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,6,10,True,fcs.3.weight,10,0.25,0.2793953861923741,0.029395386192374084,0.8385047773672599,2.000075340270996,0.5293851750233736,0.001890261541120708,0.0018539279699325562
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,6,10,True,fcs.5.weight,10,0.25,0.23833458933842133,0.011665410661578668,0.8279113308618538,1.5936881303787231,0.5619080210860181,0.001890261541120708,0.0018539279699325562
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,6,10,True,fcs.7.weight,10,0.25,0.2312280525429306,0.018771947457069393,0.9141410507374859,1.4946593046188354,0.5589832072786172,0.001890261541120708,0.0018539279699325562
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,6,10,True,fcs.9.weight,10,0.25,0.26175661041629034,0.011756610416290336,0.916875055698414,1.4602423906326294,0.5450285283333796,0.001890261541120708,0.0018539279699325562
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,6,10,True,fcs.11.weight,10,0.25,0.28952322343965864,0.03952322343965864,0.9090771789255829,1.5236947536468506,0.5315585324552489,0.001890261541120708,0.0018539279699325562
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,6,10,True,fcs.13.weight,1,0.25,nan,nan,nan,1.647626519203186,nan,0.001890261541120708,0.0018539279699325562
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,6,10,False,fcs.0.weight,1,0.25,nan,nan,nan,13.415480613708496,nan,0.002655964344739914,0.0010170566383749247
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,6,10,False,fcs.1.weight,10,0.25,0.4904330449937338,0.2404330449937338,0.7353105781207905,3.988868474960327,0.25965571795789283,0.002655964344739914,0.0010170566383749247
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,6,10,False,fcs.2.weight,10,0.25,0.1004801724936013,0.1495198275063987,0.8635252396169418,5.013969898223877,0.7835189576241343,0.002655964344739914,0.0010170566383749247
