name,factor,N,bs,L,final_test_error,final_train_error,min_loss,epochs_run,worked,failed
f3_N128_bs8_L3,3,128,8,3,0.5037387609481812,0.5078542847186327,0.507850082591176,771,False,True
f3_N128_bs8_L4,3,128,8,4,0.5424423813819885,0.5507381409406662,0.5507301832549274,818,False,True
f3_N128_bs16_L3,3,128,16,3,0.5667330026626587,0.5740971639752388,0.574091013520956,1076,False,True
f3_N128_bs16_L4,3,128,16,4,0.609237551689148,0.6211433261632919,0.6211380660533905,1382,False,True
f3_N128_bs4_L3,3,128,4,3,0.65740567445755,0.6777340513363015,0.677351183257997,576,False,True
f3_N128_bs2_L3,3,128,2,3,0.6608773469924927,0.6841152161432547,0.6838881094154203,477,False,True
f3_N128_bs1_L3,3,128,1,3,0.6717678308486938,0.6926214858873868,0.692601639800928,676,False,True
f3_N128_bs8_L1,3,128,8,1,0.7198129296302795,0.7349839508533478,0.734966279938817,775,False,True
f3_N128_bs16_L1,3,128,16,1,0.763521671295166,0.7802390418946743,0.7802337370812893,761,False,True
f4_N256_bs1_L3,4,256,1,3,0.7796252965927124,0.7902640404136037,0.7883429057226934,572,False,True
f3_N128_bs4_L4,3,128,4,4,0.8107803463935852,0.8425275187473744,0.8425179140176624,642,False,True
f3_N128_bs4_L2,3,128,4,2,0.8219900131225586,0.855126678943634,0.8515611973125488,476,False,True
f3_N128_bs16_L2,3,128,16,2,0.8310382962226868,0.856463547796011,0.8564612939953804,618,False,True
f3_N128_bs8_L2,3,128,8,2,0.8322138786315918,0.859904732555151,0.8598647266626358,503,False,True
f3_N128_bs2_L2,3,128,2,2,0.8495851159095764,0.8876439199630113,0.8858510868503799,468,False,True
f3_N64_bs4_L2,3,64,4,2,0.8532342910766602,0.9220264349132776,0.9220102252438664,613,False,True
f3_N128_bs2_L4,3,128,2,4,0.8595588803291321,0.8967156989092473,0.89517071753653,447,False,True
f3_N128_bs1_L2,3,128,1,2,0.8602611422538757,0.8999970393325185,0.8810514990264484,391,False,True
f4_N256_bs2_L4,4,256,2,4,0.865671694278717,0.8761927560553886,0.8759637722396292,543,False,True
f4_N256_bs2_L3,4,256,2,3,0.8668927550315857,0.8749093712576723,0.873804909775572,548,False,True
f3_N64_bs8_L2,3,64,8,2,0.8680116534233093,0.9285346493124962,0.9285259060561657,569,False,True
f3_N128_bs4_L1,3,128,4,1,0.8711114525794983,0.9063328076153994,0.905377168674022,634,False,True
f3_N64_bs16_L2,3,64,16,2,0.8737778663635254,0.926740437746048,0.9267399609088898,698,False,True
f3_N64_bs8_L3,3,64,8,3,0.8745232224464417,0.9284015148878098,0.9283937402069569,701,False,True
f3_N64_bs2_L3,3,64,2,3,0.8766015768051147,0.9536020997911692,0.9533398638304789,487,False,True
f3_N64_bs16_L3,3,64,16,3,0.8851286768913269,0.9411919564008713,0.9411887526512146,975,False,True
f3_N64_bs4_L3,3,64,4,3,0.8936112523078918,0.9589019091799855,0.9588894327171147,565,False,True
f3_N64_bs2_L2,3,64,2,2,0.9009299874305725,0.9852371760644019,0.9804102225753013,424,False,True
f3_N64_bs1_L2,3,64,1,2,0.9025978446006775,0.9894740581319752,0.9894422565841978,453,False,True
f3_N128_bs1_L4,3,128,1,4,0.9199967384338379,0.9628136296939331,0.9613885308390948,442,False,True
f3_N32_bs8_L2,3,32,8,2,0.9207442998886108,1.035463571548462,1.03545942902565,1521,False,True
f3_N64_bs1_L3,3,64,1,3,0.9354797601699829,1.0154736175783796,1.0154578048052372,611,False,True
f3_N128_bs2_L1,3,128,2,1,0.9554005861282349,1.0013718262198381,0.9922521970001981,431,False,True
f4_N256_bs4_L3,4,256,4,3,0.9646170139312744,0.9738384297816083,0.9734437000879552,566,False,True
f4_N256_bs4_L4,4,256,4,4,0.9837459921836853,0.9939501467742957,0.9939127240795642,537,False,True
f4_N256_bs1_L2,4,256,1,2,0.9966715574264526,1.0064028925109239,1.0055917095595817,547,False,True
f3_N64_bs16_L1,3,64,16,1,1.007466197013855,1.081212893128395,1.0812083333730698,1348,False,True
f3_N128_bs1_L1,3,128,1,1,1.033029556274414,1.0846295241493102,1.084470406260209,425,False,True
f4_N128_bs2_L3,4,128,2,3,1.0801211595535278,1.1158792794085457,1.1140018641744973,530,False,True
f4_N256_bs1_L4,4,256,1,4,1.110478401184082,1.121992966446953,1.1219001910484931,593,False,True
f4_N256_bs8_L2,4,256,8,2,1.1608963012695312,1.1751614212989807,1.1751360446214676,649,False,True
f3_N64_bs8_L1,3,64,8,1,1.1673704385757446,1.2660909816622734,1.26608270034194,650,False,True
f4_N256_bs2_L2,4,256,2,2,1.1899878978729248,1.2067717710560828,1.2042129916408157,458,False,True
f3_N64_bs4_L1,3,64,4,1,1.194409966468811,1.3095070822164416,1.3055706857703626,425,False,True
f3_N64_bs2_L1,3,64,2,1,1.1978050470352173,1.3276812875992619,1.3114614029182121,436,False,True
f3_N64_bs1_L1,3,64,1,1,1.2110613584518433,1.3544378764482055,1.3421482777461051,404,False,True
f4_N256_bs2_L1,4,256,2,1,1.2142622470855713,1.2285747171945332,1.217853828746911,522,False,True
f3_N32_bs2_L2,3,32,2,2,1.2147738933563232,1.461703602108173,1.4614143138751388,581,False,True
f4_N256_bs8_L1,4,256,8,1,1.2197819948196411,1.2330542029812932,1.2330247885547578,592,False,True
f4_N128_bs16_L3,4,128,16,3,1.22353994846344,1.2659068182110786,1.2658992782235146,952,False,True
f4_N256_bs4_L1,4,256,4,1,1.2254952192306519,1.2401562692248262,1.2376560337288538,564,False,True
f4_N256_bs4_L2,4,256,4,2,1.2316985130310059,1.2494680698728189,1.2494174922758248,500,False,True
f3_N32_bs8_L1,3,32,8,1,1.2386939525604248,1.4219203889369965,1.421913057565689,705,False,True
f3_N32_bs16_L1,3,32,16,1,1.2489873170852661,1.412158191204071,1.4121541380882263,1312,False,True
f4_N256_bs1_L1,4,256,1,1,1.2540147304534912,1.2694291786155034,1.2562910995981582,446,False,True
f3_N32_bs4_L1,3,32,4,1,1.2943774461746216,1.518276885151863,1.5177232841961086,531,False,True
f4_N128_bs1_L2,4,128,1,2,1.30271315574646,1.3546112687921537,1.3546004117847978,462,False,True
f4_N128_bs4_L3,4,128,4,3,1.3039599657058716,1.3589796829037368,1.3581136056454852,573,False,True
f4_N128_bs8_L1,4,128,8,1,1.3195314407348633,1.3724403027445078,1.3723164312541485,618,False,True
f4_N128_bs16_L1,4,128,16,1,1.329170823097229,1.3781653866171837,1.3781637027859688,982,False,True
f4_N128_bs4_L4,4,128,4,4,1.3334908485412598,1.3928538758773357,1.392813419457525,643,False,True
f3_N32_bs1_L2,3,32,1,2,1.3402276039123535,1.6041488297450996,1.604133710901806,933,False,True
f4_N128_bs8_L4,4,128,8,4,1.3419075012207031,1.4004886969923973,1.4004834424704313,822,False,True
f4_N128_bs4_L2,4,128,4,2,1.3427461385726929,1.401353801949881,1.4011681396514177,524,False,True
f3_N32_bs2_L1,3,32,2,1,1.349070429801941,1.6367519790073857,1.6281236166832969,581,False,True
f3_N32_bs4_L2,3,32,4,2,1.3513599634170532,1.540449596941471,1.5404364727437496,1787,False,True
f4_N128_bs16_L2,4,128,16,2,1.3541265726089478,1.4068587869405746,1.4068530052900314,598,False,True
f4_N128_bs2_L2,4,128,2,2,1.3571271896362305,1.417532084378763,1.4132108356279787,524,False,True
f4_N128_bs8_L2,4,128,8,2,1.360729694366455,1.4170418344438076,1.4170311279594898,499,False,True
f4_N128_bs8_L3,4,128,8,3,1.37055504322052,1.4247182626277208,1.4247133564203978,559,False,True
f3_N32_bs1_L1,3,32,1,1,1.3789349794387817,1.696841781436035,1.6351975776772179,397,False,True
f4_N64_bs2_L2,4,64,2,2,1.3904870748519897,1.527678705859671,1.5180457621463574,461,False,True
f4_N64_bs4_L2,4,64,4,2,1.391782522201538,1.5261524375528097,1.5258205384016037,460,False,True
f4_N64_bs16_L2,4,64,16,2,1.3927122354507446,1.507074236869812,1.5070709437131882,805,False,True
f4_N128_bs16_L4,4,128,16,4,1.3935620784759521,1.4563937038183212,1.4563913345336914,1376,False,True
f4_N64_bs8_L2,4,64,8,2,1.401062250137329,1.5255709532648325,1.5254745483398438,701,False,True
f4_N64_bs1_L2,4,64,1,2,1.406752347946167,1.5404222678637183,1.5403614705531048,473,False,True
f4_N64_bs8_L3,4,64,8,3,1.4145987033843994,1.537499651312828,1.5374879464507103,792,False,True
f4_N128_bs1_L3,4,128,1,3,1.4163222312927246,1.4725858438927482,1.472536058304751,815,False,True
f4_N128_bs2_L4,4,128,2,4,1.4170384407043457,1.4798603605595417,1.47493962997396,535,False,True
f4_N64_bs2_L3,4,64,2,3,1.4235687255859375,1.5601745022504474,1.5571501410813653,540,False,True
f4_N128_bs1_L1,4,128,1,1,1.428157091140747,1.4932935957629105,1.4896080570536014,387,False,True
f4_N64_bs4_L3,4,64,4,3,1.4340442419052124,1.5708196349442005,1.5692605897784233,523,False,True
f4_N64_bs16_L3,4,64,16,3,1.4443663358688354,1.569919615983963,1.569913536310196,1767,False,True
f4_N128_bs4_L1,4,128,4,1,1.4642759561538696,1.536232465878129,1.536171317100525,546,False,True
f4_N128_bs2_L1,4,128,2,1,1.4647245407104492,1.536343449348351,1.5346917326965013,572,False,True
f4_N64_bs2_L4,4,64,2,4,1.4790387153625488,1.6353781734360382,1.6337638460099697,533,False,True
f4_N64_bs4_L1,4,64,4,1,1.569529414176941,1.7515064980834723,1.7496691420674324,666,False,True
f4_N64_bs16_L1,4,64,16,1,1.6745071411132812,1.8422681391239166,1.8422619998455048,952,False,True
f4_N64_bs8_L1,4,64,8,1,1.7279473543167114,1.911257117986679,1.9112444669008255,590,False,True
f4_N64_bs2_L1,4,64,2,1,1.7347816228866577,1.947711888467893,1.9378070402890444,392,False,True
f3_N32_bs4_L3,3,32,4,3,1.9811875820159912,2.0415167436003685,2.041508113965392,459,False,True
f3_N32_bs8_L3,3,32,8,3,1.9874848127365112,2.04302379488945,2.043023318052292,745,False,True
f3_N32_bs2_L3,3,32,2,3,1.9945789575576782,2.0591466394253075,2.0473368344828486,409,False,True
f3_N32_bs16_L2,3,32,16,2,1.9946167469024658,2.0473777055740356,2.047377586364746,779,False,True
