config_name,freq_multiplier,rank,layers,epochs,final_train_error,final_test_error,final_test_error_max,training_time_seconds,total_parameters,epochs_run,thresholds_reached,initial_loss,final_loss,loss_reduction_factor,loss_at_50pct
freq0.3_rank10_L3,0.3,10,3,6000,1.1505485133511684e-06,2.1278262920532143e-06,0.012453600764274597,52.34633684158325,51313,6000,16,1.9007170438766479,1.1505485133511684e-06,1652009.4735861993,0.00032204674207605424
freq0.3_rank10_L5,0.3,10,5,6000,6.161948988392397e-07,1.9926703771488974e-06,0.006592869758605957,62.832141160964966,83967,6000,19,1.9913050055503845,6.161948988392397e-07,3231615.531549378,0.00014413918324862607
freq0.3_rank15_L3,0.3,15,3,6000,9.766429570845504e-07,1.99210489881807e-06,0.00679934024810791,52.40453624725342,74638,6000,17,2.0282904148101806,9.766429570845504e-07,2076798.2813954665,7.171544821176213e-05
freq0.3_rank15_L5,0.3,15,5,6000,4.0545483059872824e-08,1.7400961951352656e-06,0.008802473545074463,62.11968159675598,122842,6000,22,2.0855661749839784,4.0545483059872824e-08,51437694.59853909,9.105177232413553e-05
freq0.3_rank25_L3,0.3,25,3,6000,9.74033360989779e-07,1.8518337583373068e-06,0.006501596421003342,51.60244584083557,121288,6000,17,2.03789404630661,9.74033360989779e-07,2092222.0202352954,0.00018469667920726352
freq0.3_rank25_L5,0.3,25,5,6000,3.3538268340294053e-07,1.3884000509278849e-06,0.011088788509368896,63.21266531944275,200592,6000,21,2.0721593379974363,3.3538268340294053e-07,6178492.33291473,0.0002813145380059723
freq0.6_rank10_L3,0.6,10,3,12000,0.02343408465385437,0.025497235357761383,0.7869118452072144,103.8836419582367,51313,12000,2,2.1468863606452944,0.02343408465385437,91.61383482039187,0.02434345716610551
freq0.6_rank10_L5,0.6,10,5,12000,3.264678340997307e-07,1.539460390631575e-05,0.02990347146987915,125.68781113624573,83967,12000,17,2.1440712213516235,3.264678340997307e-07,6567480.766563497,3.0022744795132896e-06
freq0.6_rank10_L8,0.6,10,8,12000,2.0693151725481584e-06,1.498789970355574e-05,0.020890355110168457,161.1226282119751,132948,12000,14,2.07446049451828,2.0693151725481584e-06,1002486.4854026975,5.421287514764117e-05
freq0.6_rank15_L3,0.6,15,3,12000,0.0008855395368300379,0.0011649993248283863,0.23895573616027832,104.77346301078796,74638,12000,7,2.1005134105682375,0.0008855395368300379,2372.0153908513635,0.0015339836361818015
