name,factor,N,bs,L,final_test_error,final_train_error,min_loss,epochs_run,worked,failed
f1_N256_bs1_L2,1,256,1,2,2.6629797957866685e-06,2.9867245025620714e-06,2.9867245025620714e-06,10000,True,False
f1_N256_bs2_L2,1,256,2,2,1.7444765035179444e-05,1.9327065168328605e-05,1.932637488059885e-05,1062,True,False
f1_N256_bs4_L2,1,256,4,2,3.4366192267043516e-05,3.793199251944657e-05,3.792945800284997e-05,1062,True,False
f1_N128_bs1_L2,1,128,1,2,7.75557491579093e-05,0.00010739911421887849,0.00010734400746321288,589,True,False
f1_N128_bs2_L2,1,128,2,2,8.027476724237204e-05,0.00010634087477789933,0.00010630739345263152,669,True,False
f1_N256_bs4_L1,1,256,4,1,0.00017292765551246703,0.00018626045280711878,0.00018625342715949955,1350,True,False
f1_N256_bs1_L1,1,256,1,1,0.00017793255392462015,0.00019738125978392695,0.00019585265792174122,543,True,False
f1_N256_bs2_L1,1,256,2,1,0.0002022168191615492,0.00022041887370305435,0.00022038071585939178,605,True,False
f1_N256_bs8_L2,1,256,8,2,0.00025066558737307787,0.00026817669493084395,0.00026814452314738446,1486,True,False
f1_N128_bs4_L2,1,128,4,2,0.0004192673659417778,0.0005025814512009674,0.0005024041088859121,626,True,False
N64_bs1,1,64,1,2,0.0004546660929918289,0.0008101847385103,0.0008064905519256094,2000,True,False
f1_N16_bs16_L2,1,16,16,2,0.0005037866067141294,0.000206003402126953,0.000206003402126953,10000,True,False
f2_N512_bs1_L2,2,512,1,2,0.0006317963707260787,0.0006307337428812371,0.0006170201120895176,810,True,False
f1_N64_bs1_L2,1,64,1,2,0.0006984435603953898,0.0012018042975606713,0.0011947022415397246,479,True,False
f2_N512_bs4_L1,2,512,4,1,0.0010019999463111162,0.0010001800951471296,0.0009998938577098215,772,True,False
f2_N512_bs1_L1,2,512,1,1,0.0010238628601655364,0.001023783544593526,0.0009968917155661313,739,True,False
f1_N128_bs2_L1,1,128,2,1,0.0012902923626825213,0.0015857794401448189,0.0015745089897913345,466,True,False
f2_N512_bs2_L1,2,512,2,1,0.0012945602647960186,0.0012923114561136373,0.0012904989009525636,781,True,False
f1_N64_bs2_L2,1,64,2,2,0.0014294725842773914,0.0020982354504326395,0.002044713105902929,445,True,False
f1_N128_bs1_L1,1,128,1,1,0.0015202966751530766,0.0019061762057758155,0.0017890097586495957,403,True,False
f1_N128_bs8_L2,1,128,8,2,0.0015469759237021208,0.0017654183284321334,0.0017650218396738637,599,True,False
f1_N256_bs16_L2,1,256,16,2,0.001549311215057969,0.0016120531254273374,0.0016118812418426387,995,True,False
f1_N256_bs8_L1,1,256,8,1,0.001631239545531571,0.001722775684811495,0.001721278971672291,595,True,False
f1_N128_bs4_L1,1,128,4,1,0.0019755936227738857,0.0023570596749777906,0.0023464437190341414,429,True,False
f2_N512_bs2_L2,2,512,2,2,0.001997671788558364,0.001986598991015498,0.0019713921925155198,559,True,False
f2_N256_bs2_L2,2,256,2,2,0.002167623722925782,0.0023234098836013573,0.0022973410156039292,894,True,False
f1_N64_bs4_L2,1,64,4,2,0.002293449593707919,0.003044464333470387,0.0030416311929002404,534,True,False
f2_N512_bs8_L1,2,512,8,1,0.0023063328117132187,0.002303598293565301,0.0023033674501675705,971,True,False
f1_N64_bs1_L1,1,64,1,1,0.002363570500165224,0.0036604854393147424,0.0033551578726706,439,True,False
f2_N512_bs4_L2,2,512,4,2,0.0023698469158262014,0.0023664956082853905,0.0023459661265405884,609,True,False
f1_N64_bs2_L1,1,64,2,1,0.0024290792644023895,0.003469747616151153,0.00340526371235228,461,True,False
f1_N256_bs16_L1,1,256,16,1,0.0024471294600516558,0.002557889194577001,0.0025575988438504282,751,True,False
f1_N32_bs1_L1,1,32,1,1,0.003107955679297447,0.005896442840162663,0.005894985642356687,597,True,False
f1_N32_bs2_L2,1,32,2,2,0.003476195503026247,0.00599925271990287,0.005989446672742815,516,True,False
f1_N128_bs8_L1,1,128,8,1,0.003880915930494666,0.004372134271761752,0.004366260967799462,585,True,False
f2_N512_bs8_L2,2,512,8,2,0.004151768051087856,0.004152919517764531,0.004131518097892695,782,True,False
f1_N64_bs8_L2,1,64,8,2,0.0042655207216739655,0.005256878954241984,0.0052554929425241426,595,True,False
f1_N128_bs16_L1,1,128,16,1,0.004301798064261675,0.004735203052405268,0.004734505811939016,849,True,False
f1_N64_bs4_L1,1,64,4,1,0.004354011733084917,0.005661088889610255,0.005650944644003175,493,True,False
f2_N512_bs16_L2,2,512,16,2,0.004420443903654814,0.0044193656412971905,0.004415666997374501,1172,True,False
f1_N128_bs16_L2,1,128,16,2,0.0048565552569925785,0.005288904532790184,0.005288415704853833,669,True,False
f2_N256_bs4_L1,2,256,4,1,0.005347077734768391,0.005438996557131759,0.005434834645711817,1070,True,False
f1_N32_bs1_L2,1,32,1,2,0.005516155622899532,0.00824357274633769,0.007876185603208796,948,True,False
f2_N256_bs2_L1,2,256,2,1,0.005639031529426575,0.005778816031806855,0.005765877727753832,1307,True,False
N32_bs1,1,32,1,2,0.0059538972564041615,0.00820265726197178,0.00810513132091728,2000,True,False
f1_N32_bs2_L1,1,32,2,1,0.006584432907402515,0.009107496676733717,0.009102008093577751,735,True,False
N32_bs4,1,32,4,2,0.006756197661161423,0.008681433435413055,0.00868125885608606,2000,True,False
f1_N32_bs4_L2,1,32,4,2,0.007651256863027811,0.01013755745952949,0.010134543117601424,717,True,False
N32_bs2,1,32,2,2,0.008072497323155403,0.011081387884360083,0.011077862702222774,2000,True,False
f1_N64_bs16_L2,1,64,16,2,0.008222694508731365,0.009302503895014524,0.009300809819251299,981,True,False
f1_N64_bs8_L1,1,64,8,1,0.008522226475179195,0.009788475465029478,0.009786634182091802,685,True,False
f1_N32_bs4_L1,1,32,4,1,0.009433556348085403,0.01129250819212757,0.01129200286231935,698,True,False
f1_N64_bs16_L1,1,64,16,1,0.011065102182328701,0.012038279557600617,0.012037042994052172,1117,False,False
f2_N512_bs16_L1,2,512,16,1,0.013795635662972927,0.0137936694372911,0.013790789715130813,1505,False,False
f1_N16_bs16_L1,1,16,16,1,0.015038563869893551,0.01218472421169281,0.01218472421169281,10000,False,False
f1_N32_bs8_L2,1,32,8,2,0.015580641105771065,0.01736495434306562,0.017362950602546334,960,False,False
f1_N32_bs16_L2,1,32,16,2,0.016986241564154625,0.01843960164114833,0.01843960164114833,1364,False,False
N32_bs8,1,32,8,2,0.017283359542489052,0.01869986462406814,0.01869511534459889,2000,False,False
f2_N256_bs8_L1,2,256,8,1,0.021829182282090187,0.021934817486908287,0.021924693457549438,1564,False,False
f1_N32_bs8_L1,1,32,8,1,0.022912483662366867,0.023394542280584574,0.023393597919493914,1610,False,False
N16_bs16,1,16,16,2,0.03211575374007225,0.027316341176629066,0.027316341176629066,2000,False,False
f1_N32_bs16_L1,1,32,16,1,0.03828722611069679,0.037837278097867966,0.03783688321709633,3573,False,False
f3_N768_bs2_L1,3,768,2,1,0.17412574589252472,0.174255770547461,0.17421610623322673,1620,False,False
f2_N256_bs1_L1,2,256,1,1,0.23682326078414917,0.23646240926190476,0.2359207325653503,585,False,False
f3_N768_bs16_L1,3,768,16,1,0.25411662459373474,0.2542993826791644,0.25429567384223145,1125,False,False
f1_N16_bs2_L2,1,16,2,2,0.284660279750824,0.26649577636271715,0.26648735417984426,1159,False,False
N16_bs8,1,16,8,2,0.28523221611976624,0.26893283426761627,0.26893283426761627,2000,False,False
f1_N16_bs8_L1,1,16,8,1,0.34540310502052307,0.32952843606472015,0.3295271694660187,2993,False,False
f1_N16_bs2_L1,1,16,2,1,0.37619102001190186,0.36040485091507435,0.36039932910352945,1019,False,False
f1_N16_bs4_L1,1,16,4,1,0.37752729654312134,0.36100102588534355,0.36099689453840256,1409,False,False
f1_N16_bs4_L2,1,16,4,2,0.3856732249259949,0.3671899884939194,0.3671880066394806,3925,False,False
N16_bs4,1,16,4,2,0.4048525094985962,0.38741038739681244,0.3874103184789419,2000,False,False
f1_N16_bs8_L2,1,16,8,2,0.4131244122982025,0.39871564507484436,0.39871564507484436,3833,False,False
N16_bs2,1,16,2,2,0.4299422800540924,0.4180292636156082,0.41802723705768585,2000,False,False
N32_bs16,1,32,16,2,0.43793439865112305,0.4369097352027893,0.4369097352027893,2000,False,False
f2_N256_bs8_L2,2,256,8,2,0.4406532645225525,0.4407242778688669,0.44071543449535966,3801,False,False
f2_N256_bs16_L1,2,256,16,1,0.4607371985912323,0.4609240163117647,0.4609222821891308,1774,False,False
f3_N768_bs1_L1,3,768,1,1,0.47642120718955994,0.4763373504970061,0.47633043442939077,1662,False,False
f1_N16_bs1_L1,1,16,1,1,0.4806341826915741,0.5080599278444424,0.5080548203259241,326,False,False
f2_N256_bs4_L2,2,256,4,2,0.4893025755882263,0.48972953762859106,0.48972705961205065,1058,False,False
f2_N256_bs1_L2,2,256,1,2,0.48938634991645813,0.489720883185107,0.4897176481839354,722,False,False
f3_N768_bs8_L1,3,768,8,1,0.48980140686035156,0.48961541677514714,0.4896122603677213,1190,False,False
f3_N768_bs4_L1,3,768,4,1,0.49100029468536377,0.4908128715663527,0.4908118406504703,780,False,False
f2_N128_bs2_L2,2,128,2,2,0.49238118529319763,0.49384995930449804,0.49384705172269605,611,False,False
f2_N128_bs16_L1,2,128,16,1,0.49289608001708984,0.4948021471500397,0.4948012977838516,447,False,False
f2_N128_bs1_L1,2,128,1,1,0.4929543137550354,0.49517354119257107,0.4951719292873804,440,False,False
f2_N128_bs2_L1,2,128,2,1,0.49352163076400757,0.4954044946862268,0.49540054850513116,548,False,False
f2_N128_bs4_L1,2,128,4,1,0.4935380220413208,0.49539554258808494,0.4953937667887658,458,False,False
f2_N64_bs4_L1,2,64,4,1,0.4941478371620178,0.49808391742408276,0.4980784375220537,403,False,False
f2_N128_bs8_L1,2,128,8,1,0.4942755401134491,0.4962424375116825,0.4962356500327587,395,False,False
f2_N64_bs16_L1,2,64,16,1,0.49593544006347656,0.5007002577185631,0.5006992965936661,410,False,False
f2_N64_bs8_L1,2,64,8,1,0.496258407831192,0.5010087750852108,0.49762652814388275,356,False,False
f2_N64_bs1_L1,2,64,1,1,0.4965192675590515,0.502223246399808,0.5022199386949069,384,False,False
f2_N256_bs16_L2,2,256,16,2,0.4970096945762634,0.4977574497461319,0.4977569617331028,591,False,False
f2_N64_bs2_L1,2,64,2,1,0.49712494015693665,0.5018867555772886,0.5009578356985003,469,False,False
f2_N32_bs2_L1,2,32,2,1,0.49713894724845886,0.5048232551198453,0.5048194263363257,430,False,False
f2_N32_bs8_L1,2,32,8,1,0.49717986583709717,0.5056393221020699,0.5056370198726654,371,False,False
f3_N768_bs2_L2,3,768,2,2,0.49757063388824463,0.49732908616715576,0.497329072458039,499,False,False
f3_N384_bs16_L1,3,384,16,1,0.49765774607658386,0.4978932241598765,0.4978918768465519,440,False,False
f2_N128_bs4_L2,2,128,4,2,0.4976649582386017,0.4999758079648018,0.4999728547409177,406,False,False
f2_N64_bs2_L2,2,64,2,2,0.49775922298431396,0.5025706871383591,0.5025548306875862,419,False,False
f2_N128_bs1_L2,2,128,1,2,0.4981689155101776,0.5005014937266878,0.5005003291837511,367,False,False
f3_N768_bs4_L2,3,768,4,2,0.4982494115829468,0.49796011329938966,0.4979591184334519,455,False,False
f2_N32_bs4_L1,2,32,4,1,0.4984518885612488,0.507166126742959,0.5071297474205494,431,False,False
f2_N32_bs16_L1,2,32,16,1,0.4985373318195343,0.5087165385484695,0.5087157785892487,348,False,False
f2_N512_bs2_L3,2,512,2,3,0.49854305386543274,0.49852329867280787,0.49852329867280787,784,False,False
f1_N16_bs1_L2,1,16,1,2,0.49855050444602966,0.5212208594894037,0.5212169650476426,373,False,False
f2_N128_bs8_L2,2,128,8,2,0.49866220355033875,0.5011298563331366,0.4992212764918804,410,False,False
f2_N64_bs4_L2,2,64,4,2,0.4989983141422272,0.5041392035782337,0.5041378010064363,365,False,False
f3_N768_bs8_L2,3,768,8,2,0.49917688965797424,0.49889084867512185,0.4988898166144888,391,False,False
f3_N384_bs2_L1,3,384,2,1,0.4992247521877289,0.4994845258697751,0.4994652867559732,396,False,False
