run,optimizer,target,freq,depth,rank,fix_wb,layer,top_k,target_alpha,alpha_hat,alpha_error,r2,top_singular,tail_ratio,test_mse,final_train_mse
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,3,10,True,fcs.1.weight,10,0.75,0.9310877880988019,0.18108778809880188,0.9680651841509815,4.003674507141113,0.1421761382434842,0.048812516033649445,0.07359780371189117
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,3,10,True,fcs.3.weight,10,0.75,0.7008006059079673,0.04919939409203267,0.9873608846300437,2.8192641735076904,0.20881354022973517,0.048812516033649445,0.07359780371189117
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,3,10,True,fcs.5.weight,10,0.75,0.8503667864436781,0.10036678644367814,0.9307489461346449,3.525412082672119,0.17312700983652646,0.048812516033649445,0.07359780371189117
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,3,10,True,fcs.7.weight,1,0.75,nan,nan,nan,8.051993370056152,nan,0.048812516033649445,0.07359780371189117
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,3,10,False,fcs.0.weight,1,0.75,nan,nan,nan,13.32762622833252,nan,0.01520137395709753,0.004652763716876507
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,3,10,False,fcs.1.weight,10,0.75,0.9572959890108155,0.20729598901081547,0.8491445722913809,3.566481113433838,0.15763236629733074,0.01520137395709753,0.004652763716876507
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,3,10,False,fcs.2.weight,10,0.75,0.1431229969484218,0.6068770030515782,0.8808281095631215,4.8567962646484375,0.6992249230272363,0.01520137395709753,0.004652763716876507
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,3,10,False,fcs.3.weight,10,0.75,0.6482378616001975,0.10176213839980253,0.979567805083645,2.4487712383270264,0.22654475643827296,0.01520137395709753,0.004652763716876507
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,3,10,False,fcs.4.weight,10,0.75,0.12734892715392285,0.6226510728460771,0.8846724667021792,4.730101108551025,0.7238154705852181,0.01520137395709753,0.004652763716876507
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,3,10,False,fcs.5.weight,10,0.75,0.7390348899497372,0.010965110050262794,0.9714876635490808,2.6520373821258545,0.2130086921764753,0.01520137395709753,0.004652763716876507
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,3,10,False,fcs.6.weight,10,0.75,0.12602356195209619,0.6239764380479038,0.9336292072680472,5.0202107429504395,0.7565256747507194,0.01520137395709753,0.004652763716876507
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,3,10,False,fcs.7.weight,1,0.75,nan,nan,nan,3.7988760471343994,nan,0.01520137395709753,0.004652763716876507
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,6,10,True,fcs.1.weight,10,0.75,1.033699123565553,0.28369912356555305,0.8567341393492163,3.508986473083496,0.15557971269528775,0.003897443413734436,0.020286090672016144
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,6,10,True,fcs.3.weight,10,0.75,0.6868592730107022,0.06314072698929785,0.9110991616175685,2.084796905517578,0.2662342559791007,0.003897443413734436,0.020286090672016144
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,6,10,True,fcs.5.weight,10,0.75,0.5726210200018484,0.17737897999815155,0.9569376740911912,1.8232924938201904,0.3029224931782727,0.003897443413734436,0.020286090672016144
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,6,10,True,fcs.7.weight,10,0.75,0.5801774459147544,0.1698225540852456,0.9639907711002874,1.9183735847473145,0.2896603780993394,0.003897443413734436,0.020286090672016144
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,6,10,True,fcs.9.weight,10,0.75,0.5150003096713968,0.23499969032860324,0.970320884667203,1.8107414245605469,0.3104282864589848,0.003897443413734436,0.020286090672016144
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,6,10,True,fcs.11.weight,10,0.75,0.49006438978893757,0.25993561021106243,0.9833380380882603,1.8376719951629639,0.3082357638506552,0.003897443413734436,0.020286090672016144
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,ht_muon,chirp1d,16,6,10,True,fcs.13.weight,1,0.75,nan,nan,nan,2.0783586502075195,nan,0.003897443413734436,0.020286090672016144
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,6,10,False,fcs.0.weight,1,0.75,nan,nan,nan,13.800336837768555,nan,0.014806576073169708,0.004917670041322708
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,6,10,False,fcs.1.weight,10,0.75,1.0034070797612027,0.2534070797612027,0.8676581611195799,3.5156829357147217,0.15379976919592558,0.014806576073169708,0.004917670041322708
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,6,10,False,fcs.2.weight,10,0.75,0.1109736221280664,0.6390263778719336,0.7873422711476888,4.540440082550049,0.7570458201343366,0.014806576073169708,0.004917670041322708
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,6,10,False,fcs.3.weight,10,0.75,0.6070979502423248,0.14290204975767518,0.9043909105294904,1.91356360912323,0.276961911919983,0.014806576073169708,0.004917670041322708
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,6,10,False,fcs.4.weight,10,0.75,0.1450155262520951,0.6049844737479049,0.6247567975691596,4.50432014465332,0.6358074701435477,0.014806576073169708,0.004917670041322708
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,6,10,False,fcs.5.weight,10,0.75,0.6399927685606374,0.11000723143936264,0.9430587988469313,2.0315496921539307,0.27340303067595184,0.014806576073169708,0.004917670041322708
mmnn_ht_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_trainWb_s0,ht_muon,chirp1d,16,6,10,False,fcs.6.weight,10,0.75,0.14338479480500113,0.6066152051949989,0.5509715931878433,4.467015266418457,0.6146775035465067,0.014806576073169708,0.004917670041322708
