seed,method,step,loss,ranking_loss,mean_relative_residual,covariance_relative_residual,endpoint_loss,spectral_condition,certificate_rate,gradient_norm,elapsed_seconds,wavenumber,count,noise,aperture,jitter,boundary_residual
17,richardson,0,1.1129276752471924,0.8248752355575562,0.8822208642959595,0.4317072331905365,4.066115856170654,18484.85546875,0.0,0.37301862239837646,0.473905339022167,8.0,1,0.15835632991566076,360.0,0.004929175105955019,7.07181015968672e-07
17,richardson,1,1.1009624004364014,0.832201361656189,0.8994536399841309,0.27399325370788574,6.6378679275512695,33318.68359375,0.0,0.40572330355644226,0.49444371002027765,10.0,1,0.11222170118567196,360.0,0.10782416928678135,4.058227318637364e-07
17,richardson,2,0.8632578253746033,0.8205776214599609,0.6405165195465088,0.12184935808181763,5.143946647644043,16104.3212890625,0.0,0.05855787172913551,0.5204692669794895,8.0,4,0.09911167970851661,360.0,0.09075049426971092,6.715886229358148e-06
17,richardson,3,1.2712503671646118,0.8367959856987,0.901400089263916,0.35723066329956055,17.195022583007812,175712.25,0.0,0.5295881032943726,0.5390073800226673,10.0,1,0.04393417835873009,360.0,0.05657318128511059,9.196816677103925e-07
17,heavy_ball,0,1.6175718307495117,0.8134033679962158,0.993496298789978,1.5957822799682617,15.968284606933594,141425.390625,0.0,0.16970612108707428,0.02035603701369837,8.0,1,0.05498920315614861,360.0,0.052937239645053445,4.263536993676098e-06
17,heavy_ball,1,1.1915531158447266,0.7581993937492371,0.7884221076965332,0.8101610541343689,5.70172643661499,19176.130859375,0.0,0.26997053623199463,0.04121997597394511,10.0,3,0.10055218115887808,240.0,0.03574522664146612,7.382267313005286e-07
17,heavy_ball,2,1.336315631866455,0.7117173075675964,0.9122201800346375,1.3496265411376953,2.982996702194214,12539.248046875,0.0,1.1299350261688232,0.06056224397616461,10.0,1,0.16606270881160928,240.0,0.11067746277965029,5.752436891270918e-07
17,heavy_ball,3,1.2337158918380737,0.7342863082885742,0.8143292665481567,0.7511821985244751,8.958070755004883,36457.29296875,0.0,0.3063460886478424,0.08145613898523152,10.0,3,0.05963577717957269,360.0,0.12290830920495516,6.183942787174601e-06
17,chebyshev,0,0.9311707615852356,0.8045658469200134,0.6224526166915894,0.09052886068820953,11.847515106201172,63636.02734375,0.0,0.3533785939216614,0.0214653909788467,6.0,3,0.06759612858146237,240.0,0.117226673386583,3.353658712512697e-06
17,chebyshev,1,0.9638187289237976,0.7811650633811951,0.8267019987106323,0.18762747943401337,2.637855291366577,11336.28515625,0.0,0.12928266823291779,0.041413036989979446,10.0,1,0.18237133320166118,360.0,0.05085306468060427,1.1826502941403305e-06
17,chebyshev,2,0.8376703858375549,0.7765440940856934,0.588807225227356,0.09744363278150558,6.580281734466553,22337.34375,0.0,0.07085710763931274,0.0637872900115326,8.0,4,0.08218470659608287,360.0,0.1447291754615033,4.2785632103914395e-06
17,chebyshev,3,0.9554972648620605,0.7708337306976318,0.790270984172821,0.20434144139289856,2.9256491661071777,12891.8388671875,0.0,0.08907689154148102,0.08393092901678756,6.0,1,0.19542300776587804,360.0,0.004730600922556926,7.496719263144769e-07
