seed,method,depth,mean_relative_residual,covariance_relative_residual
17,learned-Richardson,4,0.6804631352424622,0.18365474045276642
17,learned-HB,4,0.7478427886962891,0.6400587558746338
17,learned-Chebyshev,4,0.6339242458343506,0.14945663511753082
17,global-safe-HB,4,0.77946937084198,0.7089657783508301
17,population-safe-HB,4,0.7797927260398865,0.7081518769264221
17,spectrum-HB,4,2.502322196960449,4.449278831481934
17,population-PCG,4,2.426309823989868,0.18861538171768188
17,learned-Richardson,8,0.6342957019805908,0.1295161247253418
17,learned-HB,8,0.7393168210983276,0.8312990665435791
17,learned-Chebyshev,8,0.5631009936332703,0.10602080821990967
17,global-safe-HB,8,0.8215529918670654,1.0003337860107422
17,population-safe-HB,8,0.8210470676422119,1.0002683401107788
17,spectrum-HB,8,3.9548563957214355,7.2390899658203125
17,population-PCG,8,1.1440606117248535,0.1151231899857521
17,learned-Richardson,16,0.5925325155258179,0.09803846478462219
17,learned-HB,16,0.5542091131210327,0.5618252754211426
17,learned-Chebyshev,16,0.462044358253479,0.06243034824728966
17,global-safe-HB,16,0.6791481971740723,0.8064752817153931
17,population-safe-HB,16,0.6784507036209106,0.8061000108718872
17,spectrum-HB,16,6.171761512756348,11.40206527709961
17,population-PCG,16,0.404578298330307,0.038606658577919006
17,learned-Richardson,24,0.5676852464675903,0.08624130487442017
17,learned-HB,24,0.4267307221889496,0.39763641357421875
17,learned-Chebyshev,24,0.38906800746917725,0.04116930812597275
17,global-safe-HB,24,0.5676600933074951,0.6809442043304443
17,population-safe-HB,24,0.5672789216041565,0.6798397302627563
17,spectrum-HB,24,7.476975440979004,13.838150024414062
17,population-PCG,24,0.35700276494026184,0.013161057606339455
17,learned-Richardson,32,0.5488835573196411,0.07923263311386108
17,learned-HB,32,0.35341039299964905,0.2880813479423523
17,learned-Chebyshev,32,0.3339787423610687,0.02824537828564644
17,global-safe-HB,32,0.5042759776115417,0.5866752862930298
17,population-safe-HB,32,0.5039293766021729,0.5868678092956543
17,spectrum-HB,32,8.112070083618164,15.02608871459961
17,population-PCG,32,0.2718438506126404,0.007682256866246462
17,learned-Richardson,48,0.5199642181396484,0.07005830109119415
17,learned-HB,48,0.24574141204357147,0.10942231863737106
17,learned-Chebyshev,48,0.26464295387268066,0.016324125230312347
17,global-safe-HB,48,0.32635337114334106,0.31610947847366333
17,population-safe-HB,48,0.3259908854961395,0.3154841363430023
17,spectrum-HB,48,8.116133689880371,15.042724609375
17,population-PCG,48,0.06580625474452972,0.0019275583326816559
17,learned-Richardson,64,0.49749332666397095,0.0636054202914238
17,learned-HB,64,0.199833482503891,0.06837780773639679
17,learned-Chebyshev,64,0.21851575374603271,0.010326099582016468
17,global-safe-HB,64,0.2655807435512543,0.277107834815979
17,population-safe-HB,64,0.2653271555900574,0.2796000838279724
17,spectrum-HB,64,7.237002849578857,13.417268753051758
17,population-PCG,64,0.007346020080149174,0.00036289807758294046
