model,scenario,category,n_tasks,balanced_brier_mean,balanced_brier_ci95,balanced_brier_q10,balanced_nll_mean,balanced_nll_ci95,balanced_nll_q10,balanced_ece_mean,balanced_ece_ci95,balanced_ece_q10,uncertainty_error_auc_mean,uncertainty_error_auc_ci95,uncertainty_error_auc_q10,credible_confident_fraction_mean,credible_confident_fraction_ci95,credible_confident_fraction_q10,credible_selective_accuracy_mean,credible_selective_accuracy_ci95,credible_selective_accuracy_q10,mean_score_std_mean,mean_score_std_ci95,mean_score_std_q10
exact,180-degree aperture,OOD aperture,16,0.05584504874423146,0.0032798743055498123,0.04572189226746559,0.18340162187814713,0.010717683012685749,0.15139207988977432,0.0604177403729409,0.0036363968085437784,0.051404526457190514,0.9155950073484003,0.0059099421163786225,0.9057757501896797,0.75836181640625,0.0076422181292044675,0.73779296875,0.9696096740663052,0.005674528278715676,0.9530566334724426,0.07199662737548351,0.0005139648797667028,0.07067622989416122
exact,30% noise,OOD noise,16,0.03352520242333412,0.002489375758508108,0.026960384100675583,0.11764573119580746,0.009844503618410449,0.09226470068097115,0.04012820776551962,0.0032586645057294137,0.03233209066092968,0.9477533009071261,0.003363323164812684,0.9390671379855903,0.87469482421875,0.004185188405085075,0.86376953125,0.973120741546154,0.0034966440871826315,0.9631886184215546,0.06354332342743874,0.00033701475043193145,0.06284204497933388
exact,four obstacles,ID,16,0.02478651434648782,0.002507720158025616,0.018981781788170338,0.09692149329930544,0.0061971905507602005,0.08194353431463242,0.05530010838992894,0.0040071947210547805,0.04694671556353569,0.9780328970213759,0.0038595653087109723,0.9682774005838485,0.89459228515625,0.007933299853216846,0.87744140625,0.9998614117503166,0.0001855492435427942,0.9994456470012665,0.05931993667036295,0.0005558944595401884,0.05763614736497402
exact,heteroscedastic noise,OOD noise,16,0.016626029566396028,0.001666906172910497,0.01334614772349596,0.06827408401295543,0.00464482265060849,0.058883653953671455,0.03518630797043443,0.003509270625735118,0.02416585013270378,0.9753312609091079,0.003033979901152303,0.9698496929831859,0.89263916015625,0.005017098080766758,0.8837890625,0.9986993372440338,0.0009050361394000518,0.9967175722122192,0.0650118188932538,0.0004081857171438687,0.06414581462740898
exact,mirrored kites,lsmlab-inspired,16,0.01451890089083463,0.0014263641416380883,0.011065836995840073,0.05949846492148936,0.00397152935304939,0.051384130492806435,0.028342187288217247,0.002308909662353828,0.022460903972387314,0.9786678029695558,0.0019843302949614176,0.9730654096619523,0.91937255859375,0.0036020023300803025,0.9111328125,0.998202707618475,0.0007569082931036408,0.9962713122367859,0.06684140302240849,0.0003484571615762549,0.06610583513975143
exact,one obstacle,ID,16,0.20656025595963,0.0056427355143997176,0.19280923157930374,0.5213116686791182,0.012391255477939973,0.4918011426925659,0.3242655750364065,0.004454174262607389,0.3138052970170975,0.9998523958899188,0.00013587257908367098,0.9994209754383512,0.95269775390625,0.008536677174830445,0.9287109375,0.9999999850988388,1.3061443674265109e-08,0.9999999403953552,0.08270771289244294,0.00036272728405861953,0.08195020630955696
exact,six obstacles,OOD count,16,0.05836229328997433,0.007666104383106681,0.03955606929957867,0.18726753257215023,0.019906440504836073,0.13662343472242355,0.06017502536997199,0.0050201164358493686,0.04637087322771549,0.9550653241281083,0.003941107911056372,0.947108107583407,0.8297119140625,0.014557024175908042,0.79833984375,0.99499287083745,0.001791593657229487,0.9911192953586578,0.05716305831447244,0.0004662146990475094,0.05622106045484543
exact,three obstacles,ID,16,0.018291808606591076,0.0019893453560046177,0.013942970894277096,0.0770617532543838,0.005339862075259976,0.06467937678098679,0.04245068598538637,0.002547259370315289,0.03681931085884571,0.9750345727796473,0.003469656659084525,0.9671769590098964,0.8961181640625,0.006006911932453625,0.88134765625,0.9997263178229332,0.00036642608519392303,0.9989070892333984,0.06254220241680741,0.0004546512296523579,0.061228081583976746
exact,three stars,OOD shape,16,0.02799670392414555,0.003344090322050591,0.01897231675684452,0.10271052038297057,0.009143981659853586,0.07786240056157112,0.03928123810328543,0.003064448471734659,0.029837832786142826,0.9686892494761896,0.002479426681206278,0.9635734404678693,0.88568115234375,0.007455162356344452,0.869140625,0.9961930066347122,0.0014059217424524956,0.9916689991950989,0.0629468485713005,0.0004951481722757032,0.06205259449779987
exact,two crescents,OOD shape,16,0.01666955422842875,0.0013057769850575726,0.013528815004974604,0.06812017667107284,0.004540721799891491,0.05515432171523571,0.022647405741736293,0.002065825818801843,0.01753184851258993,0.9750281949064181,0.0022152897295509948,0.9699835775288362,0.927001953125,0.006645454834430943,0.9111328125,0.991715345531702,0.001541672533214498,0.9884736835956573,0.06536134984344244,0.0007851004338282591,0.0633736103773117
exact,two obstacles,ID,16,0.013833932171110064,0.0018961699346906292,0.008902870118618011,0.056857607094570994,0.005297419626209996,0.043449122458696365,0.02817102090921253,0.002002748430835238,0.02335961628705263,0.9800215415028863,0.0032977458599240668,0.9713737827097495,0.9185791015625,0.006836524226122835,0.90234375,0.9979842193424702,0.0012573212692772806,0.9951304793357849,0.06688847346231341,0.0003754092797830272,0.06589813530445099
exact,wavenumber 12,OOD frequency,16,0.035792941926047206,0.004348353704411067,0.026565266773104668,0.12549796933308244,0.012802496795945181,0.0995575524866581,0.0867706909775734,0.0050561688771878594,0.0752754732966423,0.9911548942082307,0.0028430636038189183,0.9871373836891079,0.95770263671875,0.001966916537440715,0.95263671875,0.9998728260397911,0.00024923759726247507,0.9999999403953552,0.05403094016946852,0.00035874051417278093,0.05325622111558914
foundation,180-degree aperture,OOD aperture,16,0.05640488467179239,0.0032894981610846834,0.046193720772862434,0.18522436916828156,0.0108537332593414,0.1525927260518074,0.06113473535515368,0.003879551755927443,0.050587354227900505,0.9154068293353695,0.0061338590411898625,0.9042637782391478,0.75872802734375,0.007428495940651929,0.73876953125,0.9675920754671097,0.005786599032164696,0.9515201449394226,0.07200186885893345,0.0005164032998312265,0.0706833153963089
foundation,30% noise,OOD noise,16,0.032090921071358025,0.002391591518239273,0.026076176203787327,0.11175383534282446,0.009175642657229654,0.08869640901684761,0.0380261919926852,0.003144791899912996,0.03071684204041958,0.9505236503838502,0.002889508902678896,0.9437237973388639,0.87548828125,0.004522753236062066,0.86474609375,0.9754483252763748,0.00317678969357923,0.9681791067123413,0.06344326911494136,0.00035041572585988936,0.06266024336218834
foundation,four obstacles,ID,16,0.02468307176604867,0.0025284564907558102,0.01892879232764244,0.09655083157122135,0.006271889759619614,0.0817011296749115,0.0547851724550128,0.004000941556622721,0.04520146735012531,0.9778549297583128,0.004034731087936899,0.9679629310805827,0.89483642578125,0.00801037395417955,0.876953125,0.9998614899814129,0.00018544453100636336,0.9994462728500366,0.05931933433748782,0.0005516197191666354,0.057663921266794205
foundation,heteroscedastic noise,OOD noise,16,0.016624122275970876,0.0016578744427640769,0.013330213259905577,0.06819234509021044,0.004654179509380751,0.05866747908294201,0.03477941092569381,0.0036022391104466706,0.024127250537276268,0.976023716501405,0.002748095534067406,0.9707462030116146,0.8931884765625,0.004826054068218094,0.8837890625,0.9986318461596966,0.0009513769525168892,0.9961806535720825,0.06497143022716045,0.0004084710252358282,0.06406909227371216
foundation,mirrored kites,lsmlab-inspired,16,0.014573049149475992,0.0014115803585873345,0.011153784114867449,0.05933163152076304,0.0039588130025313105,0.05112556554377079,0.027931003598496318,0.002288392987426596,0.022077932953834534,0.9785446356624753,0.0020451297113524606,0.9734342674542319,0.919189453125,0.003621154674907732,0.9111328125,0.9981353580951691,0.0007759153145046874,0.9957411587238312,0.06684859003871679,0.00035382902731618914,0.06613098084926605
foundation,one obstacle,ID,16,0.20255751628428698,0.0056080762098456825,0.1889084056019783,0.5126715749502182,0.01221604615330738,0.48359374701976776,0.32137626595795155,0.0044058834996850435,0.3116710036993027,0.9998523958899188,0.00013587257908367098,0.9994209754383512,0.951904296875,0.008658356448140525,0.9287109375,0.9999999813735485,1.3981440150755813e-08,0.9999999403953552,0.08270647842437029,0.00036242567620563254,0.08195092529058456
foundation,six obstacles,OOD count,16,0.05989195848815143,0.00792545181631859,0.040673717856407166,0.19137201877310872,0.02068468031538116,0.139162078499794,0.06328246393240988,0.00524692240743086,0.04899061471223831,0.9557765987893379,0.0036886147777773523,0.94788888514727,0.83062744140625,0.01468553850589985,0.79833984375,0.995362114161253,0.0015734499895717936,0.9917356073856354,0.056920218747109175,0.0004393196444805635,0.05608123913407326
foundation,three obstacles,ID,16,0.01822160347364843,0.001985154724835199,0.013851899188011885,0.07656283490359783,0.005360006731286593,0.06400436535477638,0.04151755291968584,0.0026001503729794853,0.0349420141428709,0.9752306853079391,0.003569508343138736,0.9669395044631443,0.89581298828125,0.0058806663066786205,0.880859375,0.9997263252735138,0.0003664275102012017,0.9989070892333984,0.06255238293670118,0.00045471464453917615,0.0612576138228178
foundation,three stars,OOD shape,16,0.02790245460346341,0.0033324406689567757,0.018996701575815678,0.10230033053085208,0.009159031317067166,0.07759660854935646,0.038953060982748866,0.003381837343881104,0.030446598306298256,0.9684104196258165,0.0025305318334521336,0.9628650069357971,0.88568115234375,0.007420271609931269,0.869140625,0.9961934387683868,0.0014052871347068384,0.9916689991950989,0.06296200910583138,0.0004943403633095696,0.06207757256925106
foundation,two crescents,OOD shape,16,0.016711880918592215,0.0013141879293119031,0.013596683740615845,0.06806453200988472,0.004565967782339774,0.054953740909695625,0.022315796930342913,0.0019637945474424412,0.01726603042334318,0.9746883654739422,0.0021754331216767295,0.9707276689243993,0.9268798828125,0.00672622324183634,0.91064453125,0.991583026945591,0.0015974047367300335,0.9880012571811676,0.06536170281469822,0.0007833348795946261,0.06337955594062805
foundation,two obstacles,ID,16,0.013923633028753102,0.0019052591664564856,0.008963039144873619,0.05677496502175927,0.0053678580702356754,0.04319874569773674,0.02817415085155517,0.0020611631476229525,0.023688845336437225,0.9797593236357856,0.0032976995720846746,0.9712059528344381,0.9188232421875,0.006947271276083296,0.90185546875,0.9978496395051479,0.0013025281929954315,0.9951228201389313,0.06689385743811727,0.00037623894626888805,0.06590293347835541
foundation,wavenumber 12,OOD frequency,16,0.03718068974558264,0.004425735650496325,0.027672672644257545,0.12926738476380706,0.013085162575411664,0.10263413190841675,0.0887277121655643,0.005116373453062213,0.07647611573338509,0.9912069486068674,0.0028868130387929686,0.9884501219381856,0.95794677734375,0.0019018111740001205,0.95263671875,0.9998728260397911,0.00024923759726247507,0.9999999403953552,0.05387424980290234,0.0004016107446487336,0.05310500040650368
