model,seed,step,loss,ranking_loss,relative_residual,coefficient_mean,gradient_norm,elapsed_seconds,wavenumber,noise,aperture_degrees,mean_count
small,17,1500,0.39138442277908325,0.38838934898376465,0.012123565189540386,0.003920895513147116,1.7817133993958123e-05,49.498953980975784,8.0,0.04048776846119943,360.0,2.5833334922790527
small,17,1600,0.3490561544895172,0.3359164893627167,0.055113546550273895,0.003713832935318351,8.691112452652305e-05,52.696969162963796,8.0,0.1818379757585101,240.0,2.8333334922790527
small,17,1700,0.3317553400993347,0.32028400897979736,0.049523185938596725,0.006117814686149359,0.0011112760985270143,55.860963843995705,10.0,0.06664626937181646,360.0,2.5
small,17,1800,0.3432377576828003,0.33107078075408936,0.05096762627363205,0.004269218072295189,0.0021276806946843863,59.13529646996176,8.0,0.11186419880305198,360.0,2.75
small,17,1900,0.36743414402008057,0.3499720096588135,0.07340873777866364,0.004011115059256554,0.00019348121713846922,62.35420113900909,8.0,0.19420107635785527,240.0,2.9166667461395264
small,17,2000,0.29419422149658203,0.2904749810695648,0.015066440217196941,0.003539831144735217,0.0004672447685152292,65.54840305499965,8.0,0.13246754146710632,360.0,1.6666667461395264
small,17,2100,0.31475430727005005,0.30906227231025696,0.02320818603038788,0.004459330812096596,5.0547219871077687e-05,68.7778500560089,6.0,0.12682858582604106,360.0,2.6666667461395264
small,17,2200,0.3328721523284912,0.33212777972221375,0.0029898895882070065,0.005182962864637375,5.928144310018979e-05,72.01136599498568,6.0,0.054583548244023464,360.0,2.25
foundation,17,0,0.3088356554508209,0.30208420753479004,0.027619807049632072,0.02677140384912491,0.0003983655187766999,0.13557200599461794,6.0,0.12261567981145044,360.0,2.5
foundation,17,100,0.36399808526039124,0.3446485996246338,0.08138982951641083,0.03870391100645065,0.002046965528279543,3.806878625007812,10.0,0.1708459969714141,360.0,3.0833334922790527
foundation,17,200,0.31868958473205566,0.3107196092605591,0.032754991203546524,0.03899923339486122,0.0249362550675869,7.4560665329918265,10.0,0.13036893143703043,360.0,2.5
foundation,17,300,0.3603947162628174,0.3588946461677551,0.006028500851243734,0.07724057137966156,0.005447971634566784,11.095555273001082,8.0,0.04788389669533224,360.0,2.25
foundation,17,400,0.3409433960914612,0.33781537413597107,0.012735996395349503,0.02231491729617119,0.001958501059561968,14.777164672967046,10.0,0.04661020837439203,240.0,2.0833334922790527
foundation,17,500,0.3402255177497864,0.32238543033599854,0.07580524682998657,0.03103991597890854,0.004630847368389368,18.447351514012553,8.0,0.1951364424953677,360.0,2.1666667461395264
foundation,17,600,0.31248772144317627,0.3106389045715332,0.007456612773239613,0.02904464863240719,0.00023748681996949017,22.091552726982627,6.0,0.07113491439902082,360.0,2.4166667461395264
foundation,17,700,0.35412105917930603,0.3399813175201416,0.058847226202487946,0.03064422868192196,0.0007032009307295084,25.814686312980484,8.0,0.16969031792201517,240.0,2.6666667461395264
foundation,17,800,0.34762659668922424,0.33724164962768555,0.04282977432012558,0.0309445783495903,0.0003259548975620419,29.5384992879699,8.0,0.15442861028033425,240.0,2.8333334922790527
foundation,17,900,0.33648473024368286,0.323009729385376,0.05704052373766899,0.029580548405647278,0.0041064112447202206,33.26438366796356,10.0,0.15575846919008485,240.0,2.3333334922790527
foundation,17,1000,0.32767000794410706,0.31452876329421997,0.05488668009638786,0.03137272596359253,0.0023395665921270847,36.9890443229815,10.0,0.1520755479289385,360.0,2.25
foundation,17,1100,0.3748021125793457,0.36186856031417847,0.054464053362607956,0.0327586904168129,0.00013130308070685714,40.6950435990002,10.0,0.045281897881523765,360.0,2.75
foundation,17,1200,0.3165048062801361,0.3072609603404999,0.03779296204447746,0.03180857002735138,0.0019557494670152664,44.36376565298997,6.0,0.18847243595762153,360.0,2.5
foundation,17,1300,0.3434763550758362,0.3206075429916382,0.09785765409469604,0.03817572444677353,0.0021611691918224096,47.96648747596191,10.0,0.19936891650646543,360.0,2.25
foundation,17,1400,0.34327563643455505,0.3377319574356079,0.022544903680682182,0.04303818196058273,0.0024518787395209074,51.659797592961695,8.0,0.08458691850423951,360.0,3.0
foundation,17,1500,0.3913310766220093,0.3883821964263916,0.011931858956813812,0.050178490579128265,0.0001321884774370119,55.34839511697646,8.0,0.04048776846119943,360.0,2.5833334922790527
foundation,17,1600,0.3493451178073883,0.3359752595424652,0.056119486689567566,0.037454791367053986,0.0014594001695513725,58.953691116999835,8.0,0.1818379757585101,240.0,2.8333334922790527
foundation,17,1700,0.3316195607185364,0.3203052282333374,0.04883600026369095,0.047617219388484955,0.0006377274985425174,62.536773344967514,10.0,0.06664626937181646,360.0,2.5
foundation,17,1800,0.3429776728153229,0.3310542106628418,0.04992754012346268,0.07270323485136032,0.016843747347593307,66.40105529298307,8.0,0.11186419880305198,360.0,2.75
foundation,17,1900,0.36619338393211365,0.34997937083244324,0.06796403229236603,0.3783593773841858,0.007643592078238726,70.12723444396397,8.0,0.19420107635785527,240.0,2.9166667461395264
foundation,17,2000,0.2942276895046234,0.290456622838974,0.015277954749763012,9.831064744503237e-06,1.1065721082559321e-05,73.88879424199695,8.0,0.13246754146710632,360.0,1.6666667461395264
foundation,17,2100,0.31469205021858215,0.3090461492538452,0.023007361218333244,9.718749424791895e-06,8.383707381653949e-07,77.61571186897345,6.0,0.12682858582604106,360.0,2.6666667461395264
foundation,17,2200,0.33284321427345276,0.33212539553642273,0.0028829341754317284,1.0050838682218455e-05,3.2469681627844693e-06,81.34408531698864,6.0,0.054583548244023464,360.0,2.25
