model,seed,step,loss,ranking_loss,relative_residual,coefficient_mean,gradient_norm,elapsed_seconds,wavenumber,noise,aperture_degrees,mean_count
small,17,0,0.30886033177375793,0.30207568407058716,0.027750354260206223,0.00268280110321939,1.0307852789992467e-05,0.3560399619746022,6.0,0.12261567981145044,360.0,2.5
small,17,100,0.3641353249549866,0.34455054998397827,0.08242262899875641,0.0023858959320932627,0.00022134387108962983,3.819797738979105,10.0,0.1708459969714141,360.0,3.0833334922790527
small,17,200,0.3187936246395111,0.31071364879608154,0.03323110565543175,0.002711900044232607,8.314115984831005e-05,7.186809163016733,10.0,0.13036893143703043,360.0,2.5
small,17,300,0.3606116771697998,0.35890358686447144,0.006871319375932217,0.0035162109415978193,0.00011016282951459289,10.61737789696781,8.0,0.04788389669533224,360.0,2.25
small,17,400,0.34085673093795776,0.3378133773803711,0.012385751120746136,0.002785786986351013,2.7274329113424756e-05,14.017818093008827,10.0,0.04661020837439203,240.0,2.0833334922790527
small,17,500,0.34049996733665466,0.32240384817123413,0.07693852484226227,0.0027794484049081802,4.779300434165634e-05,17.31798378797248,8.0,0.1951364424953677,360.0,2.1666667461395264
small,17,600,0.31248703598976135,0.3106403350830078,0.007448186632245779,0.0029301135800778866,1.8948816432384774e-05,20.53044438100187,6.0,0.07113491439902082,360.0,2.4166667461395264
small,17,700,0.3544430136680603,0.3399922251701355,0.060173772275447845,0.0030258800834417343,3.930021193809807e-05,23.718683400016744,8.0,0.16969031792201517,240.0,2.6666667461395264
small,17,800,0.34775668382644653,0.33720797300338745,0.043510161340236664,0.0031350632198154926,2.05816777452128e-05,26.94759905699175,8.0,0.15442861028033425,240.0,2.8333334922790527
small,17,900,0.3366430699825287,0.32309454679489136,0.05738217383623123,0.0029524469282478094,7.845146319596097e-05,30.194540839002002,10.0,0.15575846919008485,240.0,2.3333334922790527
small,17,1000,0.3276115953922272,0.31448280811309814,0.05480857938528061,0.002908871276304126,0.0033972396049648523,33.378946333017666,10.0,0.1520755479289385,360.0,2.25
small,17,1100,0.3749491572380066,0.3618715703487396,0.055054858326911926,0.0030420799739658833,2.8176813430036418e-05,36.55683848296758,10.0,0.045281897881523765,360.0,2.75
small,17,1200,0.3166074752807617,0.307250440120697,0.038261279463768005,0.0031012422405183315,6.922783359186724e-05,39.83499860600568,6.0,0.18847243595762153,360.0,2.5
small,17,1300,0.3427409827709198,0.3206218481063843,0.09445970505475998,0.0033440215047448874,5.398951907409355e-05,43.02254890301265,10.0,0.19936891650646543,360.0,2.25
small,17,1400,0.3432554006576538,0.3377077579498291,0.022560160607099533,0.003654357511550188,3.7851154047530144e-05,46.22246179898502,8.0,0.08458691850423951,360.0,3.0
