time,synchronization,unwrapped_mean_angle
0.0,0.4706186294329145,0.06636955797050066
0.2,0.5034799657238437,0.1856916989424931
0.4,0.5359127995902786,0.3045193736588649
0.6,0.5671920404255183,0.4235282734098603
0.8,0.5967287148138181,0.5433841874436978
1.0,0.6240342557212176,0.664545496221236
1.2,0.6486244482062729,0.7873652493659615
1.4000000000000001,0.6700674244130794,0.9123232919987379
1.6,0.6881491359314892,1.040042645520579
1.8,0.7029542977931735,1.1711208319554471
2.0,0.7148152883592588,1.306011991513674
2.2,0.72422411156574,1.445026751325773
2.4,0.7317827007972042,1.5883706479984485
2.6,0.7381947437634286,1.7361285364877814
2.8000000000000003,0.7442308380058446,1.8881499309471974
3.0,0.7505490943473853,2.0439391754961327
3.2,0.7574248792026811,2.202886504837025
3.4,0.7648499488661631,2.364828513789471
3.6,0.7731081678858986,2.5300878760538703
3.8000000000000003,0.7831154460816578,2.6987840579690374
4.0,0.7962174519090346,2.8702071433130865
4.2,0.8137194954214487,3.0426162022336913
4.4,0.8362823520546572,3.2134254846026913
4.6000000000000005,0.863225621955204,3.3799135401547407
4.8,0.8921614956189743,3.540493606602675
5.0,0.919680962447832,3.6957473881561063
5.2,0.942950338862442,3.84802071404722
5.4,0.9608210610900141,3.9998423242295167
5.6000000000000005,0.973646073411443,4.152764894580974
5.8,0.9824693246326528,4.3072935035100866
6.0,0.9883970887750739,4.4633294653869156
6.2,0.9923321431226728,4.620562208257867
6.4,0.9949310283869207,4.778670561511571
6.6000000000000005,0.9966450931964801,4.937392493117186
6.8,0.9977761919814556,5.0965344410227456
7.0,0.9985236507154013,5.255960263482946
7.2,0.9990184443500971,5.415576639428852
7.4,0.999346556091109,5.575320477113022
7.6000000000000005,0.9995644924873383,5.735149434222337
7.8,0.9997094604584411,5.89503520047084
8.0,0.9998060134728717,6.054958880435513
8.2,0.9998703905057665,6.21490787034576
8.4,0.9999133534795352,6.374873763174101
8.6,0.9999420475099597,6.534850949470968
8.8,0.9999612239081401,6.694835684709743
9.0,0.99997404643174,6.854825468009483
9.200000000000001,0.9999826241371358,7.014818628258201
9.4,0.9999883643311024,7.174814048285608
9.6,0.9999922068152594,7.334810980931321
9.8,0.9999947796071897,7.494808926314331
10.0,0.999996502607161,7.654807549888508
10.200000000000001,0.999997656693207,7.814806627698329
10.4,0.9999984298195618,7.974806009787078
10.6,0.9999989477977589,8.134805595727263
10.8,0.9999992948640518,8.294805318250923
11.0,0.9999995274300142,8.454805132294927
11.200000000000001,0.9999996832799845,8.614805007667977
11.4,0.9999997877253801,8.77480492414072
11.6,0.9999998577240695,8.934804868157702
11.8,0.9999999046383746,9.094804830634992
12.0,0.9999999360820113,9.254804805484873
12.200000000000001,0.9999999571571367,9.414804788627402
12.4,0.9999999712830216,9.574804777328135
12.6,0.9999999807512309,9.734804769754358
12.8,0.9999999870976013,9.894804764677694
13.0,0.9999999913515037,10.054804761274811
13.200000000000001,0.9999999942028713,10.214804758993846
13.4,0.9999999961141407,10.374804757464904
13.6,0.9999999973952703,10.534804756440039
13.8,0.9999999982540192,10.694804755753061
14.0,0.9999999988296462,10.854804755292571
14.200000000000001,0.999999999215495,11.014804754983897
14.4,0.9999999994741343,11.174804754776991
14.6,0.9999999996475035,11.334804754638297
14.8,0.9999999997637156,11.494804754545328
15.0,0.9999999998416145,11.65480475448301
15.200000000000001,0.9999999998938314,11.814804754441237
15.4,0.9999999999288331,11.974804754413235
15.6,0.9999999999522955,12.134804754394466
15.8,0.9999999999680229,12.294804754381884
16.0,0.9999999999785651,12.45480475437345
16.2,0.999999999985632,12.614804754367796
16.4,0.9999999999903685,12.774804754364007
16.6,0.999999999993544,12.934804754361467
16.8,0.9999999999956724,13.094804754359764
17.0,0.9999999999970992,13.254804754358622
17.2,0.9999999999980554,13.414804754357858
17.400000000000002,0.9999999999986967,13.574804754357345
17.6,0.9999999999991263,13.734804754357
17.8,0.9999999999994144,13.89480475435677
18.0,0.9999999999996074,14.054804754356617
18.2,0.999999999999737,14.214804754356512
18.400000000000002,0.9999999999998237,14.374804754356443
18.6,0.9999999999998818,14.534804754356397
18.8,0.9999999999999206,14.694804754356365
19.0,0.9999999999999469,14.854804754356344
19.2,0.9999999999999645,15.014804754356332
19.400000000000002,0.9999999999999761,15.174804754356321
19.6,0.9999999999999839,15.334804754356316
19.8,0.9999999999999892,15.494804754356311
20.0,0.9999999999999928,15.65480475435631
