n_tokens,trials,velocity_rmse,velocity_rmse_se
16,64,0.2891356442574043,0.017150311228552168
32,64,0.21551584364325366,0.010618913228251769
64,64,0.1455904783366863,0.007718083387995276
128,64,0.09841148437115699,0.004980254573000392
256,64,0.07073808937508835,0.003465752494639406
512,64,0.053930605080123595,0.0029337761812443072
1024,64,0.03793702836894472,0.001625682223240256
