time,control_norm,distance_from_polygon,distance_from_target,angle_0,angle_1,angle_2
0.0,3.264571487483024e-05,0.0017493088804787875,0.3612194116948171,0.08,1.4968888581239308,-1.5068888581239308
0.2,3.9137882804926954e-05,0.0007663111595352564,0.3682013649903766,0.042121668853659436,1.5086835631820545,-1.5099486033356433
0.4,4.6992556797430624e-05,0.00040546736394342364,0.3727795274355395,0.021839892701088593,1.5159246806093247,-1.5153100454343045
0.6,5.645093182277468e-05,0.0002463730553500983,0.37541490805573097,0.011256987762888583,1.5212573681715018,-1.5205331605599246
0.8,6.789323361500338e-05,0.00016105001210390638,0.376849394135945,0.0057815726593321865,1.5255439227047158,-1.5250415791700798
1.0,8.1654475908376e-05,0.00010875201127650651,0.37760658555461735,0.002960586032314263,1.5290978182165322,-1.528798994220548
1.2,9.828380534150406e-05,7.443620178892996e-05,0.3779982302269773,0.0015119286459832995,1.5320666417063362,-1.5319008158590988
1.4,0.00011831035122293329,5.1245812483428445e-05,0.3781976246017878,0.0007702211944679465,1.5345460695279514,-1.5344574009200522
1.6,0.00014243518676210814,3.538951565973392e-05,0.3782976886061789,0.00039151692778971643,1.536611942838155,-1.5365655497082868
1.8,0.00017163339988778947,2.4500347632646264e-05,0.3783471407893786,0.00019863817818798542,1.5383286930156252,-1.5383047389541105
2.0,0.00020664335545547764,1.701117232625708e-05,0.3783711314951879,0.00010061667217704814,1.539751558068495,-1.5397392922525266
2.2,0.00024889626206142624,1.1858268490446319e-05,0.37838248173008404,5.089715800508533e-05,1.5409276210623823,-1.5409213725536404
2.4,0.0002998345084741314,8.313174910531037e-06,0.3783876530488701,2.5727069908627823e-05,1.541896524345986,-1.5418933506730537
2.6,0.0003612114776070328,5.875238632343145e-06,0.3783898636239457,1.3011079056422676e-05,1.5426913758601288,-1.5426897562046737
2.8,0.0004350862651321455,4.200132045421394e-06,0.3783906942045476,6.612813510486702e-06,1.543339580242012,-1.5433387311512712
3.0,0.0005237818976070597,3.051149194225703e-06,0.3783909059616219,3.4335574675488193e-06,1.543863632458425,-1.5438631504359563
3.2,0.0006309158775710534,2.2657969153498194e-06,0.3783908434218682,1.9306550572546595e-06,1.5442818545305894,-1.5442814997424037
3.4,0.0007595595177662026,1.7331672020522622e-06,0.3783906461017601,1.3724854366990848e-06,1.544608816603321,-1.544608415952212
3.6,0.000914289753572139,1.3778326029741568e-06,0.3783903319315061,1.4880883686679771e-06,1.5448560786981504,-1.5448554363631293
3.8,0.0011002917166942606,1.1495163066236695e-06,0.37838982564429496,2.329775027937668e-06,1.5450324298284157,-1.5450312337330974
4.0,0.0013238709601739538,1.0158708760125517e-06,0.37838892466449847,4.316231142719324e-06,1.545144290712887,-1.5451419486464122
4.2,0.0015924977572235172,9.579031674163592e-07,0.3783872173934067,8.424054025669854e-06,1.5451959854565949,-1.545191350672286
4.4,0.0019159289114529915,9.67214782969054e-07,0.3783838759281212,1.6672118839911835e-05,1.545190086616566,-1.5451808805166083
4.6,0.0023070026636978413,1.0448672049060785e-06,0.37837725475463574,3.3109596107566884e-05,1.5451277114507724,-1.5451094000555974
4.8,0.0027866555944601147,1.2014989738684534e-06,0.37836408274395295,6.580734755247678e-05,1.545009180817673,-1.5449727478389732
5.0,0.003397527094999767,1.4594022607801922e-06,0.3783378587273429,0.00013081814413444678,1.5448350357538574,-1.5447625662727433
5.2,0.004243059383226677,1.8582634035979595e-06,0.37828565699295713,0.00026005155988279005,1.5446080872078987,-1.54446397817371
5.4,0.00559982865145951,2.4709923943655454e-06,0.37818194590097826,0.0005166757757297251,1.5443376677490148,-1.5440515289014412
5.6,0.008150618559967914,3.457026419869299e-06,0.3779764491543373,0.001025548219634045,1.5440472823466886,-1.5434806513755004
5.8,0.013345242265600571,5.251313604959229e-06,0.3775709157787806,0.0020323247205035664,1.543790063369101,-1.5426728120660085
6.0,0.023877840850076333,9.26601228075826e-06,0.37677601136995625,0.004016522829259163,1.5436769821014742,-1.5414900090041794
6.2,0.044492330138441685,2.0486278877000313e-05,0.37523611466557877,0.007899319887927761,1.5439247932535174,-1.5396962722227796
6.4,0.08333357463086895,5.6743674904787454e-05,0.37230963389117716,0.015404136521248368,1.5449386163539738,-1.5369200718008402
6.6,0.15346458445498362,0.00018018100467328177,0.366898303569226,0.029641921198399555,1.5474733373354232,-1.5326702555762934
6.8,0.27509943934417685,0.0005968198083893261,0.3572431518519257,0.05595800720742364,1.5530659774753772,-1.5265838153129063
7.0,0.4585077012434937,0.0019760065559432847,0.34031172163854073,0.10348476935507422,1.5660009717546899,-1.5187590535056033
7.2,0.6351845920333118,0.006283233198581113,0.31141882990730957,0.18372878143013469,1.5982705447986905,-1.509490322435765
7.4,0.9636257393511112,0.017046505139353945,0.26649970419701147,0.28893769972436295,1.673570495482592,-1.4890322965015288
7.6,1.8291004304178105,0.04363178382809185,0.19195438944940788,0.40286186447635675,1.8317377810696474,-1.4015560942836698
7.8,2.1908916275754646,0.1511215326367996,0.0648887738137262,0.6594836712302635,2.1072533564274685,-1.1176079133054824
