kernel,root_index,q,row_normalized,max_jacobian_real_part,stable,min_jacobian_real_part
exponential,1,-0.9065249662811583,True,2.203349978746605,False,-4.940019610419915
exponential,1,-0.9065249662811583,False,23.196901801636468,False,-33.29602667200326
exponential,2,0.023905191282460915,True,-0.9144234351873837,True,-4.922801952378254
exponential,2,0.023905191282460915,False,-23.681908175957517,True,-147.91553029972368
exponential,3,0.800751966000055,True,1.3058117599440422,False,-3.1182087663295652
exponential,3,0.800751966000055,False,20.377155479422978,False,-48.59360022187688
sigmoid,1,-0.6802829104580759,True,3.053443571349179,False,-2.8021946660065664
sigmoid,1,-0.6802829104580759,False,2.76128867851555,False,-2.2457297444813897
softplus,1,-0.7865889574589839,True,2.343020031270182,False,-4.372944137597591
softplus,1,-0.7865889574589839,False,5.0204729323821695,False,-6.815703384724648
polynomial4,1,-0.8418342492614899,True,2.2173383707746464,False,-4.858882273199799
polynomial4,1,-0.8418342492614899,False,8.575258165555155,False,-12.557773247159773
polynomial4,2,0.23065387272593996,True,-0.18302171713612836,True,-4.366222197765813
polynomial4,2,0.23065387272593996,False,-0.7003895648355822,True,-24.318374122544213
polynomial4,3,0.5475094041518138,True,0.37382218487369545,False,-3.6488405248595717
polynomial4,3,0.5475094041518138,False,2.0528902520133845,False,-19.926412440628305
