method,seed,depth,task,auc,average_precision,iou_top7,centroid_error,relative_residual
richardson,17,4,0,0.11512741373852484,0.027823662361540248,0.0,0.44041410088539124,0.8689677119255066
richardson,17,4,1,0.13430669398907102,0.026022194393975517,0.0,0.33885157108306885,0.8773035407066345
richardson,17,4,2,0.1618084645384949,0.01959999256845415,0.0,0.5375243425369263,0.8950518369674683
richardson,17,4,3,0.07856583361659991,0.03723757426551325,0.0,0.4184590280056,0.8460037112236023
richardson,17,4,4,0.08080207455857819,0.03307013238993744,0.0,0.9160212874412537,0.8603611588478088
richardson,17,4,5,0.08257261410788382,0.03155584327375723,0.0,0.586943507194519,0.8579621911048889
richardson,17,4,6,0.12881873727087575,0.022777385751664467,0.0,0.6261839866638184,0.8784872889518738
richardson,17,4,7,0.17233372477847764,0.021415807461682104,0.0,0.4783433973789215,0.8940051198005676
richardson,17,4,8,0.08500435919790757,0.032530112104005506,0.0,0.2882549464702606,0.8564515113830566
richardson,17,4,9,0.06275630420614628,0.05830756918708938,0.0,1.0477296113967896,0.7984726428985596
richardson,17,4,10,0.05836682367515088,0.03811338520031358,0.0,0.48497703671455383,0.8401395678520203
richardson,17,4,11,0.06983099725035209,0.03254405511918299,0.0,0.6198777556419373,0.8541435599327087
richardson,17,4,12,0.11701095916981864,0.02265908455149734,0.0,0.681988537311554,0.8794228434562683
richardson,17,4,13,0.045297630154879635,0.04807957801689612,0.0,0.4751870930194855,0.8110825419425964
richardson,17,4,14,0.08169129720853861,0.03051237996064548,0.0,0.24581122398376465,0.8585541844367981
richardson,17,4,15,0.1767881241565452,0.020358944532097172,0.0,0.24040961265563965,0.8974958658218384
richardson,17,4,16,0.07394923650477504,0.03197811711998117,0.0,0.5523754358291626,0.8542479276657104
richardson,17,4,17,0.06470780891779346,0.03504986247217825,0.0,0.8873353004455566,0.8527708649635315
richardson,17,4,18,0.10705523899968344,0.02771364492295209,0.0,0.7510145902633667,0.8705459833145142
richardson,17,4,19,0.06596615063768348,0.03410208075339878,0.0,0.8681856989860535,0.8503432869911194
richardson,17,4,20,0.12639146567717996,0.02377207125788699,0.0,0.30422699451446533,0.8767650723457336
richardson,17,4,21,0.043774055401962386,0.04053849359125838,0.0,0.7978054881095886,0.8352813720703125
richardson,17,4,22,0.15643911388592238,0.020538146820801198,0.0,0.36855798959732056,0.8891462087631226
richardson,17,4,23,0.12769016697588126,0.023837504440453957,0.0,0.5161278247833252,0.8775097131729126
richardson,17,4,24,0.046942349137931036,0.05050324572277454,0.0,0.5499506592750549,0.8096475601196289
richardson,17,4,25,0.11994098286233118,0.024227089216418855,0.0,0.5185701251029968,0.8766335248947144
richardson,17,4,26,0.037132728474433704,0.04627709120346292,0.0,0.45521530508995056,0.8183191418647766
richardson,17,4,27,0.08220441284957412,0.03258999722747159,0.0,0.5015090107917786,0.8552646636962891
richardson,17,4,28,0.07187239330643652,0.032005795352278786,0.0,0.7901925444602966,0.8558552265167236
richardson,17,4,29,0.158878767431399,0.02002192534339175,0.0,0.4062499701976776,0.8904805183410645
richardson,17,4,30,0.039857248860464295,0.04738239169289691,0.0,0.9082131385803223,0.8143981099128723
richardson,17,4,31,0.05417015050167224,0.05523487029231295,0.0,0.5097156167030334,0.7997473478317261
richardson,17,4,32,0.15358658164404632,0.022677184162975074,0.0,0.32068556547164917,0.8883448243141174
