method,seed,depth,task,auc,average_precision,iou_top7,centroid_error,relative_residual
richardson,17,4,33,0.045110565110565104,0.05195505613357349,0.0,0.5764773488044739,0.8058170676231384
richardson,17,4,34,0.16167557932263815,0.019029177426147816,0.0,0.4287225008010864,0.8963833451271057
richardson,17,4,35,0.09686315063771113,0.030139937956068022,0.0,0.22996102273464203,0.8638975024223328
richardson,17,4,36,0.15548172757475087,0.019489776261188283,0.0,0.4809817969799042,0.8955597281455994
richardson,17,4,37,0.0954666459398014,0.028081829141152675,0.0,0.5771035552024841,0.865783154964447
richardson,17,4,38,0.1315932958774862,0.023374588284718074,0.0,0.6107159852981567,0.8790455460548401
richardson,17,4,39,0.05240888354138467,0.05788709812654676,0.0,0.7579700946807861,0.7961544990539551
richardson,17,4,40,0.13027918556059392,0.02490235910091122,0.0,0.15279695391654968,0.8773847222328186
richardson,17,4,41,0.049619319533666426,0.04725607581316803,0.0,0.7290179133415222,0.8174094557762146
richardson,17,4,42,0.058116202455825106,0.036578972464391464,0.0,0.8981030583381653,0.842223048210144
richardson,17,4,43,0.12238618524332812,0.026422183629992286,0.0,0.7918605208396912,0.8793255686759949
richardson,17,4,44,0.08438106641992779,0.029986191972785473,0.0,0.31289464235305786,0.8597725629806519
richardson,17,4,45,0.10216640502354787,0.026072309107745332,0.0,0.5605744123458862,0.8692102432250977
richardson,17,4,46,0.08437868949232585,0.02952897815071773,0.0,0.5896919965744019,0.8633885979652405
richardson,17,4,47,0.050946142649199416,0.057153479784842406,0.0,0.9609551429748535,0.7990249991416931
richardson,17,4,48,0.07814422840265814,0.035603033707650666,0.0,0.6383249759674072,0.8520536422729492
richardson,17,4,49,0.057350655118809685,0.0396595128061563,0.0,0.45401546359062195,0.8355081677436829
richardson,17,4,50,0.062233437101441316,0.0402441727432031,0.0,0.09520122408866882,0.8370875716209412
richardson,17,4,51,0.0922742030696576,0.029603991981146254,0.0,0.6316445469856262,0.8637727499008179
richardson,17,4,52,0.14814276015905345,0.023093130632291757,0.0,0.40024814009666443,0.8824974298477173
richardson,17,4,53,0.04790896159317212,0.038413997739175906,0.0,0.7097117900848389,0.8406948447227478
richardson,17,4,54,0.07678303705290211,0.030467303607983397,0.0,0.7558920383453369,0.8590927124023438
richardson,17,4,55,0.04919145231297133,0.04333461005388616,0.0,0.4110538959503174,0.823659360408783
richardson,17,4,56,0.04467735539062942,0.049885646355285466,0.0,0.9123934507369995,0.8135896921157837
richardson,17,4,57,0.11534500514933062,0.02834662183116809,0.0,0.5300723910331726,0.8684601783752441
richardson,17,4,58,0.07916974046006302,0.03257615187124797,0.0,0.6029027104377747,0.8537993431091309
richardson,17,4,59,0.11430890538033396,0.02361877742669218,0.0,0.5498837828636169,0.8771457672119141
richardson,17,4,60,0.040521540587634436,0.04640276901227436,0.0,0.9948205947875977,0.8157398700714111
richardson,17,4,61,0.1569867740080506,0.020540687605830606,0.0,0.37482234835624695,0.8898833394050598
richardson,17,4,62,0.03755650725672138,0.04681367927296274,0.0,0.4949474632740021,0.8170284032821655
richardson,17,4,63,0.08854501320768186,0.030505419435537744,0.0,0.5318673253059387,0.8596224188804626
richardson,17,4,64,0.1292463788730057,0.02326197526500488,0.0,0.15886767208576202,0.8796314597129822
richardson,17,4,65,0.15786303020345574,0.020581836923282727,0.0,0.45352575182914734,0.8912383317947388
richardson,17,4,66,0.03820658508158508,0.04568362623101538,0.0,0.9536582231521606,0.8183128833770752
richardson,17,4,67,0.14166909126175928,0.02303590234661292,0.0,0.6222788095474243,0.8859389424324036
richardson,17,4,68,0.07240293809024136,0.03717716898917055,0.0,0.7589528560638428,0.8452894687652588
richardson,17,4,69,0.04926545086119554,0.04376665141432642,0.0,0.5544822216033936,0.8260754942893982
richardson,17,4,70,0.06402572297290735,0.06075309407257059,0.0,0.4353407919406891,0.7887134552001953
richardson,17,4,71,0.041445843513124095,0.044225205825915055,0.0,1.1005488634109497,0.8258764743804932
richardson,17,4,72,0.047382076474841564,0.05384811949659881,0.0,0.998293936252594,0.8057385683059692
richardson,17,4,73,0.08318907032236936,0.03518688124293819,0.0,0.4568262994289398,0.8483529686927795
richardson,17,4,74,0.03975760252211141,0.0452774246393479,0.0,1.1730490922927856,0.8212927579879761
richardson,17,4,75,0.07871576187801099,0.0319886792787913,0.0,0.4654458165168762,0.8559110760688782
richardson,17,4,76,0.04245797590122478,0.04479708634221488,0.0,1.0337110757827759,0.8219694495201111
richardson,17,4,77,0.060426742532005695,0.03863043114956661,0.0,0.7896975874900818,0.8431842923164368
richardson,17,4,78,0.045264812706673166,0.040588181610568104,0.0,0.8767210245132446,0.8362286686897278
richardson,17,4,79,0.040491998354074216,0.05073515119572002,0.0,1.046243667602539,0.8110628128051758
richardson,17,4,80,0.11358102125147579,0.029869394063694356,0.0,0.5590177774429321,0.8683930039405823
richardson,17,4,81,0.06711228561065341,0.056545676718069676,0.0,1.0068367719650269,0.799217164516449
richardson,17,4,82,0.06222084045805482,0.056067762689656096,0.0,0.8866072297096252,0.7946729063987732
richardson,17,4,83,0.03721831720212465,0.045135017893685354,0.0,1.0017234086990356,0.8240435719490051
richardson,17,4,84,0.11442274751627271,0.02727325407707112,0.0,0.4332391917705536,0.8680798411369324
richardson,17,4,85,0.0401730457249294,0.046290752870477375,0.0,0.9263618588447571,0.8178361058235168
richardson,17,4,86,0.059075391180654344,0.03859837217199291,0.0,0.8475505709648132,0.8399747014045715
richardson,17,4,87,0.08311915470836011,0.0305245110306695,0.0,0.41329750418663025,0.857928991317749
richardson,17,4,88,0.06391004715270221,0.05636538436359226,0.0,0.5981007814407349,0.7983742952346802
richardson,17,4,89,0.13528543865622517,0.024487466343351992,0.0,0.2726304233074188,0.878548264503479
richardson,17,4,90,0.11892680589734098,0.025246169293938858,0.0,0.4349595010280609,0.8727989792823792
richardson,17,4,91,0.0492052825738148,0.04009437375547907,0.0,0.8541631102561951,0.8348954319953918
richardson,17,4,92,0.04183815143551346,0.04479460636888186,0.0,0.904238760471344,0.821607768535614
richardson,17,4,93,0.07364438467109055,0.03719124956361726,0.0,0.5733811259269714,0.8435729146003723
richardson,17,4,94,0.12429559426229507,0.025838526119262132,0.0,0.27874264121055603,0.8720889091491699
richardson,17,4,95,0.11947308132875142,0.02889241138176254,0.0,0.40608128905296326,0.8684624433517456
richardson,17,4,96,0.051266339869281044,0.037512561319451534,0.0,0.8482437133789062,0.8437551259994507
richardson,17,4,97,0.08264462809917354,0.029581225339465913,0.0,0.7266585230827332,0.8610992431640625
richardson,17,4,98,0.05081364041062827,0.05338058584549078,0.0,0.349887877702713,0.8013578057289124
richardson,17,4,99,0.04132778861369742,0.04526685616494583,0.0,0.7718024253845215,0.8212119936943054
richardson,17,4,100,0.04147085497567813,0.04751753138224686,0.0,0.7948676347732544,0.8127642869949341
richardson,17,4,101,0.1206036716827457,0.025276561712785278,0.0,0.3909938633441925,0.8745842576026917
richardson,17,4,102,0.05349928876244665,0.03861777807246216,0.0,0.7140341401100159,0.8394253253936768
richardson,17,4,103,0.04524761270264269,0.03950842295226916,0.0,0.8369815945625305,0.8358796834945679
richardson,17,4,104,0.16766614638955066,0.020770778390884634,0.0,0.6603250503540039,0.8946883082389832
richardson,17,4,105,0.05813127090301002,0.05542733631653138,0.0,1.0055135488510132,0.8006424903869629
richardson,17,4,106,0.07281623486003048,0.03400535272813751,0.0,0.5899388790130615,0.8506070375442505
richardson,17,4,107,0.05357212992419779,0.04238456127497739,0.0,0.9725000262260437,0.8285061120986938
richardson,17,4,108,0.12841666074010857,0.02328859946655909,0.0,0.5701960921287537,0.8789989948272705
richardson,17,4,109,0.055830152032683676,0.04129762453172675,0.0,0.44608330726623535,0.8326115012168884
richardson,17,4,110,0.06678921568627451,0.03757028048722789,0.0,0.46258553862571716,0.8423206210136414
richardson,17,4,111,0.08558091286307053,0.031541069364245035,0.0,0.5515693426132202,0.8615868091583252
richardson,17,4,112,0.041381252960833774,0.04316132796938461,0.0,0.9103782176971436,0.8267543315887451
richardson,17,4,113,0.05677129854110842,0.05423713146881039,0.0,0.3273116946220398,0.7985244393348694
richardson,17,4,114,0.06083926031294452,0.03865019724143904,0.0,0.7590965032577515,0.8378561735153198
richardson,17,4,115,0.056544701306094076,0.054812173030981855,0.0,1.0866713523864746,0.804671585559845
richardson,17,4,116,0.06895940174098104,0.03709202909094508,0.0,0.8676919341087341,0.8482174873352051
richardson,17,4,117,0.042712827932345744,0.04308114383563964,0.0,0.5697661638259888,0.825751543045044
richardson,17,4,118,0.057098150782361315,0.03849562222316565,0.0,0.6238159537315369,0.8417234420776367
richardson,17,4,119,0.08592132505175984,0.030548647412941634,0.0,0.7801384329795837,0.8637115359306335
richardson,17,4,120,0.04828828828828829,0.052175854963787585,0.0,0.656406581401825,0.8028742074966431
richardson,17,4,121,0.09518900343642613,0.028583720619027465,0.0,0.4115986227989197,0.8635522127151489
richardson,17,4,122,0.05695820161573586,0.039132532786206986,0.0,0.6626420617103577,0.8381352424621582
richardson,17,4,123,0.07222962469464801,0.03973016718151352,0.0,0.575213611125946,0.8404368758201599
richardson,17,4,124,0.16067043877442083,0.021177251121967864,0.0,0.6267340779304504,0.8931787014007568
richardson,17,4,125,0.13600265509802525,0.023490546625407734,0.0,0.7194554805755615,0.883094072341919
richardson,17,4,126,0.12874934589220302,0.026478153124711416,0.0,0.5913428068161011,0.873832106590271
richardson,17,4,127,0.11319586748633881,0.02570996653817699,0.0,0.6421647071838379,0.8735637068748474
richardson,17,4,128,0.14723069105691058,0.021994493156049365,0.0,0.2702323794364929,0.8865046501159668
richardson,17,4,129,0.12959183673469388,0.02384552397366402,0.0,0.37639638781547546,0.8776558637619019
richardson,17,4,130,0.1562133020177218,0.021134944589418225,0.0,0.4355343282222748,0.8912493586540222
richardson,17,4,131,0.10303030303030303,0.024011037051371056,0.0,0.7790802717208862,0.8756550550460815
richardson,17,4,132,0.053800317796610174,0.041700181276595166,0.0,0.6121589541435242,0.8320683836936951
richardson,17,4,133,0.1257519010327999,0.02434859656005228,0.0,0.6978638172149658,0.8778300881385803
richardson,17,4,134,0.17777215474583896,0.020405846536393987,0.0,0.3877447247505188,0.8995060324668884
richardson,17,4,135,0.11365777080062793,0.02623739695532017,0.0,0.5494668483734131,0.8712157011032104
richardson,17,4,136,0.13815348733344912,0.022402727352052003,0.0,0.5271302461624146,0.881761908531189
richardson,17,4,137,0.0832562274351857,0.030041231684252906,0.0,0.6723307967185974,0.8598312139511108
richardson,17,4,138,0.09764518247490384,0.029154926941191088,0.0,0.6624341011047363,0.8636782765388489
richardson,17,4,139,0.05784724791384059,0.05656092776697806,0.0,0.9198978543281555,0.7979797720909119
richardson,17,4,140,0.04404504782474544,0.051352427651102525,0.0,0.7013484835624695,0.8064373731613159
richardson,17,4,141,0.07947591145833333,0.03347221809803642,0.0,0.3777007460594177,0.8545752167701721
richardson,17,4,142,0.04817629179331308,0.043819167646509026,0.0,0.7978757619857788,0.8229169845581055
richardson,17,4,143,0.12406570841889117,0.026880726790976757,0.0,0.6368551850318909,0.8734841346740723
richardson,17,4,144,0.09576174112256586,0.02859667330143844,0.0,0.35721829533576965,0.8642571568489075
richardson,17,4,145,0.13571428571428573,0.02392062316628516,0.0,0.22383679449558258,0.8788115978240967
richardson,17,4,146,0.10096038676800453,0.025085274549512857,0.0,0.7211645841598511,0.8741602301597595
richardson,17,4,147,0.12239583333333334,0.025844008223866604,0.0,0.49585065245628357,0.8734250068664551
richardson,17,4,148,0.05715783168613357,0.03653390503495053,0.0,0.9075272679328918,0.8454945683479309
richardson,17,4,149,0.04793974410873539,0.0455419518908143,0.0,1.0435718297958374,0.816682755947113
richardson,17,4,150,0.10171930342384888,0.029687680264228154,0.0,0.6893644332885742,0.8669770956039429
richardson,17,4,151,0.15900039047247172,0.021723559529141432,0.0,0.41267549991607666,0.8904204964637756
richardson,17,4,152,0.049264888784153534,0.0422534460204414,0.0,1.0902677774429321,0.8307017683982849
richardson,17,4,153,0.06966031043936444,0.05778324887411246,0.0,0.692362904548645,0.7929562926292419
richardson,17,4,154,0.046764332377623286,0.042217049133165305,0.0,0.2741629183292389,0.8278219699859619
richardson,17,4,155,0.05352077938093477,0.05621943842818135,0.0,0.9758481979370117,0.8005484342575073
richardson,17,4,156,0.03976697061803445,0.0435216169085414,0.0,0.49866122007369995,0.8237942457199097
richardson,17,4,157,0.13048002409704537,0.020181402837491248,0.0,0.5623168349266052,0.8878706693649292
richardson,17,4,158,0.06915153037849342,0.03713116059197014,0.0,0.8914691805839539,0.848026692867279
richardson,17,4,159,0.062481391688996656,0.054629530761252015,0.0,0.6871383190155029,0.8040585517883301
richardson,17,4,160,0.16180618308277883,0.020661868714973327,0.0,0.5540531277656555,0.893633246421814
richardson,17,4,161,0.04901515151515153,0.052860456184106556,0.0,1.0406607389450073,0.8087709546089172
richardson,17,4,162,0.048860580949442414,0.05152528713167145,0.0,0.4845544695854187,0.8052367568016052
richardson,17,4,163,0.09562945626734885,0.030151056130779022,0.0,0.6497081518173218,0.8615355491638184
richardson,17,4,164,0.130709921443119,0.022804306116998845,0.0,0.29298102855682373,0.8823615908622742
richardson,17,4,165,0.04138488367147293,0.05353170725645433,0.0,0.9635903835296631,0.8044866919517517
richardson,17,4,166,0.112217659137577,0.026714743122249193,0.0,0.4117163419723511,0.869232177734375
richardson,17,4,167,0.1715587044534413,0.020328155785450868,0.0,0.43363726139068604,0.8983219861984253
richardson,17,4,168,0.050166008895571004,0.04448567526876579,0.0,0.9541548490524292,0.8199479579925537
richardson,17,4,169,0.05910629012365203,0.05500888241393465,0.0,0.8156961798667908,0.8003911375999451
richardson,17,4,170,0.12825642393527162,0.02491668358329456,0.0,0.371810644865036,0.875218391418457
richardson,17,4,171,0.15293505141220876,0.021615523226727624,0.0,0.5754321217536926,0.8900324702262878
richardson,17,4,172,0.0702599648256802,0.03714096838204265,0.0,0.31885409355163574,0.845166027545929
richardson,17,4,173,0.041945005437315504,0.042587195115757134,0.0,0.7723598480224609,0.8255088925361633
richardson,17,4,174,0.05475260416666667,0.03345185365451723,0.0,0.7287377119064331,0.8489400744438171
richardson,17,4,175,0.09305321214100402,0.030162053352984053,0.0,0.5275040864944458,0.8626341819763184
richardson,17,4,176,0.11482993197278911,0.026271626392810922,0.0,0.2590979039669037,0.8732126951217651
richardson,17,4,177,0.07112630208333333,0.03348512600632919,0.0,0.8296143412590027,0.8599955439567566
richardson,17,4,178,0.06641209943096735,0.036728494645101466,0.0,0.7022391557693481,0.8430516123771667
richardson,17,4,179,0.056013616119202185,0.05699111371200063,0.0,0.7182761430740356,0.7949602007865906
richardson,17,4,180,0.044495601596992854,0.05095011014820916,0.0,0.8239706754684448,0.8073581457138062
richardson,17,4,181,0.14545145960624575,0.023064593283946652,0.0,0.19372670352458954,0.8852826356887817
richardson,17,4,182,0.03883495145631068,0.05066142090669288,0.0,1.024477481842041,0.8117337822914124
richardson,17,4,183,0.046450209725027176,0.042731261453231445,0.0,0.9794184565544128,0.8258318305015564
richardson,17,4,184,0.06201855742296919,0.03752508949919796,0.0,0.2768222987651825,0.8435457944869995
richardson,17,4,185,0.058791363078787524,0.03708280059128878,0.0,0.625458836555481,0.8429683446884155
richardson,17,4,186,0.11854209445585215,0.02678363257293128,0.0,0.2658023536205292,0.8709856867790222
richardson,17,4,187,0.04304572167522374,0.04321635097875843,0.0,1.0735690593719482,0.8262248039245605
richardson,17,4,188,0.1206275720164609,0.027907756348306886,0.0,0.3425164222717285,0.8711692690849304
richardson,17,4,189,0.03934780497280498,0.045838065276136,0.0,1.0012474060058594,0.8198095560073853
richardson,17,4,190,0.13913187777066588,0.023449848172782978,0.0,0.41120263934135437,0.8785507082939148
richardson,17,4,191,0.08434244791666666,0.03358702176640546,0.0,0.5883899331092834,0.8574169874191284
richardson,17,8,0,0.12082541943653055,0.02806819262233704,0.0,0.4874662458896637,0.843774139881134
richardson,17,8,1,0.13484033469945353,0.026056742200738746,0.0,0.34985849261283875,0.8525562882423401
richardson,17,8,2,0.16371515239058212,0.019671603287237664,0.0,0.5004155039787292,0.8629395961761475
richardson,17,8,3,0.13092827690170403,0.03894469433955811,0.0,0.5574085712432861,0.8153634667396545
richardson,17,8,4,0.1046198569611681,0.03384581507280596,0.0,1.025579810142517,0.8340060114860535
richardson,17,8,5,0.09171853388658367,0.03192121622157194,0.0,0.6276592016220093,0.8341184854507446
richardson,17,8,6,0.12910968868199013,0.022865349790218686,0.0,0.6331743001937866,0.8523836731910706
richardson,17,8,7,0.17286751361161526,0.02143897094444381,0.0,0.569273054599762,0.8623784184455872
richardson,17,8,8,0.09581852323787807,0.03297702441308736,0.0,0.37205976247787476,0.8308865427970886
richardson,17,8,9,0.19601945154659847,0.06571223040398293,0.0,0.978264331817627,0.7627421021461487
richardson,17,8,10,0.12968324618642235,0.040664573366214915,0.0,0.6300849318504333,0.8105627298355103
richardson,17,8,11,0.08589296492522298,0.03303185019804213,0.0,0.8359566330909729,0.8312743902206421
richardson,17,8,12,0.12360585782174377,0.022860037505993223,0.0,0.7101144194602966,0.8534943461418152
richardson,17,8,13,0.1951156932263482,0.055274734025106534,0.0,0.20989499986171722,0.7747198939323425
richardson,17,8,14,0.08981223673877346,0.03087502112861304,0.0,0.3355279862880707,0.8365179300308228
richardson,17,8,15,0.17827822762033288,0.02040408257710144,0.0,0.2627580165863037,0.863990068435669
richardson,17,8,16,0.09083635496995388,0.032583189171068595,0.0,0.7221599817276001,0.8294932246208191
richardson,17,8,17,0.10399413590355433,0.036262229071879544,0.0,0.9402105212211609,0.8264188170433044
richardson,17,8,18,0.10832146248812917,0.027864972020585736,0.0,0.7483512759208679,0.8468936085700989
richardson,17,8,19,0.10079409641453438,0.03509000771641597,0.0,1.0329583883285522,0.8254878520965576
richardson,17,8,20,0.12792207792207794,0.023890079890002244,0.0,0.3027227222919464,0.850503146648407
richardson,17,8,21,0.13812544045102185,0.04412073570942459,0.0,0.8498913645744324,0.8054244518280029
richardson,17,8,22,0.15550809167830446,0.020557022199579833,0.0,0.29246821999549866,0.8587103486061096
richardson,17,8,23,0.1281539888682746,0.02392091818331915,0.0,0.5370984077453613,0.8525786399841309
richardson,17,8,24,0.19777074353448276,0.05813286479930052,0.0,0.6236522793769836,0.7742217183113098
richardson,17,8,25,0.12375439791170129,0.024433103694099848,0.0,0.4868149161338806,0.8510801196098328
richardson,17,8,26,0.18624046145526646,0.05334356761221622,0.0,0.4427768290042877,0.784461498260498
richardson,17,8,27,0.09878613104419554,0.03320940409853822,0.0,0.3461381793022156,0.8297688961029053
richardson,17,8,28,0.09308343121733653,0.0326102083117882,0.0,0.977446973323822,0.8321084976196289
richardson,17,8,29,0.15837269455690509,0.02006591207843917,0.0,0.46455708146095276,0.8600666522979736
richardson,17,8,30,0.19219579991284172,0.054674836138416366,0.0,0.7425137162208557,0.7794579863548279
richardson,17,8,31,0.19845317725752507,0.06270168251070084,0.0,0.3849945068359375,0.7631298303604126
richardson,17,8,32,0.15596853832220925,0.02274168180661202,0.0,0.30041229724884033,0.8581308126449585
richardson,17,8,33,0.18697242697242697,0.05920471116921815,0.0,0.5090166330337524,0.7702080607414246
richardson,17,8,34,0.16556743909685087,0.01913091002275846,0.0,0.46671876311302185,0.8634222745895386
richardson,17,8,35,0.10199749632613074,0.030423021398897878,0.0,0.2571680545806885,0.8405921459197998
richardson,17,8,36,0.1579950888343204,0.019598069810084492,0.0,0.46252474188804626,0.8633588552474976
richardson,17,8,37,0.09356236519441152,0.028233962167872096,0.0,0.670952558517456,0.8443225026130676
richardson,17,8,38,0.13237560154564637,0.023481504848591923,0.0,0.6037223935127258,0.8525987267494202
richardson,17,8,39,0.18118012733744424,0.0650690831548672,0.0,0.4664185643196106,0.7601847052574158
richardson,17,8,40,0.1288788121276785,0.02492859688252154,0.0,0.20393148064613342,0.8516836166381836
richardson,17,8,41,0.20562693314299313,0.05478586215084973,0.0,0.7577550411224365,0.782306432723999
richardson,17,8,42,0.12842168313866428,0.03888096849495714,0.0,0.9666275382041931,0.8141031861305237
richardson,17,8,43,0.12257456828885402,0.02648932617489694,0.0,0.9036198854446411,0.8545374274253845
richardson,17,8,44,0.08793700901685444,0.030247640354669193,0.0,0.3518085181713104,0.8382226824760437
richardson,17,8,45,0.10461538461538462,0.026272210579665268,0.0,0.5460421442985535,0.8463383913040161
richardson,17,8,46,0.08945174144037779,0.029855834179640005,0.0,0.6013996005058289,0.8409203290939331
richardson,17,8,47,0.1917252951641598,0.06487956299008,0.0,0.883003830909729,0.763237714767456
richardson,17,8,48,0.1145089835097219,0.03678771582516437,0.0,0.80503910779953,0.8233705759048462
richardson,17,8,49,0.1546746613368865,0.04341359033022997,0.0,0.7001040577888489,0.8036524057388306
richardson,17,8,50,0.14753356464021722,0.04344956851568265,0.0,0.04536032676696777,0.8045182824134827
richardson,17,8,51,0.09570543093270366,0.029855861168306953,0.0,0.6863582134246826,0.8406291007995605
richardson,17,8,52,0.14642129764329356,0.02308552374429153,0.0,0.456473708152771,0.8551146984100342
richardson,17,8,53,0.13088193456614508,0.04144427973196387,0.0,0.8395100235939026,0.8112683296203613
richardson,17,8,54,0.08574284286428216,0.030815422834566526,0.0,0.8680453896522522,0.8369563817977905
richardson,17,8,55,0.18238736028065505,0.049212703334030924,0.0,0.47839075326919556,0.7897821068763733
richardson,17,8,56,0.20448699790380148,0.057866621903817854,0.0,0.7884851098060608,0.7775869965553284
richardson,17,8,57,0.12068865009812876,0.028558965146603946,0.0,0.5409510135650635,0.843453586101532
richardson,17,8,58,0.10400040238749915,0.03332078014625549,0.0,0.8449853658676147,0.8276110887527466
richardson,17,8,59,0.11655844155844154,0.023765477723065007,0.0,0.5976271033287048,0.8530582785606384
richardson,17,8,60,0.18574776182178693,0.053326889662484105,0.0,0.6154919266700745,0.7817537784576416
richardson,17,8,61,0.15901311645992497,0.02063128123879274,0.0,0.4458739161491394,0.8587893843650818
richardson,17,8,62,0.18177492267428028,0.05351091235703942,0.0,0.43030866980552673,0.7825311422348022
richardson,17,8,63,0.09204326408224461,0.030785669227707806,0.0,0.7397514581680298,0.8358296155929565
richardson,17,8,64,0.13064504658274662,0.023397044251121914,0.0,0.17212249338626862,0.8522446155548096
richardson,17,8,65,0.15912264848435062,0.020628056615674163,0.0,0.4545973837375641,0.8603138327598572
richardson,17,8,66,0.18722076534576532,0.05277405524444614,0.0,0.5172513723373413,0.7843756079673767
richardson,17,8,67,0.14227524003491418,0.023126573377505812,0.0,0.5927269458770752,0.8577147722244263
richardson,17,8,68,0.15586066240042565,0.040174783758756084,0.0,0.7066972255706787,0.8127034902572632
richardson,17,8,69,0.1730243161094225,0.049107682250065926,0.0,0.25604066252708435,0.7916712760925293
richardson,17,8,70,0.19699251041838686,0.0679548948352348,0.0,0.3188084065914154,0.7516127228736877
richardson,17,8,71,0.18993923447973438,0.05101433255693443,0.0,0.9667883515357971,0.7928064465522766
richardson,17,8,72,0.19720556335332395,0.061550620872959316,0.0,0.8317638635635376,0.7706729769706726
richardson,17,8,73,0.12732575367675728,0.03659846160203133,0.0,0.6636985540390015,0.8182529807090759
richardson,17,8,74,0.19146456654276917,0.05226257618812843,0.0,0.9505301713943481,0.786986768245697
richardson,17,8,75,0.0884530922833359,0.03243098929559496,0.0,0.417422354221344,0.8323736190795898
richardson,17,8,76,0.1891332374671493,0.05152126201653654,0.0,0.8381642699241638,0.7888515591621399
richardson,17,8,77,0.16422475106685633,0.04252697132556528,0.0,0.795609712600708,0.8099949955940247
richardson,17,8,78,0.14786957228817693,0.04452699652334398,0.0,0.9577712416648865,0.806704044342041
richardson,17,8,79,0.19565386625740946,0.05863987748275592,0.0,0.8917588591575623,0.7747469544410706
richardson,17,8,80,0.11931818181818182,0.03007151231139544,0.0,0.7725836038589478,0.843295156955719
richardson,17,8,81,0.19785481113011036,0.0636171830798242,0.0,0.8951597213745117,0.7641279101371765
richardson,17,8,82,0.1971812010985025,0.06350568322287077,0.0,0.6790130138397217,0.7577007412910461
richardson,17,8,83,0.1818717108894859,0.05184419089638346,0.0,0.8727306127548218,0.7914870977401733
richardson,17,8,84,0.11508776172339441,0.027440409744804103,0.0,0.5915080904960632,0.8439516425132751
richardson,17,8,85,0.18791083338340445,0.053289318838019975,0.0,0.8897705078125,0.7834415435791016
richardson,17,8,86,0.15163584637268848,0.0420002608001956,0.0,0.9771891832351685,0.8080099821090698
