method,seed,step,loss,ranking_loss,relative_residual,gradient_norm,elapsed_seconds,eta,beta,lower_bound,upper_bound
richardson,17,0,1.2363951206207275,1.117157220840454,0.8154478669166565,0.15489700436592102,0.2855505929910578,0.9576192498207092,0.0,,
richardson,17,50,1.0945873260498047,0.9765209555625916,0.8049206733703613,0.2490181028842926,0.8332614319515415,1.7245216369628906,0.0,,
richardson,17,100,1.0307862758636475,0.9159733653068542,0.7760154008865356,0.04157140478491783,1.3809146519633941,1.9388747215270996,0.0,,
richardson,17,150,1.0423702001571655,0.9271838068962097,0.7793962955474854,0.014938700944185257,1.9322092409711331,1.9465785026550293,0.0,,
richardson,17,200,1.0239418745040894,0.9087915420532227,0.7789576053619385,0.009795629419386387,2.4775460309465416,1.948232889175415,0.0,,
richardson,17,250,1.0570119619369507,0.9417765140533447,0.779633641242981,0.006304308772087097,3.0214515539701097,1.9489034414291382,0.0,,
richardson,17,300,1.153220772743225,1.0334205627441406,0.8206121325492859,0.006311885081231594,3.5581353349843994,1.9492394924163818,0.0,,
richardson,17,350,1.0952435731887817,0.977371871471405,0.8032584190368652,0.004146562423557043,4.0928680609795265,1.949439287185669,0.0,,
richardson,17,400,1.0286754369735718,0.9136484265327454,0.7779924273490906,0.0023151685018092394,4.615127148979809,1.9495716094970703,0.0,,
richardson,17,450,1.0949440002441406,0.9777382016181946,0.7972034215927124,0.002678364748135209,5.154532488959376,1.9496607780456543,0.0,,
richardson,17,500,1.0236294269561768,0.9067614674568176,0.7941582202911377,0.0020153385121375322,5.703211576968897,1.9497261047363281,0.0,,
richardson,17,550,1.0409746170043945,0.9242998957633972,0.7925716638565063,0.001752418465912342,6.25260939297732,1.9497750997543335,0.0,,
richardson,17,600,1.1399288177490234,1.021477222442627,0.8084797859191895,0.0015530204400420189,6.815696187957656,1.9498103857040405,0.0,,
richardson,17,650,1.082939863204956,0.9673948287963867,0.782372236251831,0.0010130577720701694,7.422472783946432,1.9498393535614014,0.0,,
richardson,17,700,1.1365700960159302,1.0182838439941406,0.8068958520889282,0.0012250511208549142,7.96402798499912,1.9498604536056519,0.0,,
richardson,17,750,1.0381345748901367,0.9229446053504944,0.7792086601257324,0.0008324823575094342,8.500809300981928,1.949879765510559,0.0,,
richardson,17,800,1.09590482711792,0.9783329367637634,0.8005023002624512,0.0009276426280848682,9.035618931986392,1.9498932361602783,0.0,,
richardson,17,850,1.0776970386505127,0.9608036875724792,0.7945419549942017,0.0006677557248622179,9.600013744959142,1.9499056339263916,0.0,,
richardson,17,900,1.0454113483428955,0.9295729398727417,0.7851443886756897,0.000559192500077188,10.224911272991449,1.9499157667160034,0.0,,
richardson,17,950,1.0873528718948364,0.9697720408439636,0.8007506132125854,0.0006047056522220373,10.83443314494798,1.9499244689941406,0.0,,
richardson,17,1000,1.1182584762573242,1.0009710788726807,0.7980945110321045,0.00047832963173277676,11.423714608943556,1.9499322175979614,0.0,,
richardson,17,1050,0.986025869846344,0.8709127306938171,0.7784916758537292,0.00047179340617731214,12.040832886996213,1.9499385356903076,0.0,,
richardson,17,1100,1.107182502746582,0.9889076948165894,0.8069767951965332,0.00046798313269391656,12.600395146990195,1.9499435424804688,0.0,,
richardson,17,1150,0.981656551361084,0.8675045967102051,0.7699990272521973,0.00032298790756613016,13.16169507196173,1.949948787689209,0.0,,
richardson,17,1200,1.0298973321914673,0.9138249158859253,0.787094235420227,0.0003865163598675281,13.703180898970459,1.9499530792236328,0.0,,
richardson,17,1250,1.147237777709961,1.0294796228408813,0.8024427890777588,0.0003004731552209705,14.24555698997574,1.9499568939208984,0.0,,
richardson,17,1300,1.074965238571167,0.9582366943359375,0.7930024862289429,0.000301367457723245,14.80004566599382,1.9499601125717163,0.0,,
richardson,17,1350,1.054275393486023,0.9384064078330994,0.7853214740753174,0.00028094829758629203,15.342924930970185,1.9499633312225342,0.0,,
richardson,17,1400,1.1303249597549438,1.013127326965332,0.7973377704620361,0.0002457867085468024,15.88982932997169,1.9499659538269043,0.0,,
richardson,17,1450,1.110661506652832,0.9940914511680603,0.7916055917739868,0.0002146849874407053,16.438421737984754,1.9499683380126953,0.0,,
richardson,17,1500,1.0860047340393066,0.9681125283241272,0.8034795522689819,0.00025371418450959027,16.988337489950936,1.9499702453613281,0.0,,
heavy_ball,17,0,1.2172317504882812,1.0983920097351074,0.8118572235107422,0.16137665510177612,0.018818986020050943,1.0189281702041626,0.04505458101630211,,
heavy_ball,17,50,0.9118907451629639,0.7981268763542175,0.7666637897491455,1.207028865814209,0.6243397209909745,2.3448128700256348,0.3409520387649536,,
heavy_ball,17,100,0.4512787163257599,0.3558359146118164,0.6160352826118469,0.07366809993982315,1.2230132520198822,3.7829227447509766,0.9459840059280396,,
heavy_ball,17,150,0.4555378258228302,0.35744407773017883,0.6413218975067139,0.0985979437828064,1.790288051997777,3.782973289489746,0.9470972418785095,,
heavy_ball,17,200,0.4690217077732086,0.3665776252746582,0.67298823595047,0.007665674667805433,2.378264650993515,3.779257297515869,0.9474573731422424,,
heavy_ball,17,250,0.5401153564453125,0.434152752161026,0.7056993246078491,0.018744297325611115,2.9633989190333523,3.7777047157287598,0.9479122757911682,,
heavy_ball,17,300,0.5580999851226807,0.4524668753147125,0.7021538019180298,0.1468246728181839,3.5395014400128275,3.7778220176696777,0.9482884407043457,,
heavy_ball,17,350,0.5540581941604614,0.4510767161846161,0.6788538694381714,0.13081446290016174,4.117909436987247,3.760971784591675,0.948356568813324,,
heavy_ball,17,400,0.4621877074241638,0.3678654730319977,0.6076431274414062,0.1561049520969391,4.702311287983321,3.784499406814575,0.949017345905304,,
heavy_ball,17,450,0.5734829902648926,0.4675333797931671,0.7058488130569458,0.10642456263303757,5.3222258249879815,3.7738535404205322,0.9489448666572571,,
heavy_ball,17,500,0.474168598651886,0.37014877796173096,0.683980405330658,0.11820539832115173,5.900156126008369,3.7877321243286133,0.9492841362953186,,
heavy_ball,17,550,0.4799514412879944,0.3803318440914154,0.6507627964019775,0.03977994993329048,6.4684145509963855,3.776552438735962,0.949186384677887,,
heavy_ball,17,600,0.6358619332313538,0.5170682072639465,0.8215944766998291,0.07819449156522751,7.034847268019803,3.7810750007629395,0.9493341445922852,,
heavy_ball,17,650,0.6230314373970032,0.517619252204895,0.6985263824462891,0.11011308431625366,7.636692593980115,3.7687034606933594,0.9492926597595215,,
