method,family,noise_rel,n_tasks,auc_mean,auc_ci95,average_precision_mean,average_precision_ci95,iou_top7_mean,iou_top7_ci95,centroid_error_mean,centroid_error_ci95,relative_residual_mean,relative_residual_ci95
chebyshev,ellipse,0.15,576,0.9977102237931498,0.00027935563402509936,0.9802109906114228,0.001768384159738244,0.7195244569177349,0.009309114239689966,0.04978624957921332,0.0043351853070012535,0.5530810518604186,0.004527738741392549
chebyshev,kite,0.15,576,0.9989261154100879,8.547052116876256e-05,0.9886207042409685,0.0006787316107712369,0.7393166241585387,0.009598870847475278,0.03860393846826406,0.0032464445531912036,0.5437679615182182,0.004654255431948688
chebyshev,two_disks,0.15,576,0.9872525508276843,0.0007757717116582692,0.8690781869363161,0.0034670184004991405,0.6203394366721741,0.007000600526611128,0.05052582244894034,0.0037159477907172493,0.5537280964975556,0.0010964393487873383
exact_tikhonov,ellipse,0.15,576,0.9994322312867807,4.9810551257429115e-05,0.9926090807503544,0.0005721474303479769,0.7520518163953742,0.009963352047748807,0.006324673489252595,0.00028447137759645525,1.749005331753829e-05,2.34384283767556e-07
exact_tikhonov,kite,0.15,576,0.998931819519698,9.257258398716011e-05,0.9889824932352648,0.0007699008764739628,0.736291747485431,0.009299677271186258,0.007038509388293177,0.0003181852129930425,1.6938194519866556e-05,2.486129362951026e-07
exact_tikhonov,two_disks,0.15,576,0.996098900224512,9.617893101210367e-05,0.9118224163782835,0.002679149462993981,0.6969043544247135,0.00694624999835105,0.00897535503701066,0.00042599352509256264,1.8094936085806996e-05,1.1029393491218245e-07
heavy_ball,ellipse,0.15,576,0.998896257826086,9.66126951689279e-05,0.98561540032897,0.0012615452407873907,0.7405931929834318,0.009480000149289094,0.014661211215873663,0.001380406446194855,0.5858991094347503,0.008159631063841887
heavy_ball,kite,0.15,576,0.99846673089489,0.00011662316405152174,0.9838089782075712,0.0010036572954880323,0.725677075403315,0.008715559249942873,0.01271795146946412,0.0010242507474906885,0.5911026886767812,0.008628935832920468
heavy_ball,two_disks,0.15,576,0.9934733025431611,0.0002528309582969383,0.868987923018834,0.0055403112280731645,0.6530826951139017,0.0073251698180835205,0.016087312094492115,0.0009181536151576876,0.549892694896294,0.004685431495889251
pcg,ellipse,0.15,576,0.9994318326892908,4.9806785816730565e-05,0.9926024796851599,0.0005723827635558062,0.7520518163953742,0.009963352047748807,0.006315652961529247,0.00028172003960383606,0.014851390726612913,0.0010423154734745337
pcg,kite,0.15,576,0.9989315673784142,9.255833950772006e-05,0.9889784251422726,0.0007697919363746726,0.7361453655586409,0.00929125586111856,0.007009623867083469,0.00031902540063725646,0.010100933752659734,0.0006248245990101639
pcg,two_disks,0.15,576,0.9960991278616326,9.629859165486959e-05,0.9118301860801404,0.0026805072230775035,0.6967798602815978,0.006939649595968384,0.008950829621476765,0.00042651781672390125,0.018958145253539744,0.0010952964149192903
richardson,ellipse,0.15,576,0.41509181868442163,0.009738174856660578,0.10615538154271202,0.005206452588863396,0.06090497730107283,0.0031260046915445763,0.478246479405142,0.017081527261465737,0.7724547260958288,0.0034173732536716904
richardson,kite,0.15,576,0.4386109225084881,0.011045417077623002,0.11869692676996306,0.00510532685233705,0.07164614245100887,0.0032544858885594544,0.46704326636972837,0.016456589503176258,0.7699370071705844,0.0034882301598455068
richardson,two_disks,0.15,576,0.45367897528723666,0.0034210282658506314,0.04702793781350729,0.0008388467222236366,0.017348150241116515,0.001406792855917396,0.4355663839685601,0.02028171024455434,0.762960951982273,0.0014171426899796972
