Factor,Rank,Optimizer,Momentum,LR Init,Scheduler,Scheduler Params,Batch Size,Final Loss,Min Loss,Oscillation Ratio,Oscillation CV,Epochs
4,10,SGD,0.7,0.01,AdaptiveStagnation,"{'lr_sequence': [0.01, 0.005, 0.001, 0.0005, 0.0001], 'window_size': 10, 'min_epochs_before_reduce': 20}",160,4.944754e-01,4.908139e-01,1.05,0.0091,10000
4,10,SGD,0.3,0.01,AdaptiveStagnation,"{'lr_sequence': [0.01, 0.005, 0.001, 0.0005, 0.0001], 'window_size': 10, 'min_epochs_before_reduce': 20}",160,5.004167e-01,4.904577e-01,1.06,0.0094,10000
4,20,SGD,0.3,0.01,AdaptiveStagnation,"{'lr_sequence': [0.01, 0.005, 0.001, 0.0005, 0.0001], 'window_size': 10, 'min_epochs_before_reduce': 20}",160,5.020906e-01,4.914255e-01,1.06,0.0097,10000
4,10,SGD,0.0,0.01,AdaptiveStagnation,"{'lr_sequence': [0.01, 0.005, 0.001, 0.0005, 0.0001], 'window_size': 10, 'min_epochs_before_reduce': 20}",160,5.064856e-01,4.872780e-01,1.05,0.0104,10000
4,20,SGD,0.0,0.01,AdaptiveStagnation,"{'lr_sequence': [0.01, 0.005, 0.001, 0.0005, 0.0001], 'window_size': 10, 'min_epochs_before_reduce': 20}",160,4.943643e-01,4.923955e-01,1.05,0.0095,10000
4,15,SGD,0.7,0.01,AdaptiveStagnation,"{'lr_sequence': [0.01, 0.005, 0.001, 0.0005, 0.0001], 'window_size': 10, 'min_epochs_before_reduce': 20}",160,4.974819e-01,4.899347e-01,1.04,0.0093,10000
4,15,SGD,0.3,0.01,AdaptiveStagnation,"{'lr_sequence': [0.01, 0.005, 0.001, 0.0005, 0.0001], 'window_size': 10, 'min_epochs_before_reduce': 20}",160,5.074716e-01,4.898935e-01,1.05,0.0099,10000
4,15,SGD,0.0,0.01,AdaptiveStagnation,"{'lr_sequence': [0.01, 0.005, 0.001, 0.0005, 0.0001], 'window_size': 10, 'min_epochs_before_reduce': 20}",160,4.942792e-01,4.873590e-01,1.05,0.0091,10000
4,25,SGD,0.0,0.01,AdaptiveStagnation,"{'lr_sequence': [0.01, 0.005, 0.001, 0.0005, 0.0001], 'window_size': 10, 'min_epochs_before_reduce': 20}",160,5.024507e-01,4.913867e-01,1.06,0.0102,10000
4,20,SGD,0.7,0.01,AdaptiveStagnation,"{'lr_sequence': [0.01, 0.005, 0.001, 0.0005, 0.0001], 'window_size': 10, 'min_epochs_before_reduce': 20}",160,5.024519e-01,4.887787e-01,1.06,0.0105,10000
4,25,SGD,0.3,0.01,AdaptiveStagnation,"{'lr_sequence': [0.01, 0.005, 0.001, 0.0005, 0.0001], 'window_size': 10, 'min_epochs_before_reduce': 20}",160,4.936132e-01,4.895298e-01,1.06,0.0094,10000
4,50,SGD,0.3,0.01,AdaptiveStagnation,"{'lr_sequence': [0.01, 0.005, 0.001, 0.0005, 0.0001], 'window_size': 10, 'min_epochs_before_reduce': 20}",160,5.030017e-01,4.898425e-01,1.06,0.0099,10000
4,25,SGD,0.7,0.01,AdaptiveStagnation,"{'lr_sequence': [0.01, 0.005, 0.001, 0.0005, 0.0001], 'window_size': 10, 'min_epochs_before_reduce': 20}",160,4.992971e-01,4.907515e-01,1.05,0.0096,10000
4,50,SGD,0.7,0.01,AdaptiveStagnation,"{'lr_sequence': [0.01, 0.005, 0.001, 0.0005, 0.0001], 'window_size': 10, 'min_epochs_before_reduce': 20}",160,4.942616e-01,4.896466e-01,1.05,0.0090,10000
4,50,SGD,0.0,0.01,AdaptiveStagnation,"{'lr_sequence': [0.01, 0.005, 0.001, 0.0005, 0.0001], 'window_size': 10, 'min_epochs_before_reduce': 20}",160,4.995964e-01,4.903856e-01,1.06,0.0095,10000
