run_id,seed,norm,d_model,tau,eta,q_equals_k,use_mlp,residual,data_kind,steps,R_spike,S_token_var,C_col_imbalance,gap,H_attn,H_query,spike_col_load,max_col_load
0,0,softmax,8,0.1,1.0,False,True,True,linear,60,0.2795679271221161,4.336825847625732,0.24558496475219727,0.05442510545253754,2.288353443145752,2.162975311279297,1.2361422777175903,2.320389986038208
1,1000,softmax,8,0.3,1.0,False,True,True,linear,60,0.18513046205043793,4.7823333740234375,0.14221665263175964,0.13553736731410027,2.8279707431793213,2.745443105697632,1.1438268423080444,1.8600444793701172
2,2000,softmax,8,0.8,1.0,False,True,True,linear,60,0.07910630851984024,4.983187675476074,0.13510045409202576,0.1557045914232731,3.215101718902588,3.2448761463165283,1.029626727104187,1.7565808296203613
3,3000,softmax,32,0.1,1.0,False,True,True,linear,60,0.977488100528717,1.7376158237457275,0.5288370251655579,0.0020162835717201233,0.9558377861976624,0.08994227647781372,1.7410125732421875,3.1790812015533447
4,4000,softmax,32,0.3,1.0,False,True,True,linear,60,0.9461330771446228,1.835267424583435,0.38833194971084595,0.011374738067388535,1.2142683267593384,0.2236071079969406,1.6482195854187012,2.7185564041137695
5,5000,softmax,32,0.8,1.0,False,True,True,linear,60,0.8719038963317871,2.4142441749572754,0.28366267681121826,0.030435685068368912,1.595191478729248,0.5347751975059509,1.6310009956359863,2.393414258956909
6,6000,softmax,64,0.1,1.0,False,True,True,linear,60,0.9992215633392334,0.9944218397140503,0.7205380797386169,0.00033330172300338745,0.7458438873291016,0.005658166948705912,1.654039978981018,3.726792097091675
7,7000,softmax,64,0.3,1.0,False,True,True,linear,60,0.9873754382133484,1.236750602722168,0.47090545296669006,0.0030602961778640747,1.0730005502700806,0.05722920969128609,1.7205495834350586,2.994689702987671
8,8000,softmax,64,0.8,1.0,False,True,True,linear,60,0.9764682650566101,1.6202032566070557,0.4159672260284424,0.0063041821122169495,1.1545802354812622,0.12139392644166946,1.7173999547958374,2.7755825519561768
9,9000,softmax_entropy,8,0.1,1.0,False,True,True,linear,60,0.37647631764411926,5.161850929260254,0.21817292273044586,0.06408048421144485,2.1131553649902344,1.9082040786743164,1.2287814617156982,2.193178176879883
10,10000,softmax_entropy,8,0.3,1.0,False,True,True,linear,60,0.09054257720708847,5.43637752532959,0.1478121280670166,0.17251889035105705,3.2248642444610596,3.2759387493133545,1.0933319330215454,1.9597810506820679
11,11000,softmax_entropy,8,0.8,1.0,False,True,True,linear,60,0.07438535243272781,4.354222774505615,0.10407572239637375,0.1602052040398121,3.3978734016418457,3.365105390548706,1.0093413591384888,1.7729600667953491
12,12000,softmax_entropy,32,0.1,1.0,False,True,True,linear,60,0.9762045741081238,1.6333683729171753,0.5336868166923523,0.003114689141511917,0.9363353252410889,0.09477875381708145,1.6444603204727173,3.089736223220825
13,13000,softmax_entropy,32,0.3,1.0,False,True,True,linear,60,0.9316270351409912,1.6848355531692505,0.3423594832420349,0.015931345522403717,1.4104750156402588,0.2526460587978363,1.6516224145889282,2.658029794692993
14,14000,softmax_entropy,32,0.8,1.0,False,True,True,linear,60,0.8067924976348877,2.510009527206421,0.2696848213672638,0.04186328873038292,1.6890789270401,0.7568085193634033,1.558736801147461,2.3507139682769775
15,15000,softmax_entropy,64,0.1,1.0,False,True,True,linear,60,0.9976391196250916,1.0117698907852173,0.6885010600090027,0.00047440454363822937,0.7440178990364075,0.010396390222012997,1.546028733253479,3.5411441326141357
