layer,R_spike,S_token_var,C_col_imbalance,gap,H_attn,H_query,spike_col_load,max_col_load,run_id,seed,norm,d_model,tau,eta,q_equals_k,use_mlp,residual,data_kind,steps
1,0.2783152461051941,5.421115875244141,0.17694731056690216,0.0665842741727829,2.3149757385253906,2.1904189586639404,1.1507903337478638,2.115053415298462,27,27000,unbalanced_sinkhorn,8,0.1,0.05,False,True,True,linear,60
2,0.2783152461051941,5.421115875244141,0.17694731056690216,0.0665842741727829,2.3149757385253906,2.1904189586639404,1.1507903337478638,2.115053415298462,27,27000,unbalanced_sinkhorn,8,0.1,0.05,False,True,True,linear,60
3,0.2783152461051941,5.421115875244141,0.17694731056690216,0.0665842741727829,2.3149757385253906,2.1904189586639404,1.1507903337478638,2.115053415298462,27,27000,unbalanced_sinkhorn,8,0.1,0.05,False,True,True,linear,60
4,0.2783152461051941,5.421115875244141,0.17694731056690216,0.0665842741727829,2.3149757385253906,2.1904189586639404,1.1507903337478638,2.115053415298462,27,27000,unbalanced_sinkhorn,8,0.1,0.05,False,True,True,linear,60
