layer,R_spike,S_token_var,C_col_imbalance,gap,H_attn,H_query,spike_col_load,max_col_load,run_id,seed,norm,d_model,tau,eta,q_equals_k,use_mlp,residual,data_kind,steps
1,0.09928127378225327,5.50028657913208,0.0010839443420991302,0.1735439896583557,3.1180496215820312,3.0873420238494873,1.0067024230957031,1.0604108572006226,32,32000,unbalanced_sinkhorn,8,0.3,5.0,False,True,True,linear,60
2,0.09928127378225327,5.50028657913208,0.0010839443420991302,0.1735439896583557,3.1180496215820312,3.0873420238494873,1.0067024230957031,1.0604108572006226,32,32000,unbalanced_sinkhorn,8,0.3,5.0,False,True,True,linear,60
3,0.09928127378225327,5.50028657913208,0.0010839443420991302,0.1735439896583557,3.1180496215820312,3.0873420238494873,1.0067024230957031,1.0604108572006226,32,32000,unbalanced_sinkhorn,8,0.3,5.0,False,True,True,linear,60
4,0.09928127378225327,5.50028657913208,0.0010839443420991302,0.1735439896583557,3.1180496215820312,3.0873420238494873,1.0067024230957031,1.0604108572006226,32,32000,unbalanced_sinkhorn,8,0.3,5.0,False,True,True,linear,60
