layer,R_spike,S_token_var,C_col_imbalance,gap,H_attn,H_query,spike_col_load,max_col_load,run_id,seed,norm,d_model,tau,eta,q_equals_k,use_mlp,residual,data_kind,steps
1,0.975106418132782,1.6519534587860107,0.39694511890411377,0.004343904554843903,1.1870523691177368,0.11735212802886963,1.6828241348266602,2.8144283294677734,17,17000,softmax_entropy,64,0.8,1.0,False,True,True,linear,60
2,0.975106418132782,1.6519534587860107,0.39694511890411377,0.004343904554843903,1.1870523691177368,0.11735212802886963,1.6828241348266602,2.8144283294677734,17,17000,softmax_entropy,64,0.8,1.0,False,True,True,linear,60
3,0.975106418132782,1.6519534587860107,0.39694511890411377,0.004343904554843903,1.1870523691177368,0.11735212802886963,1.6828241348266602,2.8144283294677734,17,17000,softmax_entropy,64,0.8,1.0,False,True,True,linear,60
4,0.975106418132782,1.6519534587860107,0.39694511890411377,0.004343904554843903,1.1870523691177368,0.11735212802886963,1.6828241348266602,2.8144283294677734,17,17000,softmax_entropy,64,0.8,1.0,False,True,True,linear,60
