layer,R_spike,S_token_var,C_col_imbalance,gap,H_attn,H_query,spike_col_load,max_col_load,run_id,seed,norm,d_model,tau,eta,q_equals_k,use_mlp,residual,data_kind,steps
1,0.6290623545646667,2.513493537902832,1.9991854060208425e-05,0.09624461457133293,1.693257212638855,1.1641567945480347,1.0031745433807373,1.0105605125427246,23,23000,sinkhorn,32,0.8,1.0,False,True,True,linear,60
2,0.6290623545646667,2.513493537902832,1.9991854060208425e-05,0.09624461457133293,1.693257212638855,1.1641567945480347,1.0031745433807373,1.0105605125427246,23,23000,sinkhorn,32,0.8,1.0,False,True,True,linear,60
3,0.6290623545646667,2.513493537902832,1.9991854060208425e-05,0.09624461457133293,1.693257212638855,1.1641567945480347,1.0031745433807373,1.0105605125427246,23,23000,sinkhorn,32,0.8,1.0,False,True,True,linear,60
4,0.6290623545646667,2.513493537902832,1.9991854060208425e-05,0.09624461457133293,1.693257212638855,1.1641567945480347,1.0031745433807373,1.0105605125427246,23,23000,sinkhorn,32,0.8,1.0,False,True,True,linear,60
