task,n_ctx,depth,normalized,pred_mse,mean_mse,var_mse,exact_mse,kappa,resid_last
weak_inverse,16,1,0,0.5438023880124092,0.4074371661990881,0.0,0.15390181075781584,155.108154296875,274.6894588470459
weak_inverse,16,1,1,0.9953325465321541,0.8705412521958351,0.0,0.15390181075781584,155.108154296875,274.6894588470459
weak_inverse,16,2,0,0.4546598792076111,0.2783282268792391,0.0,0.1637858129106462,155.66847705841064,104.93949890136719
weak_inverse,16,2,1,0.9870944656431675,0.8156596384942532,0.0,0.1637858129106462,155.66847705841064,268.16192054748535
weak_inverse,16,4,0,0.34549819119274616,0.1686635408550501,0.0,0.16579340491443872,154.43843269348145,41.90489888191223
weak_inverse,16,4,1,0.9817589372396469,0.8150142878293991,0.0,0.16579340491443872,154.43843269348145,258.39569664001465
weak_inverse,16,8,0,0.29430696554481983,0.1059931181371212,0.0,0.16854490526020527,154.99332523345947,15.548773169517517
weak_inverse,16,8,1,0.9707755669951439,0.7704476937651634,0.0,0.16854490526020527,154.99332523345947,238.13419914245605
weak_inverse,16,16,0,0.20524774584919214,0.053924237843602896,0.0,0.15364001831039786,154.50379943847656,7.94571253657341
weak_inverse,16,16,1,0.7973849140107632,0.6284539718180895,0.0,0.15364001831039786,154.50379943847656,211.6700839996338
weak_inverse,16,32,0,0.1882340731099248,0.02313837583642453,0.0,0.16588013246655464,155.6466417312622,3.4472482204437256
weak_inverse,16,32,1,0.6511622406542301,0.5011122096329927,0.0,0.16588013246655464,155.6466417312622,157.36255550384521
weak_inverse,16,64,0,0.1739897085353732,0.006522050214698538,0.0,0.16585660073906183,155.13220882415771,1.5899527929723263
weak_inverse,16,64,1,0.5441888011991978,0.37194075621664524,0.0,0.16585660073906183,155.13220882415771,98.36259269714355
weak_inverse,32,1,0,0.39766912907361984,0.3566177058964968,0.0,0.039140465669333935,21.036116242408752,477.42166328430176
weak_inverse,32,1,1,1.0410216338932514,0.9943328388035297,0.0,0.039140465669333935,21.036116242408752,477.42166328430176
weak_inverse,32,2,0,0.22260994650423527,0.18075111974030733,0.0,0.039397259475663304,20.93666958808899,184.67992782592773
weak_inverse,32,2,1,0.9862701445817947,0.9481903947889805,0.0,0.039397259475663304,20.93666958808899,475.02525901794434
weak_inverse,32,4,0,0.13625514833256602,0.09618762112222612,0.0,0.04166888794861734,21.227770805358887,65.11727166175842
weak_inverse,32,4,1,0.9938019774854183,0.93345757573843,0.0,0.04166888794861734,21.227770805358887,459.9104290008545
weak_inverse,32,8,0,0.07303758757188916,0.03275242995005101,0.0,0.039883163291960955,21.103055953979492,22.090890765190125
weak_inverse,32,8,1,0.9395567290484905,0.8886941559612751,0.0,0.039883163291960955,21.103055953979492,444.68616485595703
weak_inverse,32,16,0,0.046264694072306156,0.006667827401543036,0.0,0.03983463207259774,21.059282183647156,7.3476057052612305
